# wavelength, Lum, Lum_error
3650.0519, 2.478978329e+25, 9.881515974e+23
3650.1128, 2.479438972e+25, 9.881554535e+23
3650.1737, 2.478912427e+25, 9.881839965e+23
3650.2346, 2.478385874e+25, 9.882125415e+23
3650.2954, 2.477859312e+25, 9.882410884e+23
3650.3563, 2.477332742e+25, 9.882696373e+23
3650.4172, 2.476806163e+25, 9.882981881e+23
3650.4781, 2.476279574e+25, 9.883267408e+23
3650.5390, 2.475752977e+25, 9.883552955e+23
3650.5999, 2.475226372e+25, 9.883838521e+23
3650.6607, 2.474699757e+25, 9.884124106e+23
3650.7216, 2.474173134e+25, 9.884409711e+23
3650.7825, 2.473646502e+25, 9.884695336e+23
3650.8434, 2.473119861e+25, 9.884980979e+23
3650.9043, 2.471926730e+25, 9.883803417e+23
3650.9652, 2.460693276e+25, 9.860582927e+23
3651.0261, 2.449459634e+25, 9.837362185e+23
3651.0870, 2.438225804e+25, 9.814141190e+23
3651.1479, 2.426991788e+25, 9.790919945e+23
3651.2088, 2.415757584e+25, 9.767698449e+23
3651.2697, 2.404523192e+25, 9.744476705e+23
3651.3305, 2.393288613e+25, 9.721254712e+23
3651.3914, 2.382053847e+25, 9.698032472e+23
3651.4523, 2.370818894e+25, 9.674809986e+23
3651.5132, 2.359583753e+25, 9.651587255e+23
3651.5741, 2.348348424e+25, 9.628364279e+23
3651.6350, 2.337112909e+25, 9.605141061e+23
3651.6960, 2.325877206e+25, 9.581917601e+23
3651.7569, 2.317031849e+25, 9.563077650e+23
3651.8178, 2.315154461e+25, 9.557015542e+23
3651.8787, 2.313277041e+25, 9.550953333e+23
3651.9396, 2.311399591e+25, 9.544891023e+23
3652.0005, 2.309522109e+25, 9.538828613e+23
3652.0614, 2.307644595e+25, 9.532766100e+23
3652.1223, 2.305767051e+25, 9.526703487e+23
3652.1832, 2.303889475e+25, 9.520640773e+23
3652.2441, 2.302011868e+25, 9.514577958e+23
3652.3050, 2.300134229e+25, 9.508515042e+23
3652.3660, 2.298256559e+25, 9.502452024e+23
3652.4269, 2.296378858e+25, 9.496388906e+23
3652.4878, 2.294501125e+25, 9.490325686e+23
3652.5487, 2.292623362e+25, 9.484262366e+23
