# wavelength, Lum, Lum_error
3657.4864, 2.441418082e+25, 1.186780044e+24
3657.5474, 2.425691245e+25, 1.184894681e+24
3657.6084, 2.409964147e+25, 1.183010584e+24
3657.6694, 2.413419059e+25, 1.182705570e+24
3657.7304, 2.428897203e+25, 1.183391610e+24
3657.7914, 2.444375605e+25, 1.184079960e+24
3657.8524, 2.459854265e+25, 1.184770614e+24
3657.9134, 2.475333183e+25, 1.185463570e+24
3657.9744, 2.490812359e+25, 1.186158823e+24
3658.0354, 2.506291793e+25, 1.186856369e+24
3658.0964, 2.521771486e+25, 1.187556205e+24
3658.1575, 2.537251437e+25, 1.188258326e+24
3658.2185, 2.552731646e+25, 1.188962729e+24
3658.2795, 2.568212113e+25, 1.189669410e+24
3658.3405, 2.583692838e+25, 1.190378365e+24
3658.4015, 2.599173821e+25, 1.191089589e+24
3658.4625, 2.614655063e+25, 1.191803079e+24
3658.5235, 2.617646077e+25, 1.192321527e+24
3658.5846, 2.617682896e+25, 1.192795651e+24
3658.6456, 2.617719715e+25, 1.193272122e+24
3658.7066, 2.617756535e+25, 1.193750938e+24
3658.7676, 2.617793356e+25, 1.194232096e+24
3658.8286, 2.617830177e+25, 1.194715594e+24
3658.8897, 2.617866999e+25, 1.195201428e+24
3658.9507, 2.617903821e+25, 1.195689597e+24
3659.0117, 2.617940645e+25, 1.196180097e+24
3659.0727, 2.617977468e+25, 1.196672925e+24
3659.1338, 2.618014293e+25, 1.197168080e+24
3659.1948, 2.618051117e+25, 1.197665557e+24
3659.2558, 2.618087943e+25, 1.198165355e+24
3659.3169, 2.618078213e+25, 1.198658054e+24
3659.3779, 2.600450679e+25, 1.195589013e+24
3659.4389, 2.582822852e+25, 1.192520650e+24
3659.5000, 2.565194730e+25, 1.189452972e+24
3659.5610, 2.547566315e+25, 1.186385983e+24
3659.6220, 2.529937605e+25, 1.183319691e+24
3659.6831, 2.512308602e+25, 1.180254100e+24
3659.7441, 2.494679305e+25, 1.177189216e+24
3659.8051, 2.477049713e+25, 1.174125046e+24
3659.8662, 2.459419827e+25, 1.171061596e+24
3659.9272, 2.441789648e+25, 1.167998872e+24
3659.9883, 2.424159174e+25, 1.164936879e+24
3660.0493, 2.406528407e+25, 1.161875625e+24
3660.1103, 2.388897345e+25, 1.158815115e+24
3660.1714, 2.374508251e+25, 1.156414290e+24
3660.2324, 2.373380985e+25, 1.156712212e+24
3660.2935, 2.372253700e+25, 1.157015443e+24
3660.3545, 2.371126396e+25, 1.157323979e+24
3660.4156, 2.369999073e+25, 1.157637815e+24
3660.4766, 2.368871731e+25, 1.157956949e+24
3660.5377, 2.367744371e+25, 1.158281376e+24
3660.5987, 2.366616992e+25, 1.158611091e+24
3660.6598, 2.365489594e+25, 1.158946091e+24
3660.7208, 2.364362177e+25, 1.159286371e+24
3660.7819, 2.363234742e+25, 1.159631927e+24
3660.8429, 2.362107287e+25, 1.159982754e+24
3660.9040, 2.360979814e+25, 1.160338848e+24
3660.9651, 2.359852322e+25, 1.160700204e+24
3661.0261, 2.368043727e+25, 1.161389837e+24
3661.0872, 2.390800830e+25, 1.162587888e+24
3661.1482, 2.413558314e+25, 1.163788718e+24
3661.2093, 2.436316177e+25, 1.164992320e+24
3661.2704, 2.459074420e+25, 1.166198685e+24
3661.3314, 2.481833042e+25, 1.167407804e+24
3661.3925, 2.504592044e+25, 1.168619670e+24
3661.4536, 2.527351425e+25, 1.169834273e+24
3661.5146, 2.550111186e+25, 1.171051606e+24
3661.5757, 2.572871326e+25, 1.172271660e+24
3661.6368, 2.595631846e+25, 1.173494428e+24
3661.6978, 2.618392746e+25, 1.174719900e+24
3661.7589, 2.641154026e+25, 1.175948069e+24
3661.8200, 2.663915685e+25, 1.177178925e+24
3661.8811, 2.673624233e+25, 1.177309326e+24
3661.9421, 2.674026425e+25, 1.176658008e+24
3662.0032, 2.674428624e+25, 1.176012002e+24
3662.0643, 2.674830830e+25, 1.175371320e+24
3662.1254, 2.675233042e+25, 1.174735968e+24
3662.1864, 2.675635262e+25, 1.174105957e+24
3662.2475, 2.676037487e+25, 1.173481295e+24
3662.3086, 2.676439720e+25, 1.172861991e+24
3662.3697, 2.676841959e+25, 1.172248054e+24
3662.4308, 2.677244205e+25, 1.171639492e+24
3662.4918, 2.677646458e+25, 1.171036315e+24
3662.5529, 2.678048717e+25, 1.170438530e+24
3662.6140, 2.678450983e+25, 1.169846146e+24
3662.6751, 2.678853256e+25, 1.169259173e+24
3662.7362, 2.655456376e+25, 1.165900170e+24
3662.7973, 2.625305417e+25, 1.161754279e+24
3662.8584, 2.595153955e+25, 1.157609170e+24
3662.9195, 2.565001989e+25, 1.153464851e+24
3662.9805, 2.534849521e+25, 1.149321331e+24
3663.0416, 2.504696550e+25, 1.145178619e+24
3663.1027, 2.474543077e+25, 1.141036726e+24
3663.1638, 2.444389100e+25, 1.136895662e+24
3663.2249, 2.414234620e+25, 1.132755435e+24
3663.2860, 2.384079637e+25, 1.128616056e+24
3663.3471, 2.353924152e+25, 1.124477536e+24
3663.4082, 2.323768163e+25, 1.120339884e+24
3663.4693, 2.293611672e+25, 1.116203111e+24
3663.5304, 2.263454677e+25, 1.112067228e+24
3663.5915, 2.262250213e+25, 1.112038211e+24
3663.6526, 2.261868059e+25, 1.112129904e+24
3663.7137, 2.261485897e+25, 1.112225732e+24
3663.7748, 2.261103730e+25, 1.112325694e+24
3663.8359, 2.260721556e+25, 1.112429790e+24
3663.8970, 2.260339376e+25, 1.112538018e+24
3663.9581, 2.259957189e+25, 1.112650378e+24
3664.0193, 2.259574996e+25, 1.112766869e+24
3664.0804, 2.259192797e+25, 1.112887489e+24
3664.1415, 2.258810591e+25, 1.113012237e+24
3664.2026, 2.258428379e+25, 1.113141112e+24
3664.2637, 2.258046160e+25, 1.113274114e+24
3664.3248, 2.257663935e+25, 1.113411239e+24
3664.3859, 2.260084806e+25, 1.114964332e+24
3664.4470, 2.276452159e+25, 1.123593266e+24
3664.5082, 2.292819784e+25, 1.132306039e+24
3664.5693, 2.309187683e+25, 1.141100738e+24
3664.6304, 2.325555854e+25, 1.149975492e+24
3664.6915, 2.341924299e+25, 1.158928468e+24
3664.7526, 2.358293016e+25, 1.167957875e+24
3664.8138, 2.374662007e+25, 1.177061961e+24
3664.8749, 2.391031270e+25, 1.186239014e+24
3664.9360, 2.407400807e+25, 1.195487361e+24
3664.9971, 2.423770616e+25, 1.204805366e+24
3665.0583, 2.440140699e+25, 1.214191433e+24
3665.1194, 2.456511054e+25, 1.223644002e+24
3665.1805, 2.472881683e+25, 1.233161552e+24
3665.2416, 2.483153632e+25, 1.236365052e+24
3665.3028, 2.482611172e+25, 1.228310143e+24
3665.3639, 2.482068702e+25, 1.220300069e+24
3665.4250, 2.481526224e+25, 1.212335723e+24
3665.4862, 2.480983737e+25, 1.204418017e+24
3665.5473, 2.480441240e+25, 1.196547882e+24
3665.6084, 2.479898735e+25, 1.188726269e+24
3665.6696, 2.479356220e+25, 1.180954145e+24
3665.7307, 2.478813696e+25, 1.173232501e+24
3665.7919, 2.478271164e+25, 1.165562343e+24
3665.8530, 2.477728622e+25, 1.157944702e+24
3665.9141, 2.477186071e+25, 1.150380624e+24
3665.9753, 2.476643511e+25, 1.142871179e+24
3666.0364, 2.476100943e+25, 1.135417456e+24
3666.0976, 2.468460121e+25, 1.130586211e+24
3666.1587, 2.455136578e+25, 1.127825978e+24
3666.2198, 2.441812813e+25, 1.125071325e+24
3666.2810, 2.428488826e+25, 1.122322293e+24
3666.3421, 2.415164617e+25, 1.119578925e+24
3666.4033, 2.401840186e+25, 1.116841263e+24
3666.4644, 2.388515532e+25, 1.114109349e+24
3666.5256, 2.375190656e+25, 1.111383227e+24
3666.5867, 2.361865558e+25, 1.108662940e+24
3666.6479, 2.348540237e+25, 1.105948531e+24
3666.7090, 2.335214695e+25, 1.103240046e+24
3666.7702, 2.321888930e+25, 1.100537527e+24
3666.8314, 2.308562943e+25, 1.097841020e+24
3666.8925, 2.295236733e+25, 1.095150569e+24
3666.9537, 2.306080923e+25, 1.096073973e+24
3667.0148, 2.325049313e+25, 1.098212052e+24
3667.0760, 2.344018020e+25, 1.100351623e+24
3667.1372, 2.362987043e+25, 1.102492676e+24
3667.1983, 2.381956382e+25, 1.104635204e+24
3667.2595, 2.400926038e+25, 1.106779198e+24
3667.3206, 2.419896010e+25, 1.108924649e+24
3667.3818, 2.438866298e+25, 1.111071551e+24
3667.4430, 2.457836903e+25, 1.113219894e+24
3667.5041, 2.476807824e+25, 1.115369670e+24
3667.5653, 2.495779062e+25, 1.117520872e+24
3667.6265, 2.514750616e+25, 1.119673492e+24
3667.6876, 2.533722486e+25, 1.121827522e+24
3667.7488, 2.552694673e+25, 1.123982953e+24
3667.8100, 2.541595375e+25, 1.123577576e+24
3667.8712, 2.528679680e+25, 1.123019638e+24
3667.9323, 2.515763770e+25, 1.122463910e+24
3667.9935, 2.502847644e+25, 1.121910395e+24
3668.0547, 2.489931302e+25, 1.121359097e+24
3668.1159, 2.477014746e+25, 1.120810019e+24
3668.1770, 2.464097974e+25, 1.120263164e+24
3668.2382, 2.451180986e+25, 1.119718537e+24
3668.2994, 2.438263783e+25, 1.119176140e+24
3668.3606, 2.425346364e+25, 1.118635976e+24
3668.4218, 2.412428731e+25, 1.118098049e+24
3668.4829, 2.399510881e+25, 1.117562363e+24
3668.5441, 2.386592816e+25, 1.117028921e+24
3668.6053, 2.375751113e+25, 1.116685946e+24
3668.6665, 2.377928991e+25, 1.117524674e+24
