# wavelength, Lum, Lum_error
3657.4864, 4.274361695e+25, 1.893526544e+24
3657.5474, 4.276310109e+25, 1.892998678e+24
3657.6084, 4.278258556e+25, 1.892471048e+24
3657.6694, 4.276802268e+25, 1.892516223e+24
3657.7304, 4.273211897e+25, 1.892920517e+24
3657.7914, 4.269621466e+25, 1.893325055e+24
3657.8524, 4.266030975e+25, 1.893729837e+24
3657.9134, 4.262440424e+25, 1.894134864e+24
3657.9744, 4.258849814e+25, 1.894540134e+24
3658.0354, 4.255259143e+25, 1.894945649e+24
3658.0964, 4.251668413e+25, 1.895351407e+24
3658.1575, 4.248077623e+25, 1.895757409e+24
3658.2185, 4.244486773e+25, 1.896163654e+24
3658.2795, 4.240895863e+25, 1.896570143e+24
3658.3405, 4.237304893e+25, 1.896976875e+24
3658.4015, 4.233713863e+25, 1.897383850e+24
3658.4625, 4.230122773e+25, 1.897791068e+24
3658.5235, 4.250324847e+25, 1.900431034e+24
3658.5846, 4.276154822e+25, 1.903599145e+24
3658.6456, 4.301985227e+25, 1.906767360e+24
3658.7066, 4.327816064e+25, 1.909935678e+24
3658.7676, 4.353647331e+25, 1.913104100e+24
3658.8286, 4.379479029e+25, 1.916272625e+24
3658.8897, 4.405311158e+25, 1.919441252e+24
3658.9507, 4.431143718e+25, 1.922609982e+24
3659.0117, 4.456976708e+25, 1.925778815e+24
3659.0727, 4.482810130e+25, 1.928947750e+24
3659.1338, 4.508643982e+25, 1.932116786e+24
3659.1948, 4.534478265e+25, 1.935285924e+24
3659.2558, 4.560312979e+25, 1.938455164e+24
3659.3169, 4.586066122e+25, 1.941615735e+24
3659.3779, 4.580788959e+25, 1.941459228e+24
3659.4389, 4.575511707e+25, 1.941305310e+24
3659.5000, 4.570234368e+25, 1.941153980e+24
3659.5610, 4.564956940e+25, 1.941005241e+24
3659.6220, 4.559679425e+25, 1.940859091e+24
3659.6831, 4.554401821e+25, 1.940715533e+24
3659.7441, 4.549124130e+25, 1.940574567e+24
3659.8051, 4.543846350e+25, 1.940436194e+24
3659.8662, 4.538568482e+25, 1.940300414e+24
3659.9272, 4.533290527e+25, 1.940167228e+24
3659.9883, 4.528012483e+25, 1.940036636e+24
3660.0493, 4.522734351e+25, 1.939908640e+24
3660.1103, 4.517456132e+25, 1.939783240e+24
3660.1714, 4.510116001e+25, 1.939503011e+24
3660.2324, 4.494342118e+25, 1.938580079e+24
3660.2935, 4.478567972e+25, 1.937657440e+24
3660.3545, 4.462793563e+25, 1.936735095e+24
3660.4156, 4.447018891e+25, 1.935813045e+24
3660.4766, 4.431243955e+25, 1.934891289e+24
3660.5377, 4.415468757e+25, 1.933969828e+24
3660.5987, 4.399693296e+25, 1.933048663e+24
3660.6598, 4.383917571e+25, 1.932127794e+24
3660.7208, 4.368141584e+25, 1.931207221e+24
3660.7819, 4.352365333e+25, 1.930286946e+24
3660.8429, 4.336588819e+25, 1.929366968e+24
3660.9040, 4.320812042e+25, 1.928447288e+24
3660.9651, 4.305035002e+25, 1.927527907e+24
3661.0261, 4.300201114e+25, 1.927137867e+24
3661.0872, 4.312471819e+25, 1.927574853e+24
3661.1482, 4.324742730e+25, 1.928011900e+24
