# wavelength, Lum[W], Lum_error [W]
3657.4864, 3.666089470e+25, 1.476482947e+24
3657.5474, 3.666333657e+25, 1.475273934e+24
3657.6084, 3.666577847e+25, 1.474064905e+24
3657.6694, 3.665877404e+25, 1.473401373e+24
3657.7304, 3.664584863e+25, 1.473079775e+24
3657.7914, 3.663292301e+25, 1.472758199e+24
3657.8524, 3.661999717e+25, 1.472436646e+24
3657.9134, 3.660707111e+25, 1.472115117e+24
3657.9744, 3.659414484e+25, 1.471793610e+24
3658.0354, 3.658121836e+25, 1.471472127e+24
3658.0964, 3.656829166e+25, 1.471150667e+24
3658.1575, 3.655536474e+25, 1.470829230e+24
3658.2185, 3.654243761e+25, 1.470507816e+24
3658.2795, 3.652951026e+25, 1.470186426e+24
3658.3405, 3.651658270e+25, 1.469865059e+24
3658.4015, 3.650365492e+25, 1.469543715e+24
3658.4625, 3.649072693e+25, 1.469222394e+24
3658.5235, 3.654163832e+25, 1.470107081e+24
3658.5846, 3.660764988e+25, 1.471277392e+24
3658.6456, 3.667366254e+25, 1.472448126e+24
3658.7066, 3.673967631e+25, 1.473619284e+24
3658.7676, 3.680569117e+25, 1.474790863e+24
3658.8286, 3.687170714e+25, 1.475962863e+24
3658.8897, 3.693772421e+25, 1.477135283e+24
3658.9507, 3.700374238e+25, 1.478308123e+24
3659.0117, 3.706976165e+25, 1.479481380e+24
3659.0727, 3.713578202e+25, 1.480655055e+24
3659.1338, 3.720180349e+25, 1.481829147e+24
3659.1948, 3.726782606e+25, 1.483003653e+24
3659.2558, 3.733384973e+25, 1.484178575e+24
3659.3169, 3.739941969e+25, 1.485344439e+24
3659.3779, 3.729287805e+25, 1.482926896e+24
3659.4389, 3.718633465e+25, 1.480509505e+24
3659.5000, 3.707978946e+25, 1.478092269e+24
3659.5610, 3.697324250e+25, 1.475675187e+24
3659.6220, 3.686669376e+25, 1.473258261e+24
3659.6831, 3.676014324e+25, 1.470841492e+24
3659.7441, 3.665359095e+25, 1.468424880e+24
3659.8051, 3.654703688e+25, 1.466008427e+24
3659.8662, 3.644048103e+25, 1.463592134e+24
3659.9272, 3.633392341e+25, 1.461176001e+24
3659.9883, 3.622736400e+25, 1.458760030e+24
3660.0493, 3.612080282e+25, 1.456344222e+24
3660.1103, 3.601423987e+25, 1.453928577e+24
3660.1714, 3.589027855e+25, 1.451574086e+24
3660.2324, 3.569515659e+25, 1.449469159e+24
3660.2935, 3.550003138e+25, 1.447364284e+24
3660.3545, 3.530490291e+25, 1.445259461e+24
3660.4156, 3.510977119e+25, 1.443154691e+24
3660.4766, 3.491463622e+25, 1.441049975e+24
3660.5377, 3.471949799e+25, 1.438945311e+24
3660.5987, 3.452435651e+25, 1.436840702e+24
3660.6598, 3.432921177e+25, 1.434736147e+24
3660.7208, 3.413406378e+25, 1.432631647e+24
3660.7819, 3.393891253e+25, 1.430527202e+24
3660.8429, 3.374375803e+25, 1.428422812e+24
3660.9040, 3.354860027e+25, 1.426318478e+24
3660.9651, 3.335343926e+25, 1.424214201e+24
3661.0261, 3.323284747e+25, 1.422637899e+24
3661.0872, 3.322881125e+25, 1.421886909e+24
3661.1482, 3.322477496e+25, 1.421136147e+24
3661.2093, 3.322073861e+25, 1.420385613e+24
3661.2704, 3.321670218e+25, 1.419635307e+24
3661.3314, 3.321266569e+25, 1.418885231e+24
3661.3925, 3.320862913e+25, 1.418135384e+24
3661.4536, 3.320459251e+25, 1.417385767e+24
3661.5146, 3.320055582e+25, 1.416636381e+24
3661.5757, 3.319651906e+25, 1.415887225e+24
3661.6368, 3.319248223e+25, 1.415138300e+24
3661.6978, 3.318844533e+25, 1.414389607e+24
3661.7589, 3.318440837e+25, 1.413641145e+24
3661.8200, 3.318037134e+25, 1.412892916e+24
3661.8811, 3.330091365e+25, 1.413685735e+24
3661.9421, 3.351027716e+25, 1.415577240e+24
3662.0032, 3.371964416e+25, 1.417468894e+24
3662.0643, 3.392901465e+25, 1.419360697e+24
3662.1254, 3.413838864e+25, 1.421252649e+24
3662.1864, 3.434776611e+25, 1.423144748e+24
3662.2475, 3.455714708e+25, 1.425036994e+24
3662.3086, 3.476653155e+25, 1.426929387e+24
3662.3697, 3.497591950e+25, 1.428821927e+24
3662.4308, 3.518531095e+25, 1.430714613e+24
3662.4918, 3.539470588e+25, 1.432607444e+24
3662.5529, 3.560410431e+25, 1.434500420e+24
3662.6140, 3.581350624e+25, 1.436393541e+24
3662.6751, 3.602291165e+25, 1.438286806e+24
3662.7362, 3.593162606e+25, 1.436098288e+24
3662.7973, 3.575500830e+25, 1.432751794e+24
3662.8584, 3.557838760e+25, 1.429405709e+24
3662.9195, 3.540176396e+25, 1.426060036e+24
3662.9805, 3.522513737e+25, 1.422714779e+24
3663.0416, 3.504850783e+25, 1.419369941e+24
3663.1027, 3.487187535e+25, 1.416025526e+24
3663.1638, 3.469523992e+25, 1.412681536e+24
3663.2249, 3.451860155e+25, 1.409337976e+24
3663.2860, 3.434196023e+25, 1.405994848e+24
3663.3471, 3.416531596e+25, 1.402652157e+24
3663.4082, 3.398866875e+25, 1.399309906e+24
3663.4693, 3.381201859e+25, 1.395968098e+24
3663.5304, 3.363536549e+25, 1.392626738e+24
3663.5915, 3.347007386e+25, 1.390246307e+24
3663.6526, 3.330510225e+25, 1.387893346e+24
3663.7137, 3.314012788e+25, 1.385540573e+24
3663.7748, 3.297515077e+25, 1.383187990e+24
3663.8359, 3.281017090e+25, 1.380835598e+24
3663.8970, 3.264518828e+25, 1.378483397e+24
3663.9581, 3.248020291e+25, 1.376131390e+24
3664.0193, 3.231521479e+25, 1.373779576e+24
3664.0804, 3.215022391e+25, 1.371427958e+24
3664.1415, 3.198523029e+25, 1.369076537e+24
3664.2026, 3.182023391e+25, 1.366725314e+24
3664.2637, 3.165523478e+25, 1.364374290e+24
3664.3248, 3.149023290e+25, 1.362023466e+24
3664.3859, 3.137082705e+25, 1.360217503e+24
3664.4470, 3.147828956e+25, 1.361121813e+24
3664.5082, 3.158575386e+25, 1.362026691e+24
3664.5693, 3.169321995e+25, 1.362932137e+24
3664.6304, 3.180068783e+25, 1.363838149e+24
3664.6915, 3.190815751e+25, 1.364744727e+24
3664.7526, 3.201562898e+25, 1.365651869e+24
3664.8138, 3.212310224e+25, 1.366559575e+24
3664.8749, 3.223057729e+25, 1.367467843e+24
3664.9360, 3.233805414e+25, 1.368376672e+24
3664.9971, 3.244553278e+25, 1.369286062e+24
3665.0583, 3.255301321e+25, 1.370196010e+24
3665.1194, 3.266049543e+25, 1.371106517e+24
3665.1805, 3.276797945e+25, 1.372017580e+24
3665.2416, 3.286104241e+25, 1.372290742e+24
3665.3028, 3.292853252e+25, 1.371432216e+24
3665.3639, 3.299602376e+25, 1.370574029e+24
3665.4250, 3.306351613e+25, 1.369716181e+24
3665.4862, 3.313100962e+25, 1.368858673e+24
3665.5473, 3.319850424e+25, 1.368001507e+24
3665.6084, 3.326599998e+25, 1.367144681e+24
3665.6696, 3.333349685e+25, 1.366288198e+24
3665.7307, 3.340099484e+25, 1.365432058e+24
3665.7919, 3.346849396e+25, 1.364576262e+24
3665.8530, 3.353599421e+25, 1.363720809e+24
3665.9141, 3.360349558e+25, 1.362865702e+24
3665.9753, 3.367099807e+25, 1.362010940e+24
3666.0364, 3.373850170e+25, 1.361156525e+24
3666.0976, 3.370236898e+25, 1.360186430e+24
3666.1587, 3.358326732e+25, 1.359123513e+24
3666.2198, 3.346416368e+25, 1.358060578e+24
3666.2810, 3.334505805e+25, 1.356997625e+24
3666.3421, 3.322595043e+25, 1.355934654e+24
3666.4033, 3.310684082e+25, 1.354871666e+24
3666.4644, 3.298772923e+25, 1.353808660e+24
3666.5256, 3.286861565e+25, 1.352745636e+24
3666.5867, 3.274950009e+25, 1.351682594e+24
3666.6479, 3.263038253e+25, 1.350619535e+24
3666.7090, 3.251126300e+25, 1.349556458e+24
3666.7702, 3.239214147e+25, 1.348493364e+24
3666.8314, 3.227301796e+25, 1.347430251e+24
3666.8925, 3.215389246e+25, 1.346367121e+24
3666.9537, 3.230565087e+25, 1.347516563e+24
3667.0148, 3.254845962e+25, 1.349411425e+24
3667.0760, 3.279127242e+25, 1.351308281e+24
3667.1372, 3.303408926e+25, 1.353207124e+24
3667.1983, 3.327691016e+25, 1.355107946e+24
3667.2595, 3.351973511e+25, 1.357010739e+24
3667.3206, 3.376256411e+25, 1.358915495e+24
3667.3818, 3.400539716e+25, 1.360822205e+24
3667.4430, 3.424823426e+25, 1.362730862e+24
3667.5041, 3.449107541e+25, 1.364641458e+24
3667.5653, 3.473392061e+25, 1.366553984e+24
3667.6265, 3.497676986e+25, 1.368468434e+24
3667.6876, 3.521962316e+25, 1.370384798e+24
3667.7488, 3.546248051e+25, 1.372303070e+24
3667.8100, 3.534123411e+25, 1.370232973e+24
3667.8712, 3.519799509e+25, 1.367921961e+24
3667.9323, 3.505475368e+25, 1.365610976e+24
3667.9935, 3.491150988e+25, 1.363300017e+24
3668.0547, 3.476826370e+25, 1.360989086e+24
3668.1159, 3.462501512e+25, 1.358678182e+24
3668.1770, 3.448176416e+25, 1.356367306e+24
3668.2382, 3.433851080e+25, 1.354056458e+24
3668.2994, 3.419525506e+25, 1.351745639e+24
3668.3606, 3.405199693e+25, 1.349434849e+24
3668.4218, 3.390873641e+25, 1.347124088e+24
3668.4829, 3.376547350e+25, 1.344813356e+24
3668.5441, 3.362220820e+25, 1.342502654e+24
3668.6053, 3.350344873e+25, 1.340537975e+24
3668.6665, 3.353834936e+25, 1.340743711e+24
3668.7277, 3.357325057e+25, 1.340951393e+24
3668.7889, 3.360815236e+25, 1.341161020e+24
3668.8501, 3.364305474e+25, 1.341372594e+24
3668.9113, 3.367795769e+25, 1.341586111e+24
3668.9724, 3.371286123e+25, 1.341801572e+24
3669.0336, 3.374776536e+25, 1.342018975e+24
3669.0948, 3.378267006e+25, 1.342238321e+24
3669.1560, 3.381757535e+25, 1.342459607e+24
3669.2172, 3.385248122e+25, 1.342682834e+24
3669.2784, 3.388738767e+25, 1.342908000e+24
3669.3396, 3.392229470e+25, 1.343135104e+24
3669.4008, 3.395720231e+25, 1.343364145e+24
3669.4620, 3.399274695e+25, 1.343460627e+24
3669.5232, 3.402958235e+25, 1.343286224e+24
3669.5844, 3.406641836e+25, 1.343113493e+24
3669.6456, 3.410325499e+25, 1.342942434e+24
3669.7068, 3.414009224e+25, 1.342773049e+24
3669.7680, 3.417693009e+25, 1.342605337e+24
3669.8292, 3.421376856e+25, 1.342439300e+24
3669.8904, 3.425060765e+25, 1.342274939e+24
3669.9516, 3.428744735e+25, 1.342112253e+24
3670.0129, 3.432428766e+25, 1.341951244e+24
3670.0741, 3.436112859e+25, 1.341791913e+24
3670.1353, 3.439797014e+25, 1.341634260e+24
3670.1965, 3.443481230e+25, 1.341478285e+24
3670.2577, 3.447165507e+25, 1.341323990e+24
3670.3189, 3.442776792e+25, 1.341036716e+24
3670.3801, 3.431074262e+25, 1.340628092e+24
3670.4413, 3.419371537e+25, 1.340219788e+24
3670.5026, 3.407668616e+25, 1.339811806e+24
3670.5638, 3.395965501e+25, 1.339404144e+24
3670.6250, 3.384262190e+25, 1.338996805e+24
3670.6862, 3.372558684e+25, 1.338589787e+24
3670.7474, 3.360854983e+25, 1.338183091e+24
3670.8087, 3.349151086e+25, 1.337776717e+24
3670.8699, 3.337446995e+25, 1.337370667e+24
3670.9311, 3.325742708e+25, 1.336964939e+24
3670.9923, 3.314038226e+25, 1.336559535e+24
3671.0536, 3.302333549e+25, 1.336154454e+24
3671.1148, 3.290628677e+25, 1.335749698e+24
3671.1760, 3.287577447e+25, 1.336295943e+24
3671.2372, 3.287909624e+25, 1.337215034e+24
3671.2985, 3.288241806e+25, 1.338135416e+24
3671.3597, 3.288573994e+25, 1.339057086e+24
3671.4209, 3.288906187e+25, 1.339980040e+24
3671.4822, 3.289238386e+25, 1.340904278e+24
3671.5434, 3.289570591e+25, 1.341829795e+24
3671.6046, 3.289902801e+25, 1.342756590e+24
3671.6659, 3.290235016e+25, 1.343684660e+24
3671.7271, 3.290567237e+25, 1.344614002e+24
3671.7884, 3.290899464e+25, 1.345544614e+24
3671.8496, 3.291231696e+25, 1.346476493e+24
3671.9108, 3.291563934e+25, 1.347409637e+24
3671.9721, 3.291896177e+25, 1.348344044e+24
3672.0333, 3.325639211e+25, 1.350932718e+24
3672.0946, 3.362563464e+25, 1.353678955e+24
3672.1558, 3.399488333e+25, 1.356425344e+24
3672.2171, 3.436413819e+25, 1.359171885e+24
3672.2783, 3.473339920e+25, 1.361918577e+24
3672.3395, 3.510266637e+25, 1.364665419e+24
3672.4008, 3.547193969e+25, 1.367412411e+24
3672.4620, 3.584121918e+25, 1.370159552e+24
3672.5233, 3.621050482e+25, 1.372906841e+24
3672.5845, 3.657979663e+25, 1.375654279e+24
3672.6458, 3.694909459e+25, 1.378401863e+24
3672.7071, 3.731839872e+25, 1.381149594e+24
3672.7683, 3.768770900e+25, 1.383897471e+24
3672.8296, 3.798159913e+25, 1.386099026e+24
3672.8908, 3.764696331e+25, 1.383747037e+24
3672.9521, 3.731232190e+25, 1.381395205e+24
3673.0133, 3.697767491e+25, 1.379043532e+24
3673.0746, 3.664302235e+25, 1.376692019e+24
3673.1359, 3.630836420e+25, 1.374340666e+24
3673.1971, 3.597370047e+25, 1.371989476e+24
3673.2584, 3.563903116e+25, 1.369638449e+24
3673.3196, 3.530435626e+25, 1.367287585e+24
3673.3809, 3.496967579e+25, 1.364936887e+24
3673.4422, 3.463498973e+25, 1.362586355e+24
3673.5034, 3.430029809e+25, 1.360235990e+24
3673.5647, 3.396560087e+25, 1.357885793e+24
3673.6260, 3.363089806e+25, 1.355535766e+24
3673.6873, 3.337333731e+25, 1.353068967e+24
