# wavelength, Lum[W], Lum_error [W]
3650.0519, 2.497820577e+25, 1.220485458e+24
3650.1128, 2.504270812e+25, 1.221312393e+24
3650.1737, 2.511457545e+25, 1.222404106e+24
3650.2346, 2.518644397e+25, 1.223497559e+24
3650.2954, 2.525831370e+25, 1.224592747e+24
3650.3563, 2.533018462e+25, 1.225689667e+24
3650.4172, 2.540205674e+25, 1.226788313e+24
3650.4781, 2.547393006e+25, 1.227888681e+24
3650.5390, 2.554580458e+25, 1.228990766e+24
3650.5999, 2.561768030e+25, 1.230094565e+24
3650.6607, 2.568955722e+25, 1.231200072e+24
3650.7216, 2.576143533e+25, 1.232307284e+24
3650.7825, 2.583331465e+25, 1.233416195e+24
3650.8434, 2.590519516e+25, 1.234526801e+24
3650.9043, 2.596851157e+25, 1.235527091e+24
3650.9652, 2.590279574e+25, 1.234844592e+24
3651.0261, 2.583707881e+25, 1.234169163e+24
3651.0870, 2.577136079e+25, 1.233500818e+24
3651.1479, 2.570564167e+25, 1.232839567e+24
3651.2088, 2.563992145e+25, 1.232185424e+24
3651.2697, 2.557420014e+25, 1.231538398e+24
3651.3305, 2.550847773e+25, 1.230898503e+24
3651.3914, 2.544275423e+25, 1.230265749e+24
3651.4523, 2.537702962e+25, 1.229640148e+24
3651.5132, 2.531130393e+25, 1.229021711e+24
3651.5741, 2.524557713e+25, 1.228410450e+24
3651.6350, 2.517984925e+25, 1.227806375e+24
3651.6960, 2.511412026e+25, 1.227209498e+24
3651.7569, 2.504333559e+25, 1.226727359e+24
3651.8178, 2.495781624e+25, 1.226561635e+24
3651.8787, 2.487229546e+25, 1.226396379e+24
3651.9396, 2.478677326e+25, 1.226231591e+24
3652.0005, 2.470124962e+25, 1.226067271e+24
3652.0614, 2.461572457e+25, 1.225903419e+24
3652.1223, 2.453019808e+25, 1.225740036e+24
3652.1832, 2.444467017e+25, 1.225577121e+24
3652.2441, 2.435914083e+25, 1.225414675e+24
3652.3050, 2.427361007e+25, 1.225252698e+24
3652.3660, 2.418807788e+25, 1.225091190e+24
3652.4269, 2.410254426e+25, 1.224930152e+24
3652.4878, 2.401700922e+25, 1.224769584e+24
3652.5487, 2.393147275e+25, 1.224609485e+24
3652.6096, 2.395306359e+25, 1.225727196e+24
3652.6705, 2.410550496e+25, 1.228407186e+24
3652.7315, 2.425794888e+25, 1.231089898e+24
3652.7924, 2.441039534e+25, 1.233775314e+24
3652.8533, 2.456284433e+25, 1.236463417e+24
3652.9142, 2.471529588e+25, 1.239154191e+24
3652.9752, 2.486774996e+25, 1.241847617e+24
3653.0361, 2.502020659e+25, 1.244543680e+24
3653.0970, 2.517266576e+25, 1.247242362e+24
3653.1579, 2.532512747e+25, 1.249943648e+24
3653.2189, 2.547759173e+25, 1.252647520e+24
3653.2798, 2.563005853e+25, 1.255353962e+24
3653.3407, 2.578252787e+25, 1.258062959e+24
3653.4017, 2.593499975e+25, 1.260774494e+24
3653.4626, 2.593833085e+25, 1.261344404e+24
3653.5235, 2.585949711e+25, 1.260735339e+24
3653.5845, 2.578066205e+25, 1.260128471e+24
3653.6454, 2.570182568e+25, 1.259523803e+24
3653.7063, 2.562298800e+25, 1.258921339e+24
3653.7673, 2.554414900e+25, 1.258321081e+24
3653.8282, 2.546530868e+25, 1.257723033e+24
3653.8891, 2.538646705e+25, 1.257127199e+24
3653.9501, 2.530762411e+25, 1.256533581e+24
3654.0110, 2.522877985e+25, 1.255942183e+24
3654.0720, 2.514993427e+25, 1.255353008e+24
3654.1329, 2.507108738e+25, 1.254766060e+24
3654.1939, 2.499223918e+25, 1.254181341e+24
3654.2548, 2.491338966e+25, 1.253598855e+24
3654.3158, 2.492951852e+25, 1.255086048e+24
3654.3767, 2.496405500e+25, 1.256974799e+24
3654.4376, 2.499859205e+25, 1.258864310e+24
3654.4986, 2.503312968e+25, 1.260754579e+24
3654.5596, 2.506766788e+25, 1.262645603e+24
3654.6205, 2.510220666e+25, 1.264537378e+24
3654.6815, 2.513674602e+25, 1.266429900e+24
3654.7424, 2.517128595e+25, 1.268323168e+24
3654.8034, 2.520582646e+25, 1.270217178e+24
3654.8643, 2.524036755e+25, 1.272111926e+24
3654.9253, 2.527490921e+25, 1.274007409e+24
3654.9862, 2.530945145e+25, 1.275903625e+24
3655.0472, 2.534399426e+25, 1.277800571e+24
3655.1082, 2.538036344e+25, 1.279644027e+24
3655.1691, 2.547183016e+25, 1.279851946e+24
3655.2301, 2.556329839e+25, 1.280060150e+24
3655.2910, 2.565476816e+25, 1.280268637e+24
3655.3520, 2.574623944e+25, 1.280477407e+24
3655.4130, 2.583771226e+25, 1.280686462e+24
3655.4739, 2.592918660e+25, 1.280895800e+24
