# wavelength, Lum, Lum_error
3650.0519, 2.491279355e+25, 9.929165125e+23
3650.1128, 2.490385682e+25, 9.928857481e+23
3650.1737, 2.488306553e+25, 9.928745717e+23
3650.2346, 2.486227389e+25, 9.928635230e+23
3650.2954, 2.484148191e+25, 9.928526019e+23
3650.3563, 2.482068957e+25, 9.928418086e+23
3650.4172, 2.479989690e+25, 9.928311429e+23
3650.4781, 2.477910387e+25, 9.928206049e+23
3650.5390, 2.475831050e+25, 9.928101946e+23
3650.5999, 2.473751678e+25, 9.927999121e+23
3650.6607, 2.471672271e+25, 9.927897573e+23
3650.7216, 2.469592830e+25, 9.927797303e+23
3650.7825, 2.467513354e+25, 9.927698310e+23
3650.8434, 2.465433844e+25, 9.927600594e+23
3650.9043, 2.462758273e+25, 9.926059328e+23
3650.9652, 2.451103752e+25, 9.902752815e+23
3651.0261, 2.439449036e+25, 9.879445954e+23
3651.0870, 2.427794125e+25, 9.856138744e+23
3651.1479, 2.416139021e+25, 9.832831186e+23
3651.2088, 2.404483721e+25, 9.809523279e+23
3651.2697, 2.392828228e+25, 9.786215025e+23
3651.3305, 2.381172540e+25, 9.762906423e+23
3651.3914, 2.369516657e+25, 9.739597474e+23
3651.4523, 2.357860581e+25, 9.716288178e+23
3651.5132, 2.346204309e+25, 9.692978535e+23
3651.5741, 2.334547844e+25, 9.669668546e+23
3651.6350, 2.322891184e+25, 9.646358211e+23
3651.6960, 2.311234329e+25, 9.623047530e+23
3651.7569, 2.302311174e+25, 9.604190930e+23
3651.8178, 2.301356836e+25, 9.598318428e+23
3651.8787, 2.300402484e+25, 9.592446283e+23
3651.9396, 2.299448115e+25, 9.586574496e+23
3652.0005, 2.298493730e+25, 9.580703067e+23
3652.0614, 2.297539329e+25, 9.574831998e+23
3652.1223, 2.296584913e+25, 9.568961289e+23
3652.1832, 2.295630480e+25, 9.563090941e+23
3652.2441, 2.294676032e+25, 9.557220955e+23
3652.3050, 2.293721567e+25, 9.551351332e+23
3652.3660, 2.292767087e+25, 9.545482073e+23
3652.4269, 2.291812591e+25, 9.539613178e+23
3652.4878, 2.290858079e+25, 9.533744649e+23
3652.5487, 2.289903551e+25, 9.527876486e+23
3652.6096, 2.298174237e+25, 9.539119753e+23
3652.6705, 2.317713027e+25, 9.571263801e+23
3652.7315, 2.337252142e+25, 9.603409091e+23
3652.7924, 2.356791583e+25, 9.635555617e+23
3652.8533, 2.376331351e+25, 9.667703370e+23
3652.9142, 2.395871444e+25, 9.699852345e+23
3652.9752, 2.415411863e+25, 9.732002534e+23
3653.0361, 2.434952608e+25, 9.764153931e+23
3653.0970, 2.454493678e+25, 9.796306530e+23
3653.1579, 2.474035075e+25, 9.828460323e+23
3653.2189, 2.493576798e+25, 9.860615304e+23
3653.2798, 2.513118846e+25, 9.892771467e+23
3653.3407, 2.532661221e+25, 9.924928807e+23
3653.4017, 2.552203921e+25, 9.957087316e+23
3653.4626, 2.552597891e+25, 9.958561761e+23
3653.5235, 2.542442417e+25, 9.943131916e+23
3653.5845, 2.532286773e+25, 9.927702354e+23
3653.6454, 2.522130960e+25, 9.912273076e+23
3653.7063, 2.511974978e+25, 9.896844086e+23
3653.7673, 2.501818826e+25, 9.881415386e+23
3653.8282, 2.491662505e+25, 9.865986978e+23
3653.8891, 2.481506014e+25, 9.850558865e+23
3653.9501, 2.471349354e+25, 9.835131050e+23
3654.0110, 2.461192525e+25, 9.819703536e+23
3654.0720, 2.451035526e+25, 9.804276325e+23
3654.1329, 2.440878358e+25, 9.788849419e+23
3654.1939, 2.430721021e+25, 9.773422822e+23
3654.2548, 2.420563514e+25, 9.757996536e+23
3654.3158, 2.418458873e+25, 9.762574470e+23
3654.3767, 2.417914900e+25, 9.771029508e+23
3654.4376, 2.417370918e+25, 9.779484866e+23
3654.4986, 2.416826927e+25, 9.787940543e+23
3654.5596, 2.416282926e+25, 9.796396540e+23
3654.6205, 2.415738917e+25, 9.804852856e+23
3654.6815, 2.415194898e+25, 9.813309490e+23
3654.7424, 2.414650871e+25, 9.821766442e+23
3654.8034, 2.414106834e+25, 9.830223712e+23
3654.8643, 2.413562788e+25, 9.838681298e+23
