# wavelength, Lum[W], Lum_error [W]
3650.0519, 3.152717603e+25, 3.766582694e+24
3650.1128, 3.180464422e+25, 3.778367871e+24
3650.1737, 3.205429158e+25, 3.790934286e+24
3650.2346, 3.230394310e+25, 3.803503893e+24
3650.2954, 3.255359878e+25, 3.816076662e+24
3650.3563, 3.280325862e+25, 3.828652564e+24
3650.4172, 3.305292263e+25, 3.841231571e+24
3650.4781, 3.330259081e+25, 3.853813655e+24
3650.5390, 3.355226315e+25, 3.866398787e+24
3650.5999, 3.380193965e+25, 3.878986940e+24
3650.6607, 3.405162031e+25, 3.891578087e+24
3650.7216, 3.430130514e+25, 3.904172201e+24
3650.7825, 3.455099414e+25, 3.916769256e+24
3650.8434, 3.480068730e+25, 3.929369226e+24
3650.9043, 3.500400992e+25, 3.941372877e+24
3650.9652, 3.450871733e+25, 3.944352473e+24
3651.0261, 3.401341648e+25, 3.947334666e+24
3651.0870, 3.351810737e+25, 3.950319450e+24
3651.1479, 3.302279000e+25, 3.953306820e+24
3651.2088, 3.252746437e+25, 3.956296771e+24
3651.2697, 3.203213048e+25, 3.959289296e+24
3651.3305, 3.153678833e+25, 3.962284389e+24
3651.3914, 3.104143791e+25, 3.965282047e+24
3651.4523, 3.054607923e+25, 3.968282262e+24
3651.5132, 3.005071229e+25, 3.971285029e+24
3651.5741, 2.955533709e+25, 3.974290343e+24
3651.6350, 2.905995363e+25, 3.977298199e+24
3651.6960, 2.856456190e+25, 3.980308590e+24
3651.7569, 2.808806153e+25, 3.982963834e+24
3651.8178, 2.766664329e+25, 3.984577625e+24
3651.8787, 2.724521802e+25, 3.986191705e+24
3651.9396, 2.682378572e+25, 3.987806074e+24
3652.0005, 2.640234639e+25, 3.989420731e+24
3652.0614, 2.598090004e+25, 3.991035677e+24
3652.1223, 2.555944665e+25, 3.992650910e+24
3652.1832, 2.513798624e+25, 3.994266431e+24
3652.2441, 2.471651880e+25, 3.995882239e+24
3652.3050, 2.429504433e+25, 3.997498335e+24
3652.3660, 2.387356282e+25, 3.999114717e+24
3652.4269, 2.345207429e+25, 4.000731385e+24
3652.4878, 2.303057873e+25, 4.002348340e+24
3652.5487, 2.260907614e+25, 4.003965580e+24
3652.6096, 2.272313158e+25, 4.012221412e+24
3652.6705, 2.349134370e+25, 4.028585753e+24
3652.7315, 2.425956862e+25, 4.044950475e+24
3652.7924, 2.502780636e+25, 4.061315578e+24
3652.8533, 2.579605691e+25, 4.077681059e+24
3652.9142, 2.656432028e+25, 4.094046918e+24
3652.9752, 2.733259646e+25, 4.110413153e+24
3653.0361, 2.810088545e+25, 4.126779763e+24
3653.0970, 2.886918726e+25, 4.143146747e+24
3653.1579, 2.963750188e+25, 4.159514104e+24
3653.2189, 3.040582931e+25, 4.175881832e+24
3653.2798, 3.117416956e+25, 4.192249931e+24
3653.3407, 3.194252262e+25, 4.208618399e+24
3653.4017, 3.271088850e+25, 4.224987235e+24
3653.4626, 3.289878947e+25, 4.231764616e+24
3653.5235, 3.276690126e+25, 4.233258587e+24
3653.5845, 3.263501085e+25, 4.234753447e+24
3653.6454, 3.250311825e+25, 4.236249197e+24
3653.7063, 3.237122344e+25, 4.237745834e+24
3653.7673, 3.223932643e+25, 4.239243359e+24
3653.8282, 3.210742723e+25, 4.240741770e+24
3653.8891, 3.197552582e+25, 4.242241066e+24
3653.9501, 3.184362222e+25, 4.243741247e+24
3654.0110, 3.171171641e+25, 4.245242311e+24
3654.0720, 3.157980841e+25, 4.246744259e+24
3654.1329, 3.144789820e+25, 4.248247088e+24
3654.1939, 3.131598580e+25, 4.249750799e+24
3654.2548, 3.118407119e+25, 4.251255389e+24
3654.3158, 3.104324646e+25, 4.246805998e+24
3654.3767, 3.090069300e+25, 4.241203574e+24
3654.4376, 3.075813716e+25, 4.235602195e+24
3654.4986, 3.061557894e+25, 4.230001865e+24
3654.5596, 3.047301834e+25, 4.224402589e+24
3654.6205, 3.033045537e+25, 4.218804372e+24
3654.6815, 3.018789002e+25, 4.213207218e+24
3654.7424, 3.004532229e+25, 4.207611133e+24
3654.8034, 2.990275218e+25, 4.202016120e+24
3654.8643, 2.976017969e+25, 4.196422184e+24
3654.9253, 2.961760483e+25, 4.190829331e+24
3654.9862, 2.947502759e+25, 4.185237565e+24
3655.0472, 2.933244797e+25, 4.179646890e+24
3655.1082, 2.920270153e+25, 4.174114466e+24
3655.1691, 2.946029131e+25, 4.170307530e+24
3655.2301, 2.971788538e+25, 4.166501058e+24
3655.2910, 2.997548375e+25, 4.162695051e+24
3655.3520, 3.023308642e+25, 4.158889511e+24
3655.4130, 3.049069338e+25, 4.155084438e+24
3655.4739, 3.074830464e+25, 4.151279835e+24
3655.5349, 3.100592019e+25, 4.147475703e+24
3655.5959, 3.126354004e+25, 4.143672044e+24
3655.6568, 3.152116419e+25, 4.139868858e+24
3655.7178, 3.177879264e+25, 4.136066148e+24
3655.7788, 3.203642538e+25, 4.132263916e+24
3655.8398, 3.229406242e+25, 4.128462161e+24
3655.9007, 3.255170375e+25, 4.124660887e+24
3655.9617, 3.279065715e+25, 4.122271507e+24
3656.0227, 3.296573903e+25, 4.124705488e+24
3656.0837, 3.314082383e+25, 4.127139644e+24
3656.1446, 3.331591155e+25, 4.129573974e+24
3656.2056, 3.349100219e+25, 4.132008479e+24
3656.2666, 3.366609575e+25, 4.134443157e+24
3656.3276, 3.384119223e+25, 4.136878010e+24
3656.3886, 3.401629163e+25, 4.139313036e+24
3656.4495, 3.419139395e+25, 4.141748235e+24
3656.5105, 3.436649919e+25, 4.144183608e+24
3656.5715, 3.454160735e+25, 4.146619153e+24
3656.6325, 3.471671843e+25, 4.149054872e+24
3656.6935, 3.489183243e+25, 4.151490762e+24
3656.7545, 3.506694936e+25, 4.153926825e+24
3656.8155, 3.500651439e+25, 4.154833191e+24
3656.8764, 3.462158557e+25, 4.153632169e+24
3656.9374, 3.423665033e+25, 4.152431210e+24
3656.9984, 3.385170866e+25, 4.151230314e+24
3657.0594, 3.346676058e+25, 4.150029480e+24
3657.1204, 3.308180608e+25, 4.148828709e+24
3657.1814, 3.269684515e+25, 4.147628001e+24
3657.2424, 3.231187781e+25, 4.146427356e+24
3657.3034, 3.192690404e+25, 4.145226773e+24
3657.3644, 3.154192386e+25, 4.144026254e+24
3657.4254, 3.115693725e+25, 4.142825799e+24
3657.4864, 3.077194422e+25, 4.141625406e+24
3657.5474, 3.038694477e+25, 4.140425077e+24
3657.6084, 3.000193890e+25, 4.139224811e+24
3657.6694, 2.983803813e+25, 4.140846051e+24
3657.7304, 2.981272415e+25, 4.144236055e+24
3657.7914, 2.978740975e+25, 4.147626462e+24
3657.8524, 2.976209493e+25, 4.151017271e+24
3657.9134, 2.973677969e+25, 4.154408482e+24
3657.9744, 2.971146403e+25, 4.157800093e+24
3658.0354, 2.968614794e+25, 4.161192104e+24
3658.0964, 2.966083143e+25, 4.164584513e+24
3658.1575, 2.963551450e+25, 4.167977321e+24
3658.2185, 2.961019714e+25, 4.171370526e+24
3658.2795, 2.958487937e+25, 4.174764127e+24
3658.3405, 2.955956117e+25, 4.178158124e+24
3658.4015, 2.953424255e+25, 4.181552516e+24
3658.4625, 2.950892351e+25, 4.184947302e+24
3658.5235, 2.995491462e+25, 4.191007005e+24
3658.5846, 3.051238738e+25, 4.197697063e+24
3658.6456, 3.106986943e+25, 4.204387243e+24
