# wavelength, Lum[W], Lum_error [W]
3650.0519, 2.460774423e+25, 9.963524031e+23
3650.1128, 2.462348740e+25, 9.963703008e+23
3650.1737, 2.463147815e+25, 9.964122642e+23
3650.2346, 2.463946903e+25, 9.964542403e+23
3650.2954, 2.464746005e+25, 9.964962289e+23
3650.3563, 2.465545119e+25, 9.965382301e+23
3650.4172, 2.466344248e+25, 9.965802439e+23
3650.4781, 2.467143389e+25, 9.966222703e+23
3650.5390, 2.467942544e+25, 9.966643093e+23
3650.5999, 2.468741712e+25, 9.967063608e+23
3650.6607, 2.469540893e+25, 9.967484249e+23
3650.7216, 2.470340088e+25, 9.967905015e+23
3650.7825, 2.471139296e+25, 9.968325908e+23
3650.8434, 2.471938518e+25, 9.968746926e+23
3650.9043, 2.472077315e+25, 9.967785017e+23
3650.9652, 2.462266862e+25, 9.945995778e+23
3651.0261, 2.452456245e+25, 9.924220999e+23
3651.0870, 2.442645464e+25, 9.902460780e+23
3651.1479, 2.432834520e+25, 9.880715220e+23
3651.2088, 2.423023412e+25, 9.858984419e+23
3651.2697, 2.413212140e+25, 9.837268477e+23
3651.3305, 2.403400705e+25, 9.815567497e+23
3651.3914, 2.393589106e+25, 9.793881581e+23
3651.4523, 2.383777343e+25, 9.772210832e+23
3651.5132, 2.373965417e+25, 9.750555356e+23
3651.5741, 2.364153327e+25, 9.728915257e+23
3651.6350, 2.354341074e+25, 9.707290641e+23
3651.6960, 2.344528657e+25, 9.685681615e+23
3651.7569, 2.336413703e+25, 9.668185002e+23
3651.8178, 2.333246992e+25, 9.662636433e+23
3651.8787, 2.330080228e+25, 9.657089209e+23
3651.9396, 2.326913412e+25, 9.651543335e+23
3652.0005, 2.323746543e+25, 9.645998812e+23
3652.0614, 2.320579620e+25, 9.640455644e+23
3652.1223, 2.317412645e+25, 9.634913832e+23
3652.1832, 2.314245618e+25, 9.629373380e+23
3652.2441, 2.311078537e+25, 9.623834289e+23
3652.3050, 2.307911404e+25, 9.618296563e+23
3652.3660, 2.304744217e+25, 9.612760204e+23
3652.4269, 2.301576978e+25, 9.607225215e+23
3652.4878, 2.298409686e+25, 9.601691598e+23
3652.5487, 2.295242341e+25, 9.596159355e+23
3652.6096, 2.302297599e+25, 9.606945052e+23
3652.6705, 2.321839224e+25, 9.637671775e+23
3652.7315, 2.341381174e+25, 9.668413953e+23
3652.7924, 2.360923451e+25, 9.699171444e+23
3652.8533, 2.380466053e+25, 9.729944109e+23
3652.9142, 2.400008981e+25, 9.760731809e+23
3652.9752, 2.419552235e+25, 9.791534409e+23
3653.0361, 2.439095815e+25, 9.822351774e+23
3653.0970, 2.458639721e+25, 9.853183770e+23
3653.1579, 2.478183954e+25, 9.884030267e+23
3653.2189, 2.497728512e+25, 9.914891134e+23
3653.2798, 2.517273396e+25, 9.945766244e+23
3653.3407, 2.536818605e+25, 9.976655469e+23
