# wavelength, Lum[W], Lum_error [W]
3657.4864, 2.466165649e+25, 9.853112271e+23
3657.5474, 2.463207314e+25, 9.843972024e+23
3657.6084, 2.460248931e+25, 9.834833683e+23
3657.6694, 2.458965107e+25, 9.829042117e+23
3657.7304, 2.458730883e+25, 9.825347366e+23
3657.7914, 2.458496655e+25, 9.821652554e+23
3657.8524, 2.458262423e+25, 9.817957680e+23
3657.9134, 2.458028187e+25, 9.814262745e+23
3657.9744, 2.457793947e+25, 9.810567748e+23
3658.0354, 2.457559704e+25, 9.806872690e+23
3658.0964, 2.457325456e+25, 9.803177571e+23
3658.1575, 2.457091205e+25, 9.799482390e+23
3658.2185, 2.456856950e+25, 9.795787148e+23
3658.2795, 2.456622690e+25, 9.792091845e+23
3658.3405, 2.456388427e+25, 9.788396480e+23
3658.4015, 2.456154160e+25, 9.784701054e+23
3658.4625, 2.455919889e+25, 9.781005566e+23
3658.5235, 2.462661756e+25, 9.791673652e+23
3658.5846, 2.471053728e+25, 9.805740490e+23
3658.6456, 2.479445841e+25, 9.819808987e+23
3658.7066, 2.487838094e+25, 9.833879137e+23
3658.7676, 2.496230487e+25, 9.847950934e+23
3658.8286, 2.504623020e+25, 9.862024372e+23
3658.8897, 2.513015692e+25, 9.876099445e+23
3658.9507, 2.521408505e+25, 9.890176146e+23
3659.0117, 2.529801458e+25, 9.904254471e+23
3659.0727, 2.538194550e+25, 9.918334413e+23
3659.1338, 2.546587783e+25, 9.932415967e+23
3659.1948, 2.554981156e+25, 9.946499126e+23
3659.2558, 2.563374668e+25, 9.960583886e+23
3659.3169, 2.571724824e+25, 9.974580346e+23
3659.3779, 2.563615251e+25, 9.954560731e+23
3659.4389, 2.555505542e+25, 9.934541130e+23
3659.5000, 2.547395698e+25, 9.914521546e+23
3659.5610, 2.539285719e+25, 9.894501980e+23
3659.6220, 2.531175605e+25, 9.874482435e+23
3659.6831, 2.523065355e+25, 9.854462913e+23
3659.7441, 2.514954970e+25, 9.834443416e+23
3659.8051, 2.506844450e+25, 9.814423945e+23
3659.8662, 2.498733795e+25, 9.794404505e+23
3659.9272, 2.490623004e+25, 9.774385096e+23
3659.9883, 2.482512078e+25, 9.754365721e+23
3660.0493, 2.474401017e+25, 9.734346382e+23
3660.1103, 2.466289820e+25, 9.714327082e+23
3660.1714, 2.457562116e+25, 9.695929419e+23
3660.2324, 2.446313074e+25, 9.684165109e+23
3660.2935, 2.435063843e+25, 9.672401557e+23
3660.3545, 2.423814426e+25, 9.660638767e+23
3660.4156, 2.412564820e+25, 9.648876741e+23
3660.4766, 2.401315027e+25, 9.637115484e+23
3660.5377, 2.390065047e+25, 9.625354998e+23
3660.5987, 2.378814878e+25, 9.613595289e+23
3660.6598, 2.367564522e+25, 9.601836358e+23
3660.7208, 2.356313979e+25, 9.590078210e+23
3660.7819, 2.345063247e+25, 9.578320849e+23
3660.8429, 2.333812329e+25, 9.566564278e+23
3660.9040, 2.322561222e+25, 9.554808501e+23
3660.9651, 2.311309928e+25, 9.543053522e+23
3661.0261, 2.307019096e+25, 9.535901894e+23
3661.0872, 2.313607762e+25, 9.535946577e+23
3661.1482, 2.320196538e+25, 9.535994557e+23
3661.2093, 2.326785424e+25, 9.536045834e+23
3661.2704, 2.333374420e+25, 9.536100409e+23
3661.3314, 2.339963525e+25, 9.536158281e+23
3661.3925, 2.346552741e+25, 9.536219451e+23
3661.4536, 2.353142066e+25, 9.536283919e+23
3661.5146, 2.359731502e+25, 9.536351684e+23
3661.5757, 2.366321047e+25, 9.536422748e+23
3661.6368, 2.372910702e+25, 9.536497109e+23
3661.6978, 2.379500467e+25, 9.536574769e+23
3661.7589, 2.386090342e+25, 9.536655726e+23
3661.8200, 2.392680327e+25, 9.536739982e+23
3661.8811, 2.401447171e+25, 9.542665086e+23
3661.9421, 2.411766079e+25, 9.552753585e+23
3662.0032, 2.422085159e+25, 9.562843153e+23
3662.0643, 2.432404412e+25, 9.572933786e+23
3662.1254, 2.442723837e+25, 9.583025481e+23
3662.1864, 2.453043433e+25, 9.593118237e+23
3662.2475, 2.463363202e+25, 9.603212050e+23
3662.3086, 2.473683143e+25, 9.613306917e+23
3662.3697, 2.484003256e+25, 9.623402837e+23
3662.4308, 2.494323541e+25, 9.633499805e+23
3662.4918, 2.504643999e+25, 9.643597819e+23
3662.5529, 2.514964628e+25, 9.653696877e+23
3662.6140, 2.525285430e+25, 9.663796976e+23
3662.6751, 2.535606404e+25, 9.673898113e+23
3662.7362, 2.523007444e+25, 9.654025824e+23
3662.7973, 2.503904042e+25, 9.625647501e+23
3662.8584, 2.484800322e+25, 9.597269056e+23
3662.9195, 2.465696283e+25, 9.568890491e+23
3662.9805, 2.446591925e+25, 9.540511810e+23
3663.0416, 2.427487248e+25, 9.512133017e+23
3663.1027, 2.408382253e+25, 9.483754113e+23
3663.1638, 2.389276939e+25, 9.455375104e+23
3663.2249, 2.370171307e+25, 9.426995991e+23
3663.2860, 2.351065356e+25, 9.398616778e+23
3663.3471, 2.331959086e+25, 9.370237470e+23
3663.4082, 2.312852498e+25, 9.341858068e+23
3663.4693, 2.293745590e+25, 9.313478577e+23
3663.5304, 2.274638365e+25, 9.285099000e+23
