# wavelength, Lum[W], Lum_error [W]
3650.0519, 2.299328020e+25, 2.386953919e+24
3650.1128, 2.285978151e+25, 2.389568739e+24
3650.1737, 2.271125760e+25, 2.392316736e+24
3650.2346, 2.256273121e+25, 2.395065396e+24
3650.2954, 2.241420234e+25, 2.397814718e+24
3650.3563, 2.226567100e+25, 2.400564699e+24
3650.4172, 2.211713718e+25, 2.403315337e+24
3650.4781, 2.196860088e+25, 2.406066630e+24
3650.5390, 2.182006210e+25, 2.408818577e+24
3650.5999, 2.167152085e+25, 2.411571175e+24
3650.6607, 2.152297711e+25, 2.414324422e+24
3650.7216, 2.137443091e+25, 2.417078316e+24
3650.7825, 2.122588222e+25, 2.419832855e+24
3650.8434, 2.107733106e+25, 2.422588037e+24
3650.9043, 2.093919335e+25, 2.425563616e+24
3650.9652, 2.095796571e+25, 2.431856317e+24
3651.0261, 2.097673839e+25, 2.438160820e+24
3651.0870, 2.099551137e+25, 2.444477036e+24
3651.1479, 2.101428468e+25, 2.450804875e+24
3651.2088, 2.103305829e+25, 2.457144249e+24
3651.2697, 2.105183222e+25, 2.463495070e+24
3651.3305, 2.107060646e+25, 2.469857251e+24
3651.3914, 2.108938102e+25, 2.476230706e+24
3651.4523, 2.110815588e+25, 2.482615351e+24
3651.5132, 2.112693106e+25, 2.489011098e+24
3651.5741, 2.114570656e+25, 2.495417866e+24
3651.6350, 2.116448236e+25, 2.501835571e+24
3651.6960, 2.118325849e+25, 2.508264129e+24
3651.7569, 2.125568561e+25, 2.514662766e+24
3651.8178, 2.148449924e+25, 2.520949454e+24
3651.8787, 2.171331669e+25, 2.527240379e+24
3651.9396, 2.194213795e+25, 2.533535511e+24
3652.0005, 2.217096302e+25, 2.539834820e+24
3652.0614, 2.239979192e+25, 2.546138275e+24
3652.1223, 2.262862463e+25, 2.552445847e+24
3652.1832, 2.285746115e+25, 2.558757506e+24
3652.2441, 2.308630150e+25, 2.565073224e+24
3652.3050, 2.331514566e+25, 2.571392971e+24
3652.3660, 2.354399364e+25, 2.577716718e+24
3652.4269, 2.377284543e+25, 2.584044438e+24
3652.4878, 2.400170104e+25, 2.590376101e+24
3652.5487, 2.423056047e+25, 2.596711681e+24
3652.6096, 2.439044020e+25, 2.602403532e+24
3652.6705, 2.446606414e+25, 2.607306159e+24
3652.7315, 2.454168934e+25, 2.612209777e+24
3652.7924, 2.461731580e+25, 2.617114382e+24
3652.8533, 2.469294352e+25, 2.622019969e+24
3652.9142, 2.476857250e+25, 2.626926533e+24
3652.9752, 2.484420274e+25, 2.631834068e+24
3653.0361, 2.491983425e+25, 2.636742571e+24
3653.0970, 2.499546701e+25, 2.641652035e+24
3653.1579, 2.507110104e+25, 2.646562457e+24
3653.2189, 2.514673633e+25, 2.651473830e+24
3653.2798, 2.522237288e+25, 2.656386152e+24
3653.3407, 2.529801069e+25, 2.661299416e+24
3653.4017, 2.537364976e+25, 2.666213618e+24
3653.4626, 2.530866450e+25, 2.668963773e+24
3653.5235, 2.516620579e+25, 2.670522970e+24
3653.5845, 2.502374470e+25, 2.672084087e+24
3653.6454, 2.488128124e+25, 2.673647121e+24
3653.7063, 2.473881540e+25, 2.675212069e+24
3653.7673, 2.459634718e+25, 2.676778928e+24
3653.8282, 2.445387659e+25, 2.678347694e+24
3653.8891, 2.431140362e+25, 2.679918363e+24
3653.9501, 2.416892827e+25, 2.681490934e+24
3654.0110, 2.402645055e+25, 2.683065403e+24
3654.0720, 2.388397045e+25, 2.684641766e+24
3654.1329, 2.374148798e+25, 2.686220020e+24
3654.1939, 2.359900313e+25, 2.687800163e+24
3654.2548, 2.345651590e+25, 2.689382190e+24
3654.3158, 2.368018671e+25, 2.692353110e+24
3654.3767, 2.397482423e+25, 2.695593076e+24
