ra, dec, MJD, MANGAID, Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],User Spectral Type,User [Fe/H]
192.24812,+042.61968,57066,4-822,csv,-7.311666666452292,G1,-1.0,nan,nan
192.30234,+012.67209,57062,4-20592,csv,0.5749999999831538,K3,-1.0,nan,nan
192.30234,+012.67209,57121,4-20592,csv,-2.6324999999228154,K3,+0.5,nan,nan
192.30234,+012.67209,57060,4-20592,csv,-21.018333332717077,F2,-0.5,nan,nan
192.30234,+012.67209,57064,4-20592,csv,-25.696666665913256,F2,-0.5,nan,nan
192.30234,+012.67209,57122,4-20592,csv,66.09249999806218,A6,+0.0,nan,nan
192.30234,+012.67209,57142,4-20592,csv,-55.76166666503175,A6,+0.0,nan,nan
192.31931,+011.02383,57114,4-20815,csv,-3.87249999988646,K3,-1.0,nan,nan
192.31931,+011.02383,57121,4-20815,csv,-3.4949999998975283,K3,-1.0,nan,nan
192.45779,+042.63955,57061,4-17206,csv,-10.572499999690013,M4,+0.5,nan,nan
192.45779,+042.63955,57063,4-17206,csv,-3.2674999999042003,M4,+0.5,nan,nan
192.63258,-002.64402,57473,3-109685798,csv,-4.633333333197478,F7,-2.0,nan,nan
192.63258,-002.64402,57450,3-109685798,csv,10.584999999689641,G0,-1.5,nan,nan
192.80194,+042.82838,57410,3-133381148,csv,-1.3274999999610755,F7,-1.0,nan,nan
192.80194,+042.82838,57417,3-133381148,csv,-4.094999999879944,G1,+0.0,nan,nan
192.93544,+012.83220,57496,3-113696410,csv,-7.05999999979301,G3,+0.0,nan,nan
192.96505,+013.03921,57059,4-20494,csv,6.162499999819316,F2,-0.5,nan,nan
192.96505,+013.03921,57114,4-20494,csv,-60.613333331556156,F4,-0.5,nan,nan
192.96505,+013.03921,57121,4-20494,csv,-10.044999999705478,F2,+0.0,nan,nan
192.96505,+013.03921,57060,4-20494,csv,-3.2049999999060326,F4,-0.5,nan,nan
192.96505,+013.03921,57064,4-20494,csv,-2.589999999924057,F2,-0.5,nan,nan
192.96505,+013.03921,57122,4-20494,csv,-0.6833333333132998,F7,+0.0,nan,nan
192.96505,+013.03921,57142,4-20494,csv,-0.39749999998833496,F7,+0.0,nan,nan
193.18316,+042.41742,57059,4-842,csv,80.39666666430942,A3,+0.5,nan,nan
193.18316,+042.41742,57062,4-842,csv,60.7199999982197,A2,+0.0,nan,nan
193.18316,+042.41742,57066,4-842,csv,25.164999999262175,A2,+0.0,nan,nan
193.27829,+041.62929,57059,4-830,csv,6.521666666475461,F5,-2.0,nan,nan
193.41752,+043.03006,57027,4-838,csv,-4.092499999880005,F4,-1.5,nan,nan
193.41752,+043.03006,57056,4-838,csv,-6.824999999799882,G8,-1.5,nan,nan
193.41752,+043.03006,57059,4-838,csv,-3.108333333242195,G9,-1.5,nan,nan
193.41752,+043.03006,57066,4-838,csv,0.9916666666375953,G4,-0.5,nan,nan
193.65316,+041.87008,57409,3-133045559,csv,2.3349999999315396,G3,+0.0,nan,nan
193.65316,+041.87008,57410,3-133045559,csv,-7.751666666439394,G4,-0.5,nan,nan
193.65316,+041.87008,57414,3-133045559,csv,-5.928333333159519,G3,+0.0,nan,nan
193.65316,+041.87008,57417,3-133045559,csv,-7.3849999997834805,G5,+0.0,nan,nan
193.65316,+041.87008,57443,3-133045559,csv,0.7549999999778668,G5,-0.5,nan,nan
193.65316,+041.87008,57465,3-133045559,csv,-7.233333333121256,G5,+0.0,nan,nan
195.56092,+042.44323,57061,4-17485,csv,-15.429999999547586,M2,+1.0,nan,nan
195.56092,+042.44323,57063,4-17485,csv,-11.504999999662678,M2,+1.0,nan,nan
195.56092,+042.44323,57064,4-17485,csv,-13.298333332943423,M2,+1.0,nan,nan
195.56380,+042.64712,57059,4-832,csv,-28.46666666583202,F6,-1.5,nan,nan
195.62331,+042.37850,57059,4-827,csv,37.127499998911425,A0,+0.0,nan,nan
195.79623,+041.91756,57066,4-826,csv,-125.75833332964612,A2,+0.0,nan,nan
204.84359,-000.28186,57793,3-112591633,csv,-13.487499999604555,G5,-0.5,nan,nan
205.67483,+000.59752,57057,4-21721,csv,-3.001666666578654,M0,+0.5,nan,nan
205.67483,+000.59752,57096,4-21721,csv,-0.1666666666617774,G4,-0.5,nan,nan
205.67483,+000.59752,57114,4-21721,csv,-6.72249999980291,G6,-0.5,nan,nan
205.67483,+000.59752,57123,4-21721,csv,-0.94999999997215,K4,-1.0,nan,nan
205.67483,+000.59752,57142,4-21721,csv,-8.769999999742861,K3,-1.0,nan,nan
205.68177,+001.06280,57057,4-20908,csv,-1.372499999959771,M0,-0.5,nan,nan
205.68177,+001.06280,57113,4-20908,csv,-6.501666666476047,F5,-1.0,nan,nan
205.68177,+001.06280,57093,4-20908,csv,-31.131666665753894,F2,+0.0,nan,nan
205.68177,+001.06280,57123,4-20908,csv,0.5016666666519605,F4,-1.5,nan,nan
205.68177,+001.06280,57137,4-20908,csv,1.3083333332949791,G0,-0.5,nan,nan
206.29537,-000.49258,57793,3-113005845,csv,10.63249999968826,F7,+0.0,nan,nan
206.48379,+001.07330,57057,4-21387,csv,0.9449999999722936,M0,-0.5,nan,nan
206.48379,+001.07330,57060,4-21387,csv,-1.0199999999700908,K7,+0.5,nan,nan
206.48379,+001.07330,57096,4-21387,csv,-2.223333333268132,K5,+0.5,nan,nan
206.48379,+001.07330,57110,4-21387,csv,-11.899999999651094,F7,-1.0,nan,nan
206.48379,+001.07330,57113,4-21387,csv,-6.711666666469882,F7,-1.0,nan,nan
206.48379,+001.07330,57093,4-21387,csv,-7.508333333113188,M0,+0.5,nan,nan
206.48379,+001.07330,57114,4-21387,csv,-2.9499999999135125,M0,+0.5,nan,nan
206.48379,+001.07330,57123,4-21387,csv,-6.69999999980357,M0,+0.5,nan,nan
206.48379,+001.07330,57137,4-21387,csv,-4.791666666526167,K3,-1.0,nan,nan
206.48379,+001.07330,57142,4-21387,csv,-2.10833333327151,K3,-1.0,nan,nan
206.86048,+000.51307,57110,4-21733,csv,0.46999999998621284,K4,+0.5,nan,nan
206.86048,+000.51307,57113,4-21733,csv,-5.521666666504761,K3,-1.0,nan,nan
206.86048,+000.51307,57137,4-21733,csv,-4.044999999881405,K3,+0.5,nan,nan
206.86048,+000.51307,57142,4-21733,csv,-1.7274999999493605,K3,+0.5,nan,nan
206.99694,-000.51577,57793,3-113230897,csv,-7.1499999997903645,G3,+0.0,nan,nan
206.99694,-000.51577,57801,3-113230897,csv,-20.549999999397475,G3,+0.0,nan,nan
207.18768,+000.01225,57113,4-21697,csv,-6.4449999998110235,G8,-0.5,nan,nan
207.18768,+000.01225,57093,4-21697,csv,-1.3766666666262986,K3,-1.0,nan,nan
207.18768,+000.01225,57114,4-21697,csv,-12.164999999643328,G4,-0.5,nan,nan
207.18768,+000.01225,57123,4-21697,csv,-2.7449999999195156,K5,-0.5,nan,nan
207.18768,+000.01225,57142,4-21697,csv,0.3016666666578146,K5,-0.5,nan,nan
208.30132,+031.77478,57495,3-137269326,csv,-1.7024999999500972,M2,-1.0,nan,nan
208.32975,+032.32128,57876,3-137764272,csv,-1.507499999955803,G7,-1.5,nan,nan
208.32975,+032.32128,57879,3-137764272,csv,0.45499999998665935,K4,+0.5,nan,nan
208.91648,+033.64508,57876,3-138992033,csv,3.8899999998859407,F4,-0.5,nan,nan
208.91648,+033.64508,57879,3-138992033,csv,4.986666666520449,G9,-0.5,nan,nan
208.91648,+033.64508,57883,3-138992033,csv,-3.0716666665766055,G9,-0.5,nan,nan
208.91719,+031.75365,57909,3-137764137,csv,-4.039999999881552,K1,-1.0,nan,nan
208.91719,+031.75365,57860,3-137764137,csv,0.9899999999709714,F7,+0.0,nan,nan
210.35711,+032.83716,57909,3-139461894,csv,-2.0633333332728383,G9,-0.5,nan,nan
210.35711,+032.83716,57860,3-139461894,csv,7.636666666442761,K2,+0.5,nan,nan
210.35711,+032.83716,57878,3-139461894,csv,-0.7483333333114053,G9,-0.5,nan,nan
218.08505,+058.04441,57466,3-153201626,csv,-11.353333333000451,M0,-0.5,nan,nan
218.08505,+058.04441,57476,3-153201626,csv,-6.43999999981118,M0,-0.5,nan,nan
218.08505,+058.04441,57498,3-153201626,csv,-11.131666666340285,M0,-0.5,nan,nan
218.08505,+058.04441,57502,3-153201626,csv,-6.96249999979587,M2,+1.0,nan,nan
218.08505,+058.04441,57505,3-153201626,csv,-15.506666666212007,M3,+0.5,nan,nan
223.16000,-008.29039,57823,3-115827100,csv,-12.034999999647136,G3,+0.0,nan,nan
225.88593,+066.57616,57056,4-16257,csv,4.649999999863662,K7,+0.5,nan,nan
225.88593,+066.57616,57064,4-16257,csv,11.911666666317407,G7,-1.5,nan,nan
225.88593,+066.57616,57861,4-16257,csv,1.1999999999648088,K3,-1.0,nan,nan
226.54240,+035.73449,57833,3-148270084,csv,-4.251666666542014,K5,-2.0,nan,nan
226.54240,+035.73449,57851,3-148270084,csv,-1.4849999999564645,K5,-2.0,nan,nan
226.54240,+035.73449,57857,3-148270084,csv,-0.5849999999828505,K4,-1.0,nan,nan
226.54240,+035.73449,57860,3-148270084,csv,-0.3549999999896081,M0,+0.5,nan,nan
226.54240,+035.73449,57863,3-148270084,csv,-2.7849999999183486,K2,+0.5,nan,nan
226.76735,+035.81285,57833,3-148400110,csv,-0.4149999999878387,K3,+0.5,nan,nan
226.76735,+035.81285,57851,3-148400110,csv,-0.2949999999913548,F7,+0.0,nan,nan
226.76735,+035.81285,57860,3-148400110,csv,-4.941666666521776,G9,-0.5,nan,nan
226.76735,+035.81285,57863,3-148400110,csv,4.619999999864534,G6,-1.5,nan,nan
226.79519,+035.86487,57833,3-148400091,csv,0.8699999999744965,G6,+0.0,nan,nan
226.79519,+035.86487,57860,3-148400091,csv,-3.206666666572645,K7,-0.5,nan,nan
226.81675,+067.38997,57109,4-16847,csv,-9.486666666388514,M2,+1.0,nan,nan
227.12491,+036.19676,57833,3-148660775,csv,5.5833333331696275,K5,-0.5,nan,nan
227.12491,+036.19676,57851,3-148660775,csv,-17.318333332825564,K4,-1.0,nan,nan
227.12491,+036.19676,57857,3-148660775,csv,-7.763333333105725,G4,-0.5,nan,nan
227.12491,+036.19676,57863,3-148660775,csv,0.6799999999800588,G3,+0.0,nan,nan
227.98365,+037.44023,57851,7-11837633,csv,-8.184999999760015,M2,+0.0,nan,nan
227.98365,+037.44023,57854,7-11837633,csv,2.6066666665902347,K4,+0.5,nan,nan
227.98365,+037.44023,57860,7-11837633,csv,-3.1299999999082306,G9,-0.5,nan,nan
227.98365,+037.44023,57863,7-11837633,csv,-2.583333333257588,G9,-0.5,nan,nan
230.29886,+066.22872,57861,4-16374,csv,3.5516666665625287,K4,+0.5,nan,nan
230.29886,+066.22872,57109,4-16374,csv,9.51499999972102,K4,+0.5,nan,nan
240.69724,+005.90111,57560,3-139907317,csv,-7.736666666439823,M0,+0.5,nan,nan
240.69724,+005.90111,57858,3-139907317,csv,-11.509999999662531,M2,+1.0,nan,nan
240.69724,+005.90111,57890,3-139907317,csv,-7.594999999777308,M2,+0.0,nan,nan
240.69724,+005.90111,57918,3-139907317,csv,143.4533333291273,M0,+0.5,nan,nan
241.62293,+006.78785,57856,3-141039694,csv,-7.816666666437484,M4,+0.5,nan,nan
241.62293,+006.78785,57859,3-141039694,csv,-2.8799999999155523,M1,+0.5,nan,nan
241.62293,+006.78785,57891,3-141039694,csv,-1.9999999999413598,M1,+0.5,nan,nan
241.62293,+006.78785,57884,3-141039694,csv,78.18999999770746,F2,-0.5,nan,nan
241.62293,+006.78785,57888,3-141039694,csv,-54.91999999838975,F1,-0.5,nan,nan
242.86895,+050.60103,57475,3-156746538,csv,-4.114999999879348,M1,+0.5,nan,nan
242.86895,+050.60103,57480,3-156746538,csv,-8.06499999976353,M1,+0.5,nan,nan
242.86895,+050.60103,57500,3-156746538,csv,-6.063333333155559,M1,+0.5,nan,nan
242.86895,+050.60103,57503,3-156746538,csv,-11.619999999659301,M2,+0.0,nan,nan
242.86895,+050.60103,57560,3-156746538,csv,-11.639999999658706,M2,+0.0,nan,nan
242.91469,+052.09014,57471,3-156918068,csv,2.649999999922299,K5,+0.5,nan,nan
242.91469,+052.09014,57474,3-156918068,csv,3.3449999999019333,K5,-0.5,nan,nan
243.06489,+050.44895,57503,3-156746497,csv,-9.83499999971165,M2,+0.0,nan,nan
244.94889,+052.26541,57474,3-157355156,csv,-8.807499999741763,G0,-0.5,nan,nan
245.65523,+051.20960,57502,3-157354812,csv,-7.487499999780461,F7,+0.0,nan,nan
245.65523,+051.20960,57522,3-157354812,csv,-14.846666666231357,F7,-1.0,nan,nan
245.65523,+051.20960,57530,3-157354812,csv,0.20499999999399296,G3,+0.0,nan,nan
245.65523,+051.20960,57533,3-157354812,csv,2.9933333332455625,G6,+0.0,nan,nan
245.65523,+051.20960,57536,3-157354812,csv,-10.303333333031235,M2,+1.0,nan,nan
245.65523,+051.20960,57555,3-157354812,csv,-8.11666666642869,M2,+1.0,nan,nan
254.23750,+011.71047,57879,3-149037687,csv,1.0499999999692227,M0,-0.5,nan,nan
254.23750,+011.71047,57883,3-149037687,csv,-4.679999999862792,M0,-0.5,nan,nan
254.23750,+011.71047,57888,3-149037687,csv,-8.763333333076389,M0,+0.5,nan,nan
254.23750,+011.71047,57914,3-149037687,csv,0.9174999999731128,K7,-0.5,nan,nan
254.23750,+011.71047,57917,3-149037687,csv,-2.572499999924575,M1,-0.5,nan,nan
254.23750,+011.71047,57936,3-149037687,csv,-4.0674999998807415,M1,-0.5,nan,nan
285.95836,+038.96958,57533,3-8101113,csv,1.1483333332996655,K2,+0.5,nan,nan
291.97100,+037.59270,57297,4-11105,csv,-8.212499999759206,K3,-1.0,nan,nan
320.77503,+007.45700,57677,3-96832090,csv,5.5224999998380895,M0,+0.5,nan,nan
320.77503,+007.45700,57921,3-96832090,csv,1.2466666666301174,M0,+0.5,nan,nan
321.68284,+008.08126,57677,3-97049802,csv,7.339999999784779,K5,-2.0,nan,nan
321.68284,+008.08126,57921,3-97049802,csv,-5.258333333179162,G4,-0.5,nan,nan
322.09766,+012.30732,57556,4-12667,csv,2.0833333332722455,F3,-2.0,nan,nan
322.67518,+011.19492,57651,4-12844,csv,-86.70333333079121,F5,-2.0,nan,nan
322.87706,+012.43337,57561,3-94199556,csv,9.452499999722868,K7,+0.5,nan,nan
322.87706,+012.43337,57677,3-94199556,csv,-92.6316666639507,G7,-1.5,nan,nan
322.99194,+006.96239,57921,3-98401912,csv,-1.0316666666364132,K3,-1.0,nan,nan
323.12605,+011.72194,57560,4-12834,csv,-78.39666666436808,F5,-2.0,nan,nan
350.67059,+053.24331,57266,27-466,csv,-2.139999999937257,F7,-1.0,nan,nan
352.31628,+047.88747,57682,27-488,csv,13.56499999960227,G5,-1.5,nan,nan
353.84646,+048.17572,57676,27-500,csv,2.2649999999335875,F3,+0.0,nan,nan
353.84646,+048.17572,57682,27-500,csv,-5.601666666502433,K1,-2.0,nan,nan
