ra, dec, MJD, MANGAID, Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],User Spectral Type,User [Fe/H]
131.54337,+010.53545,57119,4-2994,csv,6.2649999998163075,F5,-2.0,nan,nan
132.15844,+012.84727,57022,4-3050,csv,-2.534999999925671,F5,-1.0,nan,nan
132.15844,+012.84727,57027,4-3050,csv,25.166666665928787,F4,-1.5,nan,nan
132.15844,+012.84727,57058,4-3050,csv,-2.9299999999141035,G4,-0.5,nan,nan
132.15844,+012.84727,57061,4-3050,csv,-1.2016666666314413,G3,+0.0,nan,nan
132.15844,+012.84727,57060,4-3050,csv,-4.281666666541128,G4,-0.5,nan,nan
132.15844,+012.84727,57063,4-3050,csv,-13.773333332929505,G8,-0.5,nan,nan
132.15844,+012.84727,57119,4-3050,csv,-5.54999999983727,G8,-0.5,nan,nan
132.15844,+012.84727,57327,4-3050,csv,-15.694999999539819,F4,-1.5,nan,nan
132.18246,+011.65052,57060,4-4038,csv,-18.1833333328002,F6,-0.5,nan,nan
137.54807,+021.89058,57058,4-4333,csv,32.90499999903523,F3,-2.0,nan,nan
137.54807,+021.89058,57061,4-4333,csv,-76.50333333109026,F3,-2.0,nan,nan
137.55226,+022.93014,57061,4-4097,csv,-1.8116666666135506,K3,-1.0,nan,nan
138.25615,+022.60422,57027,4-4417,csv,1.4783333332899928,K4,-1.0,nan,nan
138.25615,+022.60422,57058,4-4417,csv,-3.264999999904266,K3,-1.0,nan,nan
138.25615,+022.60422,57061,4-4417,csv,-1.4233333332916007,K3,-1.0,nan,nan
138.55054,+022.81094,57819,3-139927677,csv,-9.702499999715524,G4,-1.5,nan,nan
138.55054,+022.81094,57826,3-139927677,csv,-11.129999999673672,M2,+1.0,nan,nan
138.87279,+021.94074,57378,3-139002413,csv,-10.859999999681593,G9,-1.5,nan,nan
138.87279,+021.94074,57762,3-139002413,csv,-19.987499999413973,F6,-1.5,nan,nan
139.18915,+021.46752,57061,4-4602,csv,-3.0166666665782196,G4,-0.5,nan,nan
139.23090,+022.87793,57027,4-4639,csv,1.1016666666343686,K5,-0.5,nan,nan
