#Filename,File Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],User Spectral Type,User [Fe/H]
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G4+A2V.txt,csv,11.354999999667077,A3,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G4+A3V.txt,csv,-9.16166666639804,A3,+0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G4+A5V.txt,csv,-69.4099999979649,A6,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G4+A7V.txt,csv,-57.22999999832202,A7,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G4+F5.txt,csv,-7.2566666664539055,G3,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G4+F6.txt,csv,-6.06166666648893,G3,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G4+F7.txt,csv,-7.81833333310411,G3,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G4+F9.txt,csv,-11.732499999656016,G3,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G5+A0V.txt,csv,3.6199999998938686,A0,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G5+A2V.txt,csv,11.378333332999725,A2,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G5+A3V.txt,csv,-9.178333333064236,A3,+0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G5+A5V.txt,csv,-71.1983333312458,A6,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G5+A7V.txt,csv,-49.58999999854603,A7,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G5+F5.txt,csv,5.689999999833161,G0,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G5+F6.txt,csv,6.012499999823706,G0,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G5+F7.txt,csv,-9.091666666400096,G3,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G5+F9.txt,csv,-10.574999999689947,G1,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G6+A0V.txt,csv,3.4999999998973785,A0,+0.0,nan,nan
