# wavelength, Lum[W/AA], LumErr[W/AA]
3528.7046, nan, nan
3528.8149, nan, nan
3528.9233, nan, nan
3529.0320, nan, nan
3529.1404, nan, nan
3529.2488, nan, nan
3529.3574, nan, nan
3529.4658, nan, nan
3529.5745, nan, nan
3529.6848, nan, nan
3529.7935, nan, nan
3529.9019, nan, nan
3530.0105, nan, nan
3530.1189, nan, nan
3530.2275, nan, nan
3530.3359, nan, nan
3530.4446, nan, nan
3530.5530, nan, nan
3530.6636, nan, nan
3530.7720, nan, nan
3530.8806, nan, nan
3530.9893, nan, nan
3531.0977, nan, nan
3531.2063, nan, nan
3531.3149, nan, nan
3531.4233, nan, nan
3531.5320, nan, nan
3531.6406, nan, nan
3531.7490, nan, nan
3531.8596, nan, nan
3531.9683, nan, nan
3532.0769, nan, nan
3532.1853, nan, nan
3532.2939, nan, nan
3532.4026, nan, nan
3532.5112, nan, nan
3532.6199, nan, nan
3532.7283, nan, nan
3532.8369, nan, nan
3532.9456, nan, nan
3533.0542, nan, nan
3533.1628, nan, nan
3533.2715, nan, nan
3533.3801, nan, nan
3533.4907, nan, nan
3533.5994, nan, nan
3533.7080, nan, nan
3533.8167, nan, nan
3533.9253, nan, nan
3534.0339, nan, nan
3534.1426, nan, nan
3534.2512, nan, nan
3534.3599, nan, nan
3534.4685, nan, nan
3534.5771, nan, nan
3534.6858, nan, nan
3534.7944, nan, nan
3534.9031, nan, nan
3535.0117, nan, nan
3535.1204, nan, nan
3535.2292, nan, nan
3535.3379, nan, nan
3535.4465, nan, nan
3535.5552, nan, nan
3535.6638, nan, nan
3535.7727, nan, nan
3535.8813, nan, nan
3535.9900, nan, nan
3536.0986, nan, nan
3536.2075, nan, nan
3536.3162, nan, nan
3536.4248, nan, nan
3536.5337, nan, nan
3536.6423, nan, nan
3536.7510, nan, nan
3536.8599, nan, nan
3536.9685, nan, nan
3537.0771, nan, nan
3537.1860, nan, nan
3537.2947, nan, nan
3537.4036, nan, nan
3537.5122, nan, nan
3537.6211, nan, nan
3537.7297, nan, nan
3537.8384, nan, nan
3537.9473, nan, nan
3538.0559, nan, nan
3538.1648, nan, nan
3538.2737, nan, nan
3538.3823, nan, nan
3538.4912, nan, nan
3538.5999, nan, nan
3538.7087, nan, nan
3538.8174, nan, nan
3538.9263, nan, nan
3539.0352, nan, nan
3539.1438, nan, nan
3539.2527, nan, nan
3539.3616, nan, nan
3539.4702, nan, nan
3539.5791, nan, nan
3539.6880, nan, nan
3539.7969, nan, nan
3539.9055, nan, nan
3540.0144, nan, nan
3540.1233, nan, nan
3540.2302, nan, nan
3540.3389, nan, nan
3540.4478, nan, nan
3540.5566, nan, nan
3540.6655, nan, nan
3540.7744, nan, nan
3540.8833, nan, nan
3540.9922, nan, nan
3541.1008, nan, nan
3541.2097, nan, nan
3541.3186, nan, nan
3541.4275, nan, nan
3541.5364, nan, nan
3541.6453, nan, nan
3541.7542, nan, nan
3541.8611, nan, nan
3541.9700, nan, nan
3542.0789, nan, nan
3542.1877, nan, nan
3542.2966, nan, nan
3542.4055, nan, nan
3542.5144, nan, nan
3542.6235, nan, nan
3542.7324, nan, nan
3542.8413, nan, nan
3542.9502, nan, nan
3543.0591, nan, nan
3543.1660, nan, nan
3543.2749, nan, nan
3543.3840, nan, nan
3543.4929, nan, nan
3543.6018, nan, nan
3543.7107, nan, nan
3543.8196, nan, nan
3543.9287, nan, nan
3544.0376, nan, nan
3544.1445, nan, nan
3544.2537, nan, nan
3544.3625, nan, nan
3544.4714, nan, nan
3544.5806, nan, nan
3544.6895, nan, nan
3544.7983, nan, nan
3544.9075, nan, nan
3545.0144, nan, nan
3545.1233, nan, nan
3545.2324, nan, nan
3545.3413, nan, nan
3545.4504, nan, nan
3545.5593, nan, nan
3545.6685, nan, nan
3545.7773, nan, nan
3545.8845, nan, nan
3545.9934, nan, nan
3546.1025, nan, nan
3546.2114, nan, nan
3546.3206, nan, nan
3546.4294, nan, nan
3546.5366, nan, nan
3546.6458, nan, nan
3546.7546, nan, nan
3546.8638, nan, nan
3546.9727, nan, nan
3547.0818, nan, nan
3547.1909, nan, nan
3547.2979, nan, nan
3547.4070, nan, nan
3547.5161, nan, nan
3547.6252, nan, nan
3547.7341, nan, nan
3547.8433, nan, nan
3547.9504, nan, nan
3548.0596, nan, nan
3548.1685, nan, nan
3548.2776, nan, nan
3548.3867, nan, nan
3548.4939, nan, nan
3548.6030, nan, nan
3548.7122, nan, nan
3548.8210, nan, nan
3548.9302, nan, nan
3549.0393, nan, nan
3549.1465, nan, nan
3549.2556, nan, nan
3549.3647, nan, nan
3549.4739, nan, nan
3549.5830, nan, nan
3549.6902, nan, nan
3549.7993, nan, nan
3549.9084, nan, nan
3550.0176, nan, nan
3550.1267, nan, nan
3550.2339, nan, nan
3550.3430, nan, nan
3550.4521, nan, nan
3550.5613, nan, nan
3550.6685, nan, nan
3550.7778, nan, nan
3550.8870, nan, nan
3550.9961, nan, nan
3551.1052, nan, nan
3551.2124, nan, nan
3551.3215, nan, nan
3551.4309, nan, nan
3551.5400, nan, nan
3551.6472, nan, nan
3551.7563, nan, nan
3551.8655, nan, nan
3551.9749, nan, nan
3552.0820, nan, nan
3552.1912, nan, nan
3552.3005, nan, nan
3552.4097, nan, nan
3552.5168, nan, nan
3552.6262, nan, nan
3552.7354, nan, nan
3552.8445, nan, nan
3552.9519, nan, nan
3553.0610, nan, nan
3553.1704, nan, nan
3553.2795, nan, nan
3553.3870, nan, nan
3553.4961, nan, nan
3553.6052, nan, nan
3553.7146, nan, nan
3553.8218, nan, nan
3553.9312, nan, nan
3554.0403, nan, nan
3554.1497, nan, nan
3554.2571, nan, nan
3554.3662, nan, nan
3554.4756, nan, nan
3554.5828, nan, nan
3554.6921, nan, nan
3554.8015, nan, nan
3554.9106, nan, nan
3555.0181, nan, nan
3555.1274, nan, nan
3555.2366, nan, nan
3555.3440, nan, nan
3555.4534, nan, nan
3555.5625, nan, nan
3555.6719, nan, nan
3555.7793, nan, nan
3555.8887, nan, nan
3555.9978, nan, nan
3556.1052, nan, nan
3556.2146, nan, nan
3556.3240, nan, nan
3556.4314, nan, nan
3556.5405, nan, nan
3556.6499, nan, nan
3556.7593, nan, nan
3556.8667, nan, nan
3556.9761, nan, nan
3557.0854, nan, nan
3557.1929, nan, nan
3557.3022, nan, nan
3557.4116, nan, nan
3557.5190, nan, nan
3557.6284, nan, nan
3557.7378, nan, nan
3557.8452, nan, nan
3557.9546, nan, nan
3558.0640, nan, nan
3558.1714, nan, nan
3558.2808, nan, nan
3558.3901, nan, nan
3558.4976, nan, nan
3558.6069, nan, nan
3558.7163, nan, nan
3558.8237, nan, nan
3558.9331, nan, nan
3559.0427, nan, nan
3559.1501, nan, nan
3559.2595, nan, nan
3559.3689, nan, nan
3559.4763, nan, nan
3559.5859, nan, nan
3559.6934, nan, nan
3559.8027, nan, nan
3559.9121, nan, nan
3560.0198, nan, nan
3560.1292, nan, nan
3560.2385, nan, nan
3560.3462, nan, nan
3560.4556, nan, nan
3560.5649, nan, nan
3560.6726, nan, nan
3560.7820, nan, nan
3560.8894, nan, nan
3560.9990, nan, nan
3561.1084, nan, nan
3561.2161, nan, nan
3561.3254, nan, nan
3561.4348, nan, nan
3561.5425, nan, nan
3561.6519, nan, nan
3561.7595, nan, nan
3561.8689, nan, nan
3561.9785, nan, nan
3562.0859, nan, nan
3562.1956, nan, nan
3562.3032, nan, nan
3562.4126, nan, nan
3562.5222, nan, nan
3562.6296, nan, nan
3562.7393, nan, nan
3562.8469, nan, nan
3562.9563, nan, nan
3563.0659, nan, nan
3563.1736, nan, nan
3563.2830, nan, nan
3563.3906, nan, nan
3563.5002, nan, nan
3563.6077, nan, nan
3563.7173, nan, nan
3563.8269, nan, nan
3563.9346, nan, nan
3564.0439, nan, nan
3564.1516, nan, nan
3564.2612, nan, nan
3564.3689, nan, nan
3564.4785, nan, nan
3564.5881, nan, nan
3564.6956, nan, nan
3564.8052, nan, nan
3564.9128, nan, nan
3565.0225, nan, nan
3565.1301, nan, nan
3565.2397, nan, nan
3565.3474, nan, nan
3565.4570, nan, nan
3565.5667, nan, nan
3565.6743, nan, nan
3565.7839, nan, nan
3565.8916, nan, nan
3566.0012, nan, nan
3566.1089, nan, nan
3566.2185, nan, nan
3566.3262, nan, nan
3566.4358, nan, nan
3566.5435, nan, nan
3566.6531, nan, nan
3566.7627, nan, nan
3566.8706, nan, nan
3566.9802, nan, nan
3567.0879, nan, nan
3567.1975, nan, nan
3567.3052, nan, nan
3567.4148, nan, nan
3567.5227, nan, nan
3567.6323, nan, nan
3567.7400, nan, nan
3567.8496, nan, nan
3567.9575, nan, nan
3568.0671, nan, nan
3568.1748, nan, nan
3568.2844, nan, nan
3568.3923, nan, nan
3568.5020, nan, nan
3568.6096, nan, nan
3568.7195, nan, nan
3568.8271, nan, nan
3568.9370, nan, nan
3569.0447, nan, nan
3569.1543, nan, nan
3569.2622, nan, nan
3569.3718, nan, nan
3569.4797, nan, nan
3569.5894, nan, nan
3569.6973, nan, nan
3569.8069, nan, nan
3569.9148, nan, nan
3570.0244, nan, nan
3570.1323, nan, nan
3570.2419, nan, nan
3570.3499, nan, nan
3570.4597, nan, nan
3570.5674, nan, nan
3570.6772, nan, nan
3570.7849, nan, nan
3570.8928, nan, nan
3571.0027, nan, nan
3571.1104, nan, nan
3571.2202, nan, nan
3571.3281, nan, nan
3571.4377, nan, nan
3571.5457, nan, nan
3571.6555, nan, nan
3571.7634, nan, nan
3571.8730, nan, nan
3571.9810, nan, nan
3572.0889, nan, nan
3572.1987, nan, nan
3572.3064, nan, nan
3572.4163, nan, nan
3572.5242, nan, nan
3572.6340, nan, nan
3572.7419, nan, nan
3572.8518, nan, nan
3572.9597, nan, nan
3573.0674, nan, nan
3573.1772, nan, nan
3573.2852, nan, nan
3573.3950, nan, nan
3573.5029, nan, nan
