# wavelength, flux, err
3621.5960, 2.039371948e+02, 9.999899902e+02
3622.4300, 2.039371948e+02, 6.039326191e+00
3623.2642, 2.215884857e+02, 9.999899902e+02
3624.0986, 2.392397766e+02, 6.603785515e+00
3624.9331, 2.347037659e+02, 6.531577110e+00
3625.7679, 2.427738953e+02, 6.571634769e+00
3626.6029, 2.724091187e+02, 6.792680264e+00
3627.4380, 2.976662598e+02, 6.985128403e+00
3628.2734, 2.937126160e+02, 6.922237873e+00
3629.1089, 2.827420654e+02, 6.735435486e+00
3629.9446, 2.692618408e+02, 6.493552208e+00
3630.7805, 2.339405975e+02, 6.096963882e+00
3631.6167, 1.753087006e+02, 5.407415390e+00
3632.4530, 1.319378510e+02, 4.969443798e+00
3633.2895, 1.450476532e+02, 5.027890205e+00
3634.1262, 1.788389587e+02, 5.418290615e+00
3634.9630, 1.964331665e+02, 5.660999775e+00
3635.8001, 2.011689758e+02, 5.687908649e+00
3636.6374, 2.128452606e+02, 5.755413532e+00
3637.4749, 2.282185211e+02, 5.844304085e+00
3638.3125, 2.284659119e+02, 5.841084003e+00
3639.1504, 2.433967590e+02, 5.932620049e+00
3639.9884, 2.593502502e+02, 6.060399055e+00
3640.8266, 2.734956055e+02, 6.175953388e+00
3641.6651, 2.803205872e+02, 6.199627399e+00
3642.5037, 2.708703308e+02, 6.058193684e+00
3643.3425, 2.448341370e+02, 5.800656319e+00
3644.1815, 2.284175415e+02, 5.601976395e+00
3645.0207, 2.116912079e+02, 5.399467468e+00
3645.8601, 2.076870422e+02, 5.382790565e+00
3646.6997, 2.038088226e+02, 5.273442268e+00
3647.5395, 1.833153687e+02, 5.052535057e+00
3648.3794, 1.678470306e+02, 4.837449074e+00
3649.2196, 1.627920227e+02, 4.743859291e+00
3650.0600, 1.722571411e+02, 4.779032707e+00
3650.9005, 1.927405853e+02, 5.039819241e+00
3651.7413, 2.195090179e+02, 5.236305714e+00
3652.5822, 2.467743530e+02, 5.474148750e+00
3653.4233, 2.650447083e+02, 5.601800919e+00
3654.2647, 2.741465454e+02, 5.730043888e+00
3655.1062, 2.770689697e+02, 5.768505573e+00
3655.9479, 2.848755493e+02, 5.929502964e+00
3656.7898, 2.945704041e+02, 5.991098404e+00
3657.6319, 2.947172546e+02, 6.073056698e+00
3658.4742, 3.051051636e+02, 6.134594917e+00
3659.3167, 3.092005005e+02, 6.153428555e+00
3660.1594, 3.153453064e+02, 6.155930042e+00
3661.0023, 3.160398254e+02, 6.163894653e+00
3661.8454, 3.073953857e+02, 6.088217258e+00
3662.6886, 3.074330750e+02, 6.149418831e+00
3663.5321, 3.173872375e+02, 6.146573544e+00
3664.3757, 2.811379395e+02, 5.950516224e+00
3665.2196, 2.837309265e+02, 5.980100632e+00
3666.0636, 3.019350281e+02, 5.965316772e+00
3666.9079, 2.888186035e+02, 6.045970917e+00
3667.7523, 3.126573181e+02, 5.935028553e+00
3668.5969, 2.708794861e+02, 5.738879204e+00
3669.4418, 2.726373596e+02, 5.548236370e+00
3670.2868, 2.598943481e+02, 5.381559372e+00
3671.1320, 2.413152466e+02, 5.312858105e+00
3671.9774, 2.799226990e+02, 5.552219391e+00
3672.8230, 2.953672180e+02, 5.782825470e+00
3673.6688, 3.093965454e+02, 5.828546047e+00
3674.5148, 3.049213257e+02, 5.824665070e+00
3675.3610, 3.067251587e+02, 5.842844009e+00
3676.2074, 3.163923645e+02, 5.845486641e+00
3677.0539, 3.018086548e+02, 5.794375896e+00
3677.9007, 2.794520569e+02, 5.583258629e+00
3678.7477, 2.569554443e+02, 5.390304089e+00
3679.5948, 2.341551971e+02, 5.137714386e+00
3680.4422, 2.131905365e+02, 4.920494556e+00
3681.2897, 2.066917267e+02, 4.839312553e+00
3682.1375, 2.265194092e+02, 5.020979404e+00
3682.9854, 2.420725861e+02, 5.172776699e+00
3683.8336, 2.524338684e+02, 5.312066555e+00
3684.6819, 2.583801880e+02, 5.370852947e+00
3685.5304, 2.610846558e+02, 5.391983509e+00
3686.3791, 2.543684998e+02, 5.326038837e+00
3687.2281, 2.262650146e+02, 5.029490471e+00
3688.0772, 2.011192169e+02, 4.757050037e+00
3688.9265, 1.950594025e+02, 4.681540489e+00
3689.7760, 2.139254913e+02, 4.857972622e+00
3690.6257, 2.574453430e+02, 5.229225636e+00
3691.4756, 3.088410950e+02, 5.673514366e+00
3692.3257, 3.303470154e+02, 5.878040791e+00
3693.1760, 3.332629700e+02, 5.822690010e+00
3694.0264, 2.981108704e+02, 5.580779076e+00
3694.8771, 2.745487366e+02, 5.369879723e+00
3695.7280, 2.821730957e+02, 5.415914059e+00
3696.5791, 2.891462097e+02, 5.469870090e+00
3697.4303, 3.003802185e+02, 5.550424576e+00
3698.2818, 3.027593384e+02, 5.572021484e+00
3699.1335, 3.116018677e+02, 5.632004738e+00
3699.9853, 3.280957947e+02, 5.728529453e+00
3700.8374, 3.370813599e+02, 5.776204109e+00
3701.6896, 3.258268127e+02, 5.668351173e+00
3702.5421, 3.146951599e+02, 5.563732624e+00
3703.3947, 3.025051575e+02, 5.424445629e+00
3704.2475, 2.792259827e+02, 5.243587971e+00
3705.1006, 2.372794952e+02, 4.833500385e+00
3705.9538, 1.917543640e+02, 4.475468159e+00
3706.8072, 1.806670227e+02, 4.319538116e+00
3707.6608, 1.902404938e+02, 4.349897861e+00
3708.5147, 1.918940735e+02, 4.382122517e+00
3709.3687, 1.892826691e+02, 4.322448730e+00
3710.2229, 2.011424255e+02, 4.472922325e+00
3711.0773, 2.359091492e+02, 4.725037575e+00
3711.9319, 2.732319641e+02, 5.039242268e+00
3712.7867, 3.030846252e+02, 5.297189713e+00
3713.6417, 3.392471008e+02, 5.590361118e+00
3714.4969, 3.577613220e+02, 5.699841022e+00
3715.3523, 3.574129944e+02, 5.738362789e+00
3716.2079, 3.528319092e+02, 5.584710121e+00
3717.0637, 3.094002991e+02, 5.319093704e+00
3717.9197, 2.923342285e+02, 5.087745190e+00
3718.7758, 2.512048950e+02, 4.706374168e+00
3719.6322, 1.871508636e+02, 4.094515324e+00
3720.4888, 1.339673767e+02, 3.530549049e+00
3721.3456, 1.107943039e+02, 3.248976469e+00
3722.2025, 1.120600204e+02, 3.279025793e+00
3723.0597, 1.341250610e+02, 3.496141434e+00
3723.9171, 1.687030640e+02, 3.880545616e+00
3724.7746, 2.154775391e+02, 4.331433296e+00
3725.6324, 2.623303833e+02, 4.729367733e+00
3726.4903, 2.771061707e+02, 4.834996223e+00
3727.3485, 2.641685181e+02, 4.691935539e+00
3728.2068, 2.181334076e+02, 4.417362690e+00
3729.0654, 2.217390442e+02, 4.370025635e+00
3729.9241, 2.614595032e+02, 4.651521206e+00
3730.7831, 2.695203552e+02, 4.740964413e+00
3731.6422, 2.635299683e+02, 4.651883125e+00
3732.5016, 2.339275818e+02, 4.387179852e+00
3733.3611, 1.938245239e+02, 3.994099617e+00
3734.2209, 1.469846802e+02, 3.537527323e+00
3735.0808, 1.069347839e+02, 3.086678028e+00
3735.9409, 9.096224976e+01, 2.871522427e+00
3736.8013, 8.821147919e+01, 2.827094793e+00
3737.6618, 9.927368927e+01, 2.939868450e+00
3738.5225, 1.207449951e+02, 3.216740608e+00
3739.3834, 1.635772858e+02, 3.606738806e+00
3740.2446, 2.164683685e+02, 4.101846695e+00
3741.1059, 2.453590851e+02, 4.368632793e+00
3741.9674, 2.611265564e+02, 4.507537842e+00
3742.8291, 2.539167786e+02, 4.458121777e+00
3743.6910, 2.205109863e+02, 4.163719177e+00
3744.5532, 1.822430573e+02, 3.847634792e+00
3745.4155, 1.560311127e+02, 3.558853865e+00
3746.2780, 1.350446472e+02, 3.311518908e+00
3747.1407, 1.275627289e+02, 3.214896202e+00
3748.0036, 1.271970062e+02, 3.148996592e+00
3748.8667, 1.182461700e+02, 3.034925699e+00
3749.7300, 1.042763977e+02, 2.860729933e+00
3750.5935, 1.100179443e+02, 2.951913834e+00
3751.4572, 1.589680634e+02, 3.401257753e+00
3752.3211, 2.226533356e+02, 3.992788553e+00
3753.1852, 2.544578247e+02, 4.278645039e+00
3754.0495, 2.639533997e+02, 4.362895012e+00
3754.9140, 2.794806213e+02, 4.476991177e+00
3755.7787, 3.109828186e+02, 4.661166191e+00
3756.6436, 3.249448242e+02, 4.647472382e+00
3757.5087, 2.762287598e+02, 4.298462391e+00
3758.3740, 1.987819366e+02, 3.702115774e+00
3759.2395, 1.483197937e+02, 3.277222395e+00
3760.1052, 1.572926636e+02, 3.408592701e+00
3760.9711, 2.079585114e+02, 3.743155479e+00
3761.8372, 2.332938995e+02, 3.968742847e+00
3762.7035, 2.442523346e+02, 4.003014088e+00
3763.5700, 2.277425842e+02, 3.909038782e+00
3764.4367, 2.033325043e+02, 3.670951605e+00
3765.3036, 2.017610626e+02, 3.698603153e+00
3766.1707, 2.225669556e+02, 3.808825254e+00
3767.0380, 2.201312256e+02, 3.768902302e+00
3767.9055, 1.948600311e+02, 3.658385038e+00
3768.7732, 2.105569458e+02, 3.686172962e+00
3769.6411, 2.563283386e+02, 4.016496658e+00
3770.5092, 2.770461731e+02, 4.161883831e+00
3771.3775, 2.722049255e+02, 4.139341354e+00
3772.2459, 2.916753540e+02, 4.259148121e+00
3773.1146, 3.146712036e+02, 4.380993843e+00
3773.9835, 3.305012512e+02, 4.493890285e+00
3774.8526, 3.331130981e+02, 4.511749744e+00
3775.7219, 3.182735291e+02, 4.414541245e+00
3776.5914, 2.981138000e+02, 4.287932873e+00
3777.4611, 3.059305420e+02, 4.314174652e+00
3778.3310, 3.137998352e+02, 4.333724499e+00
3779.2011, 3.169859009e+02, 4.360029697e+00
3780.0714, 3.279410706e+02, 4.433551311e+00
3780.9419, 3.485690613e+02, 4.530883789e+00
3781.8126, 3.499389648e+02, 4.548413277e+00
3782.6835, 3.460695496e+02, 4.541473866e+00
3783.5546, 3.468233948e+02, 4.538237095e+00
3784.4258, 3.561643066e+02, 4.571319103e+00
3785.2973, 3.577193604e+02, 4.523035526e+00
3786.1690, 3.242565002e+02, 4.304115772e+00
3787.0409, 2.833842468e+02, 4.016319752e+00
3787.9130, 2.372063904e+02, 3.676921844e+00
3788.7853, 2.203358154e+02, 3.556014538e+00
3789.6578, 2.205631714e+02, 3.524612904e+00
3790.5305, 2.186538849e+02, 3.542846918e+00
3791.4034, 2.435674744e+02, 3.682428837e+00
3792.2765, 2.746570129e+02, 3.859279871e+00
3793.1498, 2.827450256e+02, 3.904785872e+00
3794.0234, 2.674438171e+02, 3.824277163e+00
3794.8971, 2.381800079e+02, 3.598465919e+00
3795.7710, 2.126874695e+02, 3.443145752e+00
3796.6451, 2.193153992e+02, 3.455514908e+00
3797.5194, 2.398261108e+02, 3.487105370e+00
3798.3939, 2.168852386e+02, 3.349325657e+00
3799.2686, 1.840461121e+02, 3.131429434e+00
3800.1435, 1.888595886e+02, 3.145180464e+00
3801.0186, 2.303311462e+02, 3.421651125e+00
3801.8940, 2.607813416e+02, 3.645583391e+00
3802.7695, 2.911173401e+02, 3.832221031e+00
3803.6452, 3.115731201e+02, 3.945098162e+00
3804.5211, 3.248141174e+02, 4.012195587e+00
3805.3973, 3.305301819e+02, 4.039688110e+00
3806.2736, 3.154142456e+02, 3.967597485e+00
3807.1501, 2.843801270e+02, 3.793394327e+00
3808.0268, 2.591815491e+02, 3.678932667e+00
3808.9038, 2.620249634e+02, 3.727300644e+00
3809.7809, 2.900339661e+02, 3.902287245e+00
3810.6582, 3.218454285e+02, 4.096070290e+00
3811.5358, 3.328329773e+02, 4.162347794e+00
3812.4135, 3.060631714e+02, 3.990254879e+00
3813.2915, 2.656506042e+02, 3.727513313e+00
3814.1696, 2.265626984e+02, 3.414827347e+00
3815.0479, 1.965800476e+02, 3.213109255e+00
3815.9265, 1.765743408e+02, 3.029451370e+00
3816.8052, 1.621895752e+02, 2.948560238e+00
3817.6842, 1.799334412e+02, 3.052303076e+00
3818.5634, 2.112117615e+02, 3.278614521e+00
3819.4427, 2.151703491e+02, 3.287964582e+00
3820.3223, 1.778460388e+02, 2.962053061e+00
3821.2020, 1.331253204e+02, 2.702467680e+00
3822.0820, 1.388331299e+02, 2.684756756e+00
3822.9622, 1.699562836e+02, 2.920660734e+00
3823.8425, 1.935556793e+02, 3.084186554e+00
3824.7231, 1.767799530e+02, 2.947722673e+00
3825.6039, 1.314392700e+02, 2.601989269e+00
3826.4849, 1.105871887e+02, 2.379277468e+00
3827.3660, 1.052516327e+02, 2.346915245e+00
3828.2474, 1.144926224e+02, 2.392930269e+00
3829.1290, 1.212371521e+02, 2.480635881e+00
3830.0108, 1.324786835e+02, 2.584265709e+00
3830.8928, 1.511402588e+02, 2.724036217e+00
3831.7750, 1.507446747e+02, 2.740111351e+00
3832.6574, 1.373313293e+02, 2.604466438e+00
3833.5400, 1.143502655e+02, 2.438212633e+00
3834.4228, 1.097726135e+02, 2.378987312e+00
3835.3058, 1.273220673e+02, 2.524646997e+00
3836.1890, 1.507330933e+02, 2.691493511e+00
3837.0725, 1.704465485e+02, 2.825446844e+00
3837.9561, 1.564586945e+02, 2.676604509e+00
3838.8399, 1.319491119e+02, 2.470402718e+00
3839.7239, 1.136231537e+02, 2.321130991e+00
3840.6082, 1.083923111e+02, 2.277109385e+00
3841.4926, 1.202590027e+02, 2.373789072e+00
3842.3772, 1.529325562e+02, 2.644685745e+00
3843.2621, 2.027427979e+02, 2.996868134e+00
3844.1471, 2.341406708e+02, 3.224854708e+00
3845.0324, 2.498971405e+02, 3.350996733e+00
3845.9178, 2.565551453e+02, 3.378904819e+00
3846.8035, 2.478612518e+02, 3.342587709e+00
3847.6893, 2.483328247e+02, 3.349984646e+00
3848.5754, 2.710889282e+02, 3.425544977e+00
3849.4617, 2.657370911e+02, 3.368883133e+00
3850.3481, 2.277940979e+02, 3.114828825e+00
3851.2348, 1.983532104e+02, 2.949156761e+00
3852.1217, 2.157046967e+02, 3.058006048e+00
3853.0088, 2.503739471e+02, 3.235837936e+00
3853.8961, 2.518623352e+02, 3.287225962e+00
3854.7836, 2.375470428e+02, 3.186450958e+00
3855.6713, 2.177666321e+02, 3.036987782e+00
3856.5592, 1.921870575e+02, 2.851845741e+00
3857.4473, 1.792110748e+02, 2.766726255e+00
3858.3356, 1.772546844e+02, 2.723429441e+00
3859.2241, 1.588143463e+02, 2.587412596e+00
3860.1128, 1.290128326e+02, 2.366417170e+00
3861.0018, 1.158042221e+02, 2.287962914e+00
3861.8909, 1.433370361e+02, 2.469648361e+00
3862.7802, 1.987209015e+02, 2.887564421e+00
3863.6698, 2.523497620e+02, 3.238009453e+00
3864.5595, 2.674557495e+02, 3.326387167e+00
3865.4495, 2.527900085e+02, 3.241558790e+00
3866.3396, 2.352240753e+02, 3.145982504e+00
3867.2300, 2.313896484e+02, 3.113285303e+00
3868.1205, 2.364995880e+02, 3.147372246e+00
3869.0113, 2.454086609e+02, 3.182445049e+00
3869.9023, 2.285550690e+02, 3.052908182e+00
3870.7935, 2.043260651e+02, 2.926367044e+00
3871.6849, 1.857160492e+02, 2.708844185e+00
3872.5764, 1.513663330e+02, 2.552709341e+00
3873.4682, 1.565974121e+02, 2.556607485e+00
3874.3602, 1.936550293e+02, 2.799667358e+00
3875.2525, 2.411407318e+02, 3.127996683e+00
