# wavelength, flux, err
3621.5960, 2.783491821e+02, 9.999899902e+02
3622.4300, 2.783491821e+02, 1.125925636e+01
3623.2642, 2.931956177e+02, 9.999899902e+02
3624.0986, 3.080420227e+02, 1.199845409e+01
3624.9331, 3.166572571e+02, 1.214509201e+01
3625.7679, 3.208575439e+02, 1.219386578e+01
3626.6029, 3.662265930e+02, 1.262788868e+01
3627.4380, 4.239510803e+02, 1.308082390e+01
3628.2734, 4.319602356e+02, 1.314272594e+01
3629.1089, 4.066519775e+02, 1.289573383e+01
3629.9446, 3.687378235e+02, 1.251254940e+01
3630.7805, 3.153443909e+02, 1.193189716e+01
3631.6167, 2.441127777e+02, 1.100477219e+01
3632.4530, 1.902354279e+02, 1.028864384e+01
3633.2895, 1.993048096e+02, 1.023711681e+01
3634.1262, 2.416714172e+02, 1.050426197e+01
3634.9630, 2.453095703e+02, 1.062066746e+01
3635.8001, 2.507191620e+02, 1.046276569e+01
3636.6374, 2.829462280e+02, 1.085225391e+01
3637.4749, 3.159743347e+02, 1.099130344e+01
3638.3125, 3.218326416e+02, 1.120398045e+01
3639.1504, 3.746654053e+02, 1.163760376e+01
3639.9884, 4.131007996e+02, 1.212592220e+01
3640.8266, 4.224214478e+02, 1.214146233e+01
3641.6651, 4.128373718e+02, 1.212714577e+01
3642.5037, 3.934634705e+02, 1.171722126e+01
3643.3425, 3.678720093e+02, 1.135621071e+01
3644.1815, 3.537301941e+02, 1.103046608e+01
3645.0207, 3.192598877e+02, 1.066403770e+01
3645.8601, 2.941959229e+02, 1.024476051e+01
3646.6997, 2.786924133e+02, 1.019422436e+01
3647.5395, 2.483980103e+02, 9.811771393e+00
3648.3794, 2.084680786e+02, 9.359462738e+00
3649.2196, 1.860214081e+02, 9.080255508e+00
3650.0600, 2.066201019e+02, 9.218515396e+00
3650.9005, 2.624324951e+02, 9.802597046e+00
3651.7413, 3.225556641e+02, 1.032842636e+01
3652.5822, 3.637432556e+02, 1.068073940e+01
3653.4233, 4.041424866e+02, 1.098681259e+01
3654.2647, 4.302980652e+02, 1.109984016e+01
3655.1062, 4.202027283e+02, 1.106669521e+01
3655.9479, 4.193483276e+02, 1.100126648e+01
3656.7898, 4.439346008e+02, 1.127682686e+01
3657.6319, 4.564244080e+02, 1.135494709e+01
3658.4742, 4.710215149e+02, 1.161099529e+01
3659.3167, 5.071376648e+02, 1.189949894e+01
3660.1594, 5.233281860e+02, 1.200374889e+01
3661.0023, 4.941614685e+02, 1.185191345e+01
3661.8454, 4.605116577e+02, 1.157510948e+01
3662.6886, 4.855301819e+02, 1.167361069e+01
3663.5321, 4.574152832e+02, 1.126515293e+01
3664.3757, 4.096862793e+02, 1.101118374e+01
3665.2196, 4.106567383e+02, 1.094758320e+01
3666.0636, 4.306524353e+02, 1.103818321e+01
3666.9079, 4.223043213e+02, 1.109161186e+01
3667.7523, 4.286997681e+02, 1.123396683e+01
3668.5969, 4.301001587e+02, 1.120724297e+01
3669.4418, 4.047265625e+02, 1.092470455e+01
3670.2868, 3.804459534e+02, 1.062246227e+01
3671.1320, 3.795592957e+02, 1.043260574e+01
3671.9774, 4.050646362e+02, 1.048834038e+01
