# wavelength, flux, err
3621.5960, 6.474468231e+01, 3.274140930e+01
3622.4300, 9.745002747e+00, 3.387215805e+01
3623.2642, 1.048858871e+02, 3.469321442e+01
3624.0986, 1.123741760e+02, 3.673122787e+01
3624.9331, 4.063594437e+01, 3.651599121e+01
3625.7679, 2.031433296e+01, 3.662539673e+01
3626.6029, -3.883667374e+01, 3.583563232e+01
3627.4380, 2.612666130e+01, 3.676450348e+01
3628.2734, 4.335231018e+01, 3.826447296e+01
3629.1089, 9.571875572e+00, 3.768937683e+01
3629.9446, -1.147719383e+01, 3.668867493e+01
3630.7805, -5.663635135e-01, 3.493451309e+01
3631.6167, -8.326245308e+00, 3.181161308e+01
3632.4530, 1.920266151e+01, 3.035953903e+01
3633.2895, 6.562299347e+01, 3.037497139e+01
3634.1262, 2.845613098e+01, 3.083517647e+01
3634.9630, -2.698034668e+01, 3.034229088e+01
3635.8001, 4.432453918e+01, 3.202131271e+01
3636.6374, 4.864186096e+01, 3.239487457e+01
3637.4749, 2.262064934e+01, 3.231183624e+01
3638.3125, -1.082479572e+01, 3.203280640e+01
3639.1504, -1.130520535e+01, 3.211385345e+01
3639.9884, 2.067066765e+01, 3.360290909e+01
3640.8266, 2.455056953e+01, 3.432125473e+01
3641.6651, -6.859772682e+00, 3.377796936e+01
3642.5037, -2.814867783e+01, 3.310892105e+01
3643.3425, 1.606073761e+01, 3.293543243e+01
3644.1815, 4.532225800e+01, 3.255051422e+01
3645.0207, -1.855756402e+00, 3.079863739e+01
3645.8601, -2.073176193e+01, 2.918767166e+01
3646.6997, -9.427800179e+00, 2.965956497e+01
3647.5395, 3.746021652e+01, 3.000617981e+01
3648.3794, 2.766330338e+01, 2.891739273e+01
3649.2196, -9.132258415e+00, 2.766872597e+01
3650.0600, 2.880937815e+00, 2.774546814e+01
3650.9005, -1.300342464e+01, 2.820019150e+01
3651.7413, 6.408146858e+00, 2.917748642e+01
3652.5822, 4.723401546e+00, 2.982099724e+01
