# wavelength, flux, err
3621.5960, 2.705155334e+02, 9.999899902e+02
3622.4300, 2.705155334e+02, 1.062902451e+01
3623.2642, 2.931370239e+02, 9.999899902e+02
3624.0986, 3.157585144e+02, 1.117443085e+01
3624.9331, 2.815804443e+02, 1.099705696e+01
3625.7679, 3.080533142e+02, 1.100345325e+01
3626.6029, 3.291743469e+02, 1.152164555e+01
3627.4380, 3.288943481e+02, 1.136500454e+01
3628.2734, 3.419322510e+02, 1.153264809e+01
3629.1089, 3.439785767e+02, 1.147143459e+01
3629.9446, 3.299067078e+02, 1.114148808e+01
3630.7805, 2.852856750e+02, 1.051512146e+01
3631.6167, 2.410353546e+02, 9.721291542e+00
3632.4530, 2.201854553e+02, 9.449281693e+00
3633.2895, 2.217398834e+02, 9.449898720e+00
3634.1262, 2.400818176e+02, 9.638063431e+00
3634.9630, 2.450437164e+02, 9.800191879e+00
3635.8001, 2.592646484e+02, 9.828209877e+00
3636.6374, 2.722041626e+02, 1.001023674e+01
3637.4749, 2.776762085e+02, 1.002973557e+01
3638.3125, 2.884568481e+02, 1.019626617e+01
3639.1504, 2.865280457e+02, 1.021623993e+01
3639.9884, 3.035852051e+02, 1.026334953e+01
3640.8266, 3.233475342e+02, 1.050542450e+01
3641.6651, 3.254228821e+02, 1.040618992e+01
3642.5037, 3.141723938e+02, 1.029260731e+01
3643.3425, 3.069862366e+02, 1.012433052e+01
3644.1815, 2.650795593e+02, 9.632774353e+00
3645.0207, 2.589328613e+02, 9.399322510e+00
3645.8601, 2.627976379e+02, 9.445528984e+00
3646.6997, 2.628630066e+02, 9.264687538e+00
3647.5395, 2.640924072e+02, 9.178937912e+00
3648.3794, 2.482741547e+02, 8.831077576e+00
3649.2196, 2.261799774e+02, 8.550778389e+00
3650.0600, 2.330209198e+02, 8.733843803e+00
3650.9005, 2.544525299e+02, 9.016982079e+00
3651.7413, 2.786539917e+02, 9.352812767e+00
3652.5822, 3.026952209e+02, 9.640720367e+00
3653.4233, 3.051828918e+02, 9.733240128e+00
3654.2647, 3.164071045e+02, 9.908862114e+00
3655.1062, 3.295743713e+02, 9.930365562e+00
3655.9479, 3.336028137e+02, 9.955100060e+00
3656.7898, 3.333924255e+02, 9.850416183e+00
3657.6319, 3.363803406e+02, 9.854511261e+00
3658.4742, 3.188081970e+02, 9.700045586e+00
3659.3167, 3.409039001e+02, 1.012409592e+01
3660.1594, 3.523992004e+02, 1.028065395e+01
3661.0023, 3.386278381e+02, 1.008288765e+01
3661.8454, 3.290803223e+02, 1.003345680e+01
3662.6886, 3.411892090e+02, 9.942447662e+00
3663.5321, 3.163205872e+02, 9.517652512e+00
3664.3757, 3.181717529e+02, 9.489221573e+00
3665.2196, 3.226310120e+02, 9.494283676e+00
3666.0636, 3.219050903e+02, 9.530022621e+00
3666.9079, 3.291907959e+02, 9.597485542e+00
3667.7523, 3.359826050e+02, 9.637396812e+00
3668.5969, 3.386371765e+02, 9.594428062e+00
