# wavelength, flux, err
3621.5960, 3.599031448e+01, 9.999899902e+02
3622.4300, 3.599031448e+01, 4.815720558e+00
3623.2642, 3.683437729e+01, 9.999899902e+02
3624.0986, 3.767844009e+01, 4.880084515e+00
3624.9331, 4.368988419e+01, 5.011204720e+00
3625.7679, 3.732005310e+01, 4.895045280e+00
3626.6029, 3.747765350e+01, 4.922147274e+00
3627.4380, 4.533094788e+01, 5.096560478e+00
3628.2734, 4.687735367e+01, 5.120110989e+00
3629.1089, 4.232688904e+01, 4.958518028e+00
3629.9446, 3.928618240e+01, 4.711084843e+00
3630.7805, 2.362845421e+01, 4.323605061e+00
3631.6167, 1.469638443e+01, 3.888992548e+00
3632.4530, 2.126480675e+01, 4.169832230e+00
3633.2895, 2.680897522e+01, 4.282507896e+00
3634.1262, 1.850485039e+01, 4.184291840e+00
3634.9630, 2.062608147e+01, 4.206086636e+00
3635.8001, 2.452949142e+01, 4.360126972e+00
3636.6374, 2.434175301e+01, 4.242081165e+00
3637.4749, 2.393125343e+01, 4.331043720e+00
3638.3125, 2.899285316e+01, 4.381134033e+00
3639.1504, 3.235882950e+01, 4.491276264e+00
3639.9884, 3.552209091e+01, 4.589121342e+00
3640.8266, 4.344728088e+01, 4.687375069e+00
3641.6651, 4.362309265e+01, 4.756130695e+00
3642.5037, 3.394189072e+01, 4.463376999e+00
3643.3425, 3.485101700e+01, 4.377213001e+00
3644.1815, 2.869495583e+01, 4.145201206e+00
3645.0207, 2.757130432e+01, 4.115987778e+00
3645.8601, 2.844876099e+01, 4.144534588e+00
3646.6997, 2.568044281e+01, 3.952754498e+00
3647.5395, 1.928169060e+01, 3.745428562e+00
3648.3794, 1.584179592e+01, 3.631767273e+00
3649.2196, 1.998544693e+01, 3.801792383e+00
3650.0600, 2.240240479e+01, 3.929906130e+00
3650.9005, 2.314115524e+01, 3.921772480e+00
3651.7413, 2.518352699e+01, 4.067915440e+00
3652.5822, 2.948537254e+01, 4.132575035e+00
3653.4233, 3.459415054e+01, 4.281792164e+00
3654.2647, 3.698712158e+01, 4.334973335e+00
3655.1062, 4.066917801e+01, 4.424218178e+00
3655.9479, 4.421402740e+01, 4.465643406e+00
3656.7898, 4.603033447e+01, 4.394070148e+00
3657.6319, 4.714460373e+01, 4.346399784e+00
3658.4742, 4.633388138e+01, 4.339672089e+00
3659.3167, 4.667074203e+01, 4.358620644e+00
3660.1594, 4.531486511e+01, 4.279033184e+00
3661.0023, 4.019977951e+01, 4.179643631e+00
3661.8454, 3.686591721e+01, 4.127110481e+00
3662.6886, 4.352839279e+01, 4.217299938e+00
3663.5321, 4.397854233e+01, 4.110297680e+00
3664.3757, 3.739476776e+01, 3.993396282e+00
3665.2196, 3.758132553e+01, 3.997776985e+00
3666.0636, 4.153667831e+01, 3.987648249e+00
3666.9079, 4.086883545e+01, 3.943877220e+00
3667.7523, 4.241704178e+01, 3.960576534e+00
3668.5969, 4.007629776e+01, 3.856673241e+00
3669.4418, 4.044753265e+01, 3.804365158e+00
3670.2868, 3.802201080e+01, 3.740350246e+00
3671.1320, 3.510476685e+01, 3.748983145e+00
3671.9774, 3.995981216e+01, 3.833136559e+00
3672.8230, 4.526245117e+01, 3.925798178e+00
3673.6688, 3.911411667e+01, 3.852467060e+00
3674.5148, 4.117306137e+01, 3.777566433e+00
3675.3610, 4.916705704e+01, 3.949142218e+00
3676.2074, 5.223284149e+01, 4.001102924e+00
3677.0539, 4.895033264e+01, 3.962876558e+00
3677.9007, 4.943029785e+01, 3.941174030e+00
3678.7477, 3.752054977e+01, 3.693567991e+00
3679.5948, 2.601225853e+01, 3.428605795e+00
3680.4422, 2.655980110e+01, 3.434360981e+00
3681.2897, 3.302526474e+01, 3.479164124e+00
3682.1375, 2.850874138e+01, 3.428897619e+00
3682.9854, 2.668008995e+01, 3.408339024e+00
3683.8336, 3.188233948e+01, 3.597336769e+00
3684.6819, 3.286313629e+01, 3.566594362e+00
3685.5304, 3.274322510e+01, 3.576078176e+00
3686.3791, 3.653677750e+01, 3.549600363e+00
3687.2281, 3.225368118e+01, 3.412041903e+00
3688.0772, 2.458248520e+01, 3.263622522e+00
3688.9265, 2.526471901e+01, 3.267874241e+00
3689.7760, 3.023477936e+01, 3.448745966e+00
3690.6257, 3.443486786e+01, 3.572688818e+00
3691.4756, 3.951580811e+01, 3.744332314e+00
3692.3257, 4.988659286e+01, 3.907004118e+00
3693.1760, 5.342621231e+01, 3.877076864e+00
3694.0264, 3.821456909e+01, 3.599335432e+00
3694.8771, 3.209277725e+01, 3.429395437e+00
3695.7280, 3.915265274e+01, 3.578852654e+00
3696.5791, 3.402941895e+01, 3.500966787e+00
3697.4303, 3.496485901e+01, 3.560837507e+00
3698.2818, 3.953442764e+01, 3.646845341e+00
3699.1335, 4.071409607e+01, 3.681229353e+00
3699.9853, 4.262290955e+01, 3.754176617e+00
3700.8374, 4.697924805e+01, 3.745368958e+00
3701.6896, 4.689374542e+01, 3.732056141e+00
3702.5421, 4.751101685e+01, 3.688472033e+00
3703.3947, 4.306680679e+01, 3.614597559e+00
3704.2475, 4.050250244e+01, 3.511054516e+00
3705.1006, 3.642439270e+01, 3.358147144e+00
3705.9538, 2.664599228e+01, 3.105643272e+00
3706.8072, 2.112870407e+01, 2.953277826e+00
3707.6608, 2.103032684e+01, 2.948807955e+00
3708.5147, 2.366036797e+01, 2.945214510e+00
3709.3687, 1.750350380e+01, 2.842943192e+00
3710.2229, 1.410148144e+01, 2.832866192e+00
3711.0773, 2.690581512e+01, 3.068106413e+00
3711.9319, 3.035957527e+01, 3.232852221e+00
3712.7867, 3.737841034e+01, 3.422821522e+00
3713.6417, 4.789056396e+01, 3.603605270e+00
3714.4969, 4.740362930e+01, 3.610496044e+00
3715.3523, 4.053487778e+01, 3.514408112e+00
3716.2079, 4.437887573e+01, 3.496487141e+00
3717.0637, 4.078246307e+01, 3.442297935e+00
3717.9197, 3.281066513e+01, 3.252172232e+00
3718.7758, 2.878815079e+01, 3.000854015e+00
3719.6322, 2.412197685e+01, 2.761595011e+00
3720.4888, 1.511689186e+01, 2.471004248e+00
3721.3456, 8.845020294e+00, 2.261302948e+00
3722.2025, 9.969517708e+00, 2.304463387e+00
3723.0597, 1.130544376e+01, 2.423656702e+00
3723.9171, 1.558723354e+01, 2.620159626e+00
3724.7746, 2.247530746e+01, 2.820446014e+00
3725.6324, 2.973806953e+01, 3.016923904e+00
3726.4903, 3.612391281e+01, 3.103995323e+00
3727.3485, 3.124046326e+01, 3.013441563e+00
3728.2068, 2.603703117e+01, 2.859238625e+00
3729.0654, 2.441494560e+01, 2.888083220e+00
3729.9241, 2.560039711e+01, 2.877425671e+00
3730.7831, 2.733922386e+01, 2.893613815e+00
3731.6422, 2.687041283e+01, 2.842157841e+00
3732.5016, 2.377555656e+01, 2.739203215e+00
3733.3611, 2.272644234e+01, 2.694576502e+00
3734.2209, 1.932126236e+01, 2.483212471e+00
3735.0808, 1.316104794e+01, 2.326071262e+00
3735.9409, 1.000482178e+01, 2.196626902e+00
3736.8013, 9.201302528e+00, 2.216339350e+00
3737.6618, 9.776516914e+00, 2.306889772e+00
3738.5225, 1.015301895e+01, 2.395718575e+00
3739.3834, 1.509831715e+01, 2.624347687e+00
3740.2446, 2.205771637e+01, 2.738520384e+00
3741.1059, 2.166154099e+01, 2.778468609e+00
3741.9674, 2.593235207e+01, 2.786312103e+00
3742.8291, 2.366903877e+01, 2.689164162e+00
3743.6910, 2.070018387e+01, 2.544675112e+00
3744.5532, 2.025645256e+01, 2.462248564e+00
3745.4155, 1.842117119e+01, 2.323724985e+00
3746.2780, 1.281027508e+01, 2.283048391e+00
3747.1407, 1.889893341e+01, 2.327025175e+00
3748.0036, 1.548198700e+01, 2.211362362e+00
3748.8667, 1.190523052e+01, 2.082010269e+00
3749.7300, 1.294116974e+01, 2.044420719e+00
3750.5935, 1.405027390e+01, 2.208966970e+00
3751.4572, 1.751795197e+01, 2.342722893e+00
3752.3211, 2.251884270e+01, 2.479014397e+00
3753.1852, 2.122721100e+01, 2.487515450e+00
3754.0495, 2.167666245e+01, 2.566454411e+00
3754.9140, 2.807345009e+01, 2.703697205e+00
3755.7787, 3.392089844e+01, 2.784468651e+00
3756.6436, 3.331532669e+01, 2.733937979e+00
3757.5087, 2.605173492e+01, 2.481303215e+00
3758.3740, 2.099127769e+01, 2.303193808e+00
3759.2395, 1.825637627e+01, 2.256848574e+00
3760.1052, 1.909566689e+01, 2.323907852e+00
3760.9711, 2.734647369e+01, 2.470739126e+00
3761.8372, 3.071409225e+01, 2.570503473e+00
3762.7035, 2.989318085e+01, 2.517932653e+00
3763.5700, 2.567088890e+01, 2.451539040e+00
3764.4367, 2.240435410e+01, 2.383242607e+00
3765.3036, 2.401990700e+01, 2.438738585e+00
3766.1707, 2.743314934e+01, 2.452593565e+00
3767.0380, 2.247579002e+01, 2.345360756e+00
3767.9055, 1.730904007e+01, 2.211301565e+00
3768.7732, 2.414669609e+01, 2.403726578e+00
3769.6411, 3.284982681e+01, 2.513999701e+00
3770.5092, 3.128946495e+01, 2.559886694e+00
3771.3775, 3.503950500e+01, 2.625695705e+00
3772.2459, 3.687686920e+01, 2.685393572e+00
3773.1146, 3.947455597e+01, 2.749820709e+00
3773.9835, 3.741668701e+01, 2.750545502e+00
3774.8526, 3.318944550e+01, 2.658183336e+00
3775.7219, 3.415715408e+01, 2.651701927e+00
3776.5914, 3.212956238e+01, 2.606049061e+00
3777.4611, 2.893956757e+01, 2.599844694e+00
3778.3310, 3.737462997e+01, 2.668906927e+00
3779.2011, 4.017661285e+01, 2.710198879e+00
3780.0714, 3.227013779e+01, 2.623995304e+00
3780.9419, 3.496884537e+01, 2.640456438e+00
3781.8126, 4.298291779e+01, 2.740080833e+00
3782.6835, 3.700744247e+01, 2.658072710e+00
3783.5546, 3.510313416e+01, 2.641209841e+00
3784.4258, 3.852674103e+01, 2.671240091e+00
3785.2973, 3.824845886e+01, 2.658735275e+00
3786.1690, 3.408937836e+01, 2.528702021e+00
3787.0409, 2.824326324e+01, 2.383886814e+00
3787.9130, 2.443968582e+01, 2.234165192e+00
3788.7853, 2.401610947e+01, 2.226389885e+00
3789.6578, 2.314472580e+01, 2.189945459e+00
3790.5305, 2.041152954e+01, 2.191471577e+00
3791.4034, 2.290926743e+01, 2.229367733e+00
3792.2765, 2.458209419e+01, 2.296739578e+00
3793.1498, 2.818873024e+01, 2.317971706e+00
3794.0234, 3.041721725e+01, 2.345706701e+00
3794.8971, 2.738372231e+01, 2.244765759e+00
3795.7710, 2.137358284e+01, 2.150867701e+00
3796.6451, 2.211426544e+01, 2.119022846e+00
3797.5194, 2.366736221e+01, 2.100585222e+00
3798.3939, 1.908432388e+01, 1.985164642e+00
3799.2686, 1.617424202e+01, 1.932630658e+00
3800.1435, 1.923172379e+01, 2.042718410e+00
3801.0186, 2.235910797e+01, 2.129114151e+00
3801.8940, 2.599663353e+01, 2.230341434e+00
3802.7695, 2.917664909e+01, 2.294933319e+00
3803.6452, 2.880423927e+01, 2.319404840e+00
3804.5211, 2.978541756e+01, 2.329591036e+00
3805.3973, 3.284579849e+01, 2.374417067e+00
3806.2736, 2.899328804e+01, 2.246278286e+00
3807.1501, 2.458121681e+01, 2.175353050e+00
3808.0268, 2.530515099e+01, 2.153919935e+00
3808.9038, 2.549462700e+01, 2.170161963e+00
3809.7809, 2.424645233e+01, 2.185589552e+00
3810.6582, 2.400058365e+01, 2.183786869e+00
3811.5358, 2.398781776e+01, 2.192887783e+00
3812.4135, 2.916464996e+01, 2.207093954e+00
3813.2915, 2.636265945e+01, 2.171812057e+00
3814.1696, 2.281311226e+01, 2.069383383e+00
3815.0479, 2.154528046e+01, 1.978477478e+00
