# wavelength, flux, err
3621.5960, 1.204617767e+02, 9.999899902e+02
3622.4300, 1.204617767e+02, 1.352344894e+01
3623.2642, 1.333532104e+02, 9.999899902e+02
3624.0986, 1.462446442e+02, 1.399354076e+01
3624.9331, 1.153797760e+02, 1.354206657e+01
3625.7679, 1.357906952e+02, 1.351413059e+01
3626.6029, 1.442791290e+02, 1.397508621e+01
3627.4380, 1.382654419e+02, 1.357437801e+01
3628.2734, 1.573634949e+02, 1.399062443e+01
3629.1089, 1.429035339e+02, 1.339607143e+01
3629.9446, 1.203247147e+02, 1.280965233e+01
3630.7805, 1.161164932e+02, 1.215839481e+01
3631.6167, 9.080551147e+01, 1.160889530e+01
3632.4530, 5.889414215e+01, 1.045555782e+01
3633.2895, 7.349108124e+01, 1.089784813e+01
3634.1262, 9.501218414e+01, 1.142870140e+01
3634.9630, 1.201546402e+02, 1.202563095e+01
3635.8001, 1.156969223e+02, 1.201647854e+01
3636.6374, 1.076485901e+02, 1.181304359e+01
3637.4749, 1.115526199e+02, 1.179730606e+01
3638.3125, 1.085445251e+02, 1.172099113e+01
3639.1504, 1.246101074e+02, 1.224805546e+01
3639.9884, 1.396542969e+02, 1.246260357e+01
3640.8266, 1.352093964e+02, 1.234617615e+01
3641.6651, 1.296284637e+02, 1.217073250e+01
3642.5037, 1.287529602e+02, 1.198403740e+01
3643.3425, 1.089050598e+02, 1.146995926e+01
3644.1815, 1.211308594e+02, 1.180787563e+01
3645.0207, 1.208078613e+02, 1.157642651e+01
3645.8601, 1.098788605e+02, 1.133295250e+01
3646.6997, 1.053913956e+02, 1.109679890e+01
3647.5395, 1.087912903e+02, 1.106613255e+01
3648.3794, 1.033810272e+02, 1.085787201e+01
3649.2196, 1.123713226e+02, 1.113729858e+01
3650.0600, 1.146144791e+02, 1.115126991e+01
3650.9005, 1.150251694e+02, 1.139419842e+01
3651.7413, 1.291282501e+02, 1.180832100e+01
3652.5822, 1.479799500e+02, 1.224566555e+01
3653.4233, 1.259839706e+02, 1.163735867e+01
3654.2647, 1.256249695e+02, 1.149724483e+01
3655.1062, 1.429046631e+02, 1.184410381e+01
3655.9479, 1.438846130e+02, 1.185357761e+01
3656.7898, 1.389368896e+02, 1.189154911e+01
3657.6319, 1.654053497e+02, 1.218724918e+01
3658.4742, 1.667575989e+02, 1.205273056e+01
3659.3167, 1.514731750e+02, 1.181503105e+01
3660.1594, 1.677836304e+02, 1.199194336e+01
3661.0023, 1.714048767e+02, 1.192998123e+01
3661.8454, 1.415123901e+02, 1.146428680e+01
3662.6886, 1.477212677e+02, 1.130213451e+01
3663.5321, 1.481282043e+02, 1.136709976e+01
3664.3757, 1.156107788e+02, 1.073354053e+01
3665.2196, 1.315146179e+02, 1.110878754e+01
3666.0636, 1.550240326e+02, 1.118461418e+01
3666.9079, 1.364379425e+02, 1.131495857e+01
3667.7523, 1.673090515e+02, 1.119922161e+01
3668.5969, 1.341394958e+02, 1.094395351e+01
3669.4418, 1.395666504e+02, 1.044349766e+01
3670.2868, 1.436902924e+02, 1.061170101e+01
3671.1320, 1.273794556e+02, 1.015404320e+01
3671.9774, 1.293612671e+02, 1.005012035e+01
3672.8230, 1.426905212e+02, 1.024017239e+01
3673.6688, 1.443307953e+02, 1.026700497e+01
3674.5148, 1.314627838e+02, 9.908987045e+00
3675.3610, 1.221559525e+02, 9.755623817e+00
3676.2074, 1.257919388e+02, 9.751371384e+00
3677.0539, 1.373362579e+02, 9.960159302e+00
3677.9007, 1.547963257e+02, 1.015396118e+01
3678.7477, 1.321796570e+02, 9.626304626e+00
3679.5948, 1.258544617e+02, 9.293561935e+00
3680.4422, 1.289220734e+02, 9.204575539e+00
3681.2897, 1.243125076e+02, 9.115338326e+00
3682.1375, 1.329376221e+02, 9.277437210e+00
