# wavelength, flux, err
3621.5960, 2.158530121e+02, 9.999899902e+02
3622.4300, 2.158530121e+02, 1.054857922e+01
3623.2642, 2.528149414e+02, 9.999899902e+02
3624.0986, 2.897768860e+02, 1.185004234e+01
3624.9331, 2.709960022e+02, 1.162702560e+01
3625.7679, 2.821300964e+02, 1.153811264e+01
3626.6029, 3.161218262e+02, 1.212194824e+01
3627.4380, 3.365476990e+02, 1.279013538e+01
3628.2734, 3.367999268e+02, 1.383815670e+01
3629.1089, 3.500944214e+02, 1.530535030e+01
3629.9446, 2.958263855e+02, 1.360673618e+01
3630.7805, 2.172409363e+02, 1.108061790e+01
3631.6167, 1.631769409e+02, 9.245129585e+00
3632.4530, 1.421461792e+02, 8.799231529e+00
3633.2895, 1.355256500e+02, 8.474509239e+00
3634.1262, 1.569854126e+02, 8.745232582e+00
3634.9630, 1.879397736e+02, 9.321389198e+00
3635.8001, 2.197633209e+02, 1.013016033e+01
3636.6374, 2.425679016e+02, 1.057263279e+01
3637.4749, 2.542761383e+02, 1.055316162e+01
3638.3125, 2.711008301e+02, 1.063082409e+01
3639.1504, 2.964268799e+02, 1.144865608e+01
3639.9884, 2.963083496e+02, 1.110958099e+01
3640.8266, 3.071945190e+02, 1.211572075e+01
3641.6651, 3.205158081e+02, 1.237520027e+01
3642.5037, 2.972319031e+02, 1.125109100e+01
3643.3425, 2.860613403e+02, 1.095332050e+01
3644.1815, 2.595761414e+02, 1.047222424e+01
3645.0207, 2.430930328e+02, 1.019103241e+01
3645.8601, 2.240023041e+02, 9.749846458e+00
3646.6997, 1.924063263e+02, 9.053728104e+00
3647.5395, 1.692531586e+02, 8.621922493e+00
3648.3794, 1.488815308e+02, 8.090640068e+00
3649.2196, 1.256144714e+02, 7.748818874e+00
3650.0600, 1.252829514e+02, 7.485676765e+00
3650.9005, 1.775493317e+02, 9.664660454e+00
3651.7413, 2.598032837e+02, 1.063046837e+01
3652.5822, 2.833982239e+02, 1.060719204e+01
3653.4233, 3.063547668e+02, 1.085423565e+01
3654.2647, 3.516400452e+02, 1.143527317e+01
3655.1062, 3.660531921e+02, 1.188447094e+01
3655.9479, 3.541461182e+02, 1.155979824e+01
