# wavelength, flux, err
3621.5960, 1.563592072e+02, 9.999899902e+02
3622.4300, 1.563592072e+02, 1.415338135e+01
3623.2642, 1.685916138e+02, 9.999899902e+02
3624.0986, 1.808240051e+02, 1.509012890e+01
3624.9331, 1.611851959e+02, 1.504421711e+01
3625.7679, 2.055431976e+02, 1.585628796e+01
3626.6029, 2.701309204e+02, 1.712144852e+01
3627.4380, 2.977801208e+02, 1.791270256e+01
3628.2734, 2.861582642e+02, 1.771913910e+01
3629.1089, 2.884318542e+02, 1.758707047e+01
3629.9446, 2.092932129e+02, 1.610529709e+01
3630.7805, 1.693578949e+02, 1.476606178e+01
3631.6167, 1.409764404e+02, 1.400796890e+01
3632.4530, 1.051404877e+02, 1.301069832e+01
3633.2895, 1.042772827e+02, 1.301210690e+01
3634.1262, 1.319999695e+02, 1.362938213e+01
3634.9630, 1.366368866e+02, 1.395940399e+01
3635.8001, 1.521982880e+02, 1.415802670e+01
3636.6374, 1.738402100e+02, 1.465834522e+01
3637.4749, 2.008109436e+02, 1.531554127e+01
3638.3125, 2.382216034e+02, 1.579794502e+01
3639.1504, 2.161792908e+02, 1.548474598e+01
3639.9884, 2.338411713e+02, 1.581097984e+01
3640.8266, 2.677523804e+02, 1.636397552e+01
3641.6651, 2.718393250e+02, 1.628496361e+01
3642.5037, 2.411531372e+02, 1.565886116e+01
3643.3425, 2.155143585e+02, 1.496837044e+01
3644.1815, 1.988404999e+02, 1.439622498e+01
3645.0207, 1.857791595e+02, 1.402532101e+01
3645.8601, 1.653028870e+02, 1.352866650e+01
3646.6997, 1.511133728e+02, 1.314218140e+01
3647.5395, 1.587767334e+02, 1.302561092e+01
3648.3794, 1.615446472e+02, 1.289022160e+01
3649.2196, 1.132625885e+02, 1.221889210e+01
3650.0600, 1.332245636e+02, 1.274659157e+01
3650.9005, 1.750353699e+02, 1.348745728e+01
3651.7413, 1.937457733e+02, 1.389514446e+01
3652.5822, 2.103186798e+02, 1.410151386e+01
3653.4233, 2.396057434e+02, 1.460110378e+01
3654.2647, 2.615418091e+02, 1.499893570e+01
3655.1062, 2.567687683e+02, 1.494006920e+01
3655.9479, 2.749387817e+02, 1.520507812e+01
3656.7898, 3.090088196e+02, 1.567451382e+01
3657.6319, 3.018836975e+02, 1.547889709e+01
3658.4742, 3.371264038e+02, 1.602079391e+01
3659.3167, 3.484220581e+02, 1.590544319e+01
3660.1594, 3.490248718e+02, 1.598770428e+01
3661.0023, 3.294879150e+02, 1.530600452e+01
3661.8454, 3.121559143e+02, 1.519387627e+01
3662.6886, 3.519425049e+02, 1.531933594e+01
3663.5321, 3.277673950e+02, 1.504705238e+01
3664.3757, 2.984234314e+02, 1.446610069e+01
3665.2196, 2.825158691e+02, 1.420737839e+01
3666.0636, 3.013833313e+02, 1.457438946e+01
3666.9079, 3.318934631e+02, 1.469917297e+01
3667.7523, 2.873763123e+02, 1.443475533e+01
3668.5969, 2.856571350e+02, 1.420418549e+01
3669.4418, 2.776604919e+02, 1.373772430e+01
3670.2868, 2.392115631e+02, 1.299255466e+01
3671.1320, 2.248996582e+02, 1.305695057e+01
3671.9774, 2.809261169e+02, 1.376071262e+01
3672.8230, 3.157391663e+02, 1.441975021e+01
3673.6688, 3.159051208e+02, 1.443321705e+01
3674.5148, 3.201980896e+02, 1.453173733e+01
3675.3610, 3.127434692e+02, 1.455059719e+01
3676.2074, 2.902072144e+02, 1.682054710e+01
3677.0539, 2.825264282e+02, 1.665000916e+01
3677.9007, 2.766053162e+02, 1.597732830e+01
3678.7477, 2.209505463e+02, 1.479572010e+01
3679.5948, 1.908106537e+02, 1.417664909e+01
3680.4422, 1.899304199e+02, 1.398890400e+01
3681.2897, 1.847332153e+02, 1.388789463e+01
3682.1375, 1.794365997e+02, 1.409843922e+01
3682.9854, 2.115066986e+02, 1.430481052e+01
3683.8336, 2.077706451e+02, 1.233803368e+01
3684.6819, 2.227614288e+02, 1.219656277e+01
3685.5304, 2.456227112e+02, 1.256411076e+01
3686.3791, 2.220040283e+02, 1.188159275e+01
3687.2281, 1.645480957e+02, 1.107817554e+01
3688.0772, 1.489421539e+02, 1.049684906e+01
3688.9265, 1.563596802e+02, 1.060956097e+01
3689.7760, 1.588664703e+02, 1.086730862e+01
3690.6257, 1.965864105e+02, 1.163845444e+01
3691.4756, 2.943634949e+02, 1.309899044e+01
3692.3257, 3.378881531e+02, 1.394166470e+01
3693.1760, 3.492608032e+02, 1.391448975e+01
3694.0264, 2.897456360e+02, 1.314069939e+01
3694.8771, 2.356781311e+02, 1.222802830e+01
3695.7280, 2.420693665e+02, 1.209706402e+01
3696.5791, 2.718257446e+02, 1.254133987e+01
3697.4303, 2.716011658e+02, 1.250820732e+01
3698.2818, 3.063560181e+02, 1.287221813e+01
3699.1335, 3.102084045e+02, 1.313229465e+01
3699.9853, 3.162752686e+02, 1.320987415e+01
3700.8374, 3.406719055e+02, 1.357315731e+01
3701.6896, 3.183787842e+02, 1.327244759e+01
3702.5421, 2.983065491e+02, 1.295227909e+01
3703.3947, 2.856412048e+02, 1.274592781e+01
3704.2475, 2.655758362e+02, 1.223477268e+01
3705.1006, 2.151483917e+02, 1.135717869e+01
3705.9538, 1.429650879e+02, 9.959620476e+00
3706.8072, 1.115416183e+02, 9.393923759e+00
3707.6608, 1.436904144e+02, 9.884853363e+00
3708.5147, 1.496212006e+02, 9.960017204e+00
3709.3687, 1.302697144e+02, 9.669699669e+00
3710.2229, 1.318733368e+02, 9.797394753e+00
3711.0773, 1.809416504e+02, 1.069019222e+01
3711.9319, 2.436632233e+02, 1.185873508e+01
3712.7867, 3.037738647e+02, 1.288010311e+01
3713.6417, 3.399053650e+02, 1.338546371e+01
3714.4969, 3.548945312e+02, 1.366312408e+01
3715.3523, 3.401227417e+02, 1.329224682e+01
3716.2079, 2.875805969e+02, 1.258813000e+01
3717.0637, 2.467098389e+02, 1.179126167e+01
3717.9197, 2.305289001e+02, 1.146864414e+01
3718.7758, 1.904115601e+02, 1.043641949e+01
3719.6322, 1.343512115e+02, 9.255787849e+00
3720.4888, 9.536753845e+01, 8.283379555e+00
3721.3456, 8.628958893e+01, 8.036930084e+00
3722.2025, 9.126712036e+01, 8.122241974e+00
3723.0597, 9.381766510e+01, 8.265192986e+00
3723.9171, 1.313932190e+02, 9.069596291e+00
3724.7746, 1.757553558e+02, 9.812629700e+00
3725.6324, 1.888901062e+02, 1.019056702e+01
3726.4903, 1.938814697e+02, 1.034374809e+01
3727.3485, 1.882320709e+02, 1.016914177e+01
3728.2068, 1.695068970e+02, 9.938932419e+00
3729.0654, 1.535324860e+02, 9.706764221e+00
3729.9241, 1.704280396e+02, 1.008745384e+01
