# wavelength, flux, err
3621.5960, 2.460531158e+02, 9.999899902e+02
3622.4300, 2.460531158e+02, 1.211076641e+01
3623.2642, 2.623975220e+02, 9.999899902e+02
3624.0986, 2.787419128e+02, 1.265581131e+01
3624.9331, 2.860026855e+02, 1.266595078e+01
3625.7679, 2.938612061e+02, 1.283265400e+01
3626.6029, 3.303379517e+02, 1.336135387e+01
3627.4380, 3.673006287e+02, 1.372560787e+01
3628.2734, 3.649230957e+02, 1.372269630e+01
3629.1089, 3.540783386e+02, 1.342346287e+01
3629.9446, 3.192633057e+02, 1.268001175e+01
3630.7805, 2.410410919e+02, 1.099086189e+01
3631.6167, 1.629795685e+02, 9.641463280e+00
3632.4530, 1.318217468e+02, 9.027324677e+00
3633.2895, 1.557807312e+02, 9.332850456e+00
3634.1262, 1.910209351e+02, 9.925186157e+00
3634.9630, 1.951736755e+02, 9.846373558e+00
3635.8001, 1.960691223e+02, 1.006432819e+01
3636.6374, 2.397029877e+02, 1.055087376e+01
3637.4749, 2.952091980e+02, 1.127998257e+01
3638.3125, 2.933977661e+02, 1.141559029e+01
3639.1504, 3.303993225e+02, 1.192648029e+01
3639.9884, 3.427685242e+02, 1.217760086e+01
3640.8266, 3.636515503e+02, 1.230078506e+01
3641.6651, 3.539992981e+02, 1.214145470e+01
3642.5037, 3.018931885e+02, 1.168211079e+01
3643.3425, 2.903779297e+02, 1.136059093e+01
3644.1815, 2.550606537e+02, 1.092007446e+01
3645.0207, 2.150090332e+02, 1.032926750e+01
3645.8601, 2.010306244e+02, 1.014145756e+01
3646.6997, 2.021545105e+02, 9.982365608e+00
3647.5395, 1.855995483e+02, 9.538746834e+00
3648.3794, 1.473673859e+02, 8.885744095e+00
3649.2196, 1.274422836e+02, 8.626061440e+00
3650.0600, 1.583411560e+02, 9.123053551e+00
3650.9005, 2.065447998e+02, 9.914675713e+00
3651.7413, 2.558376617e+02, 1.068945312e+01
3652.5822, 3.036319275e+02, 1.130911827e+01
3653.4233, 3.106616821e+02, 1.163804626e+01
3654.2647, 3.540524597e+02, 1.191200256e+01
3655.1062, 3.381637878e+02, 1.182290459e+01
3655.9479, 3.179889221e+02, 1.141373920e+01
3656.7898, 3.441218872e+02, 1.164230728e+01
3657.6319, 3.690943604e+02, 1.180110741e+01
3658.4742, 3.785805969e+02, 1.204280949e+01
3659.3167, 4.311380615e+02, 1.234244442e+01
3660.1594, 4.246462708e+02, 1.253159237e+01
3661.0023, 3.952603760e+02, 1.221231270e+01
3661.8454, 4.075750732e+02, 1.230190849e+01
3662.6886, 4.176838379e+02, 1.236534405e+01
3663.5321, 3.900700073e+02, 1.199108410e+01
3664.3757, 3.608093872e+02, 1.172393990e+01
3665.2196, 3.620096130e+02, 1.151285839e+01
3666.0636, 3.811435547e+02, 1.182298946e+01
3666.9079, 3.890997314e+02, 1.179301739e+01
3667.7523, 3.839812927e+02, 1.169325829e+01
3668.5969, 3.734089355e+02, 1.149846935e+01
3669.4418, 3.308547363e+02, 1.105770302e+01
3670.2868, 3.195981140e+02, 1.086901093e+01
3671.1320, 3.389964600e+02, 1.119394970e+01
3671.9774, 3.523206482e+02, 1.139401913e+01
3672.8230, 4.156903381e+02, 1.200090313e+01
3673.6688, 4.251080627e+02, 1.199373913e+01
3674.5148, 3.877538757e+02, 1.158197498e+01
3675.3610, 3.679995728e+02, 1.135087395e+01
3676.2074, 3.773265686e+02, 1.131412220e+01
3677.0539, 3.651440735e+02, 1.105306339e+01
3677.9007, 3.299120789e+02, 1.056550503e+01
3678.7477, 2.973170166e+02, 1.003485203e+01
3679.5948, 2.544217682e+02, 9.448005676e+00
3680.4422, 2.217412262e+02, 8.978281021e+00
3681.2897, 2.151969910e+02, 8.774378777e+00
3682.1375, 2.221845245e+02, 8.927050591e+00
3682.9854, 2.643873291e+02, 9.421394348e+00
3683.8336, 2.925109253e+02, 9.782073975e+00
3684.6819, 2.872618103e+02, 9.654447556e+00
3685.5304, 2.760226135e+02, 9.519946098e+00
3686.3791, 2.677462463e+02, 9.128215790e+00
3687.2281, 2.178762970e+02, 8.575981140e+00
3688.0772, 1.916602173e+02, 8.174469948e+00
3688.9265, 1.981191406e+02, 8.333462715e+00
3689.7760, 2.386292114e+02, 8.938506126e+00
3690.6257, 2.939493713e+02, 9.646211624e+00
3691.4756, 3.444211121e+02, 1.032674313e+01
3692.3257, 4.007122498e+02, 1.085087204e+01
3693.1760, 4.117697449e+02, 1.088903427e+01
3694.0264, 3.722619629e+02, 1.043815517e+01
3694.8771, 3.343554077e+02, 9.994451523e+00
3695.7280, 3.375335388e+02, 1.004446793e+01
3696.5791, 3.671952820e+02, 1.026206684e+01
3697.4303, 3.717514343e+02, 1.042805576e+01
3698.2818, 3.986450500e+02, 1.063907051e+01
3699.1335, 4.051097412e+02, 1.078302383e+01
3699.9853, 4.092227478e+02, 1.079359722e+01
3700.8374, 4.185343323e+02, 1.070273018e+01
3701.6896, 3.917684937e+02, 1.044179058e+01
3702.5421, 3.734290161e+02, 1.009656048e+01
3703.3947, 3.462305298e+02, 9.644045830e+00
3704.2475, 2.973880615e+02, 9.024585724e+00
3705.1006, 2.375547638e+02, 8.205435753e+00
3705.9538, 1.888049927e+02, 7.551265717e+00
3706.8072, 1.662272949e+02, 7.228483200e+00
3707.6608, 1.674250641e+02, 7.201493263e+00
3708.5147, 1.636673431e+02, 7.135688305e+00
3709.3687, 1.617642517e+02, 7.129619122e+00
3710.2229, 1.776283875e+02, 7.357222557e+00
3711.0773, 2.223336334e+02, 7.970108032e+00
3711.9319, 2.935904846e+02, 8.744943619e+00
3712.7867, 3.477023621e+02, 9.341138840e+00
3713.6417, 3.863443298e+02, 9.751198769e+00
3714.4969, 4.041015015e+02, 9.836271286e+00
3715.3523, 3.923591919e+02, 9.692403793e+00
3716.2079, 3.491658630e+02, 9.148120880e+00
3717.0637, 2.865030212e+02, 8.528200150e+00
3717.9197, 2.395626221e+02, 7.799988270e+00
3718.7758, 1.945967102e+02, 7.114657879e+00
3719.6322, 1.445320892e+02, 6.243769169e+00
3720.4888, 1.007575684e+02, 5.552674294e+00
3721.3456, 8.332195282e+01, 5.256040096e+00
3722.2025, 9.435789490e+01, 5.531550407e+00
3723.0597, 1.130789871e+02, 5.916361809e+00
3723.9171, 1.440656738e+02, 6.531565189e+00
3724.7746, 1.872535400e+02, 7.120622635e+00
3725.6324, 2.270652466e+02, 7.629059315e+00
