# wavelength, flux, err
3621.5960, 4.741063311e+23, 5.755221233e+24
3622.4300, 4.742155107e+23, 1.883153172e+23
3623.2642, 5.589193500e+23, 5.757872221e+24
3624.0986, 6.436621763e+23, 2.201950218e+23
3624.9331, 4.138670552e+22, 2.076367209e+23
3625.7679, 3.877212133e+23, 2.016699685e+23
3626.6029, 5.938797197e+23, 2.158011436e+23
3627.4380, 9.530513633e+22, 2.076414655e+23
3628.2734, -2.524287756e+23, 2.083317818e+23
3629.1089, 2.164646737e+23, 2.155244955e+23
3629.9446, 3.230732196e+23, 2.181391484e+23
3630.7805, 1.091980407e+23, 2.028597857e+23
3631.6167, -6.370731949e+22, 1.810759162e+23
3632.4530, -2.676086048e+22, 1.639042854e+23
3633.2895, 8.129410429e+22, 1.644109647e+23
3634.1262, 1.502502656e+23, 1.708986055e+23
3634.9630, 1.085871572e+23, 1.772038835e+23
3635.8001, 1.143869289e+23, 1.831446150e+23
3636.6374, 2.331325766e+23, 1.807314803e+23
3637.4749, 4.260931065e+23, 1.876052757e+23
3638.3125, 6.617974465e+23, 1.892892893e+23
3639.1504, 2.933040696e+23, 1.930751642e+23
3639.9884, 8.460439409e+23, 2.045314418e+23
3640.8266, 9.641629463e+23, 2.111898014e+23
3641.6651, 4.605551823e+21, 1.957444874e+23
3642.5037, 1.475769647e+23, 1.895799016e+23
3643.3425, 1.066670053e+23, 1.826015060e+23
3644.1815, 2.163066252e+23, 1.848453010e+23
3645.0207, 2.541031070e+23, 1.827576626e+23
3645.8601, 1.798465587e+23, 1.722823601e+23
3646.6997, 1.807256909e+23, 1.690494497e+23
3647.5395, 8.140480563e+22, 1.643877500e+23
3648.3794, -1.835250722e+23, 1.567092792e+23
3649.2196, -8.791635316e+22, 1.544946309e+23
3650.0600, 1.979745085e+23, 1.594337288e+23
3650.9005, 3.170958072e+23, 1.679458846e+23
3651.7413, 2.051565059e+23, 1.668011947e+23
3652.5822, -1.478215441e+23, 1.679427011e+23
3653.4233, 3.252640931e+23, 1.758938343e+23
3654.2647, 6.992490483e+23, 1.988661279e+23
3655.1062, 3.644931688e+23, 1.975403566e+23
3655.9479, -1.144505863e+23, 1.821979622e+23
3656.7898, 3.064408762e+23, 1.785815685e+23
3657.6319, 3.216273140e+23, 1.847335778e+23
3658.4742, 5.929303930e+22, 1.756025027e+23
3659.3167, 1.113925629e+23, 1.910163558e+23
3660.1594, 4.874871657e+23, 1.946766577e+23
3661.0023, 5.583823719e+23, 1.925755739e+23
3661.8454, 5.478045974e+23, 1.904135313e+23
3662.6886, 4.298026807e+23, 1.811331242e+23
3663.5321, 1.430234192e+23, 1.758933786e+23
3664.3757, 2.325491566e+22, 1.797487027e+23
3665.2196, 2.460635699e+23, 1.751693456e+23
3666.0636, 1.459629830e+23, 1.690791345e+23
3666.9079, 1.721726926e+23, 1.689491169e+23
3667.7523, 4.119487375e+23, 1.788858902e+23
3668.5969, 7.892155554e+23, 1.952481517e+23
3669.4418, 8.298586199e+23, 1.863204610e+23
3670.2868, 1.297697228e+23, 1.618841634e+23
3671.1320, -2.615862461e+22, 1.541097805e+23
3671.9774, 1.645564250e+23, 1.557570766e+23
3672.8230, 4.200006995e+23, 1.638897936e+23
3673.6688, 5.316658408e+23, 1.784673811e+23
3674.5148, 3.919794998e+23, 1.751883574e+23
3675.3610, 9.503311429e+22, 1.633765696e+23
3676.2074, -4.038849560e+22, 1.588371651e+23
3677.0539, -9.133586710e+22, 1.601375221e+23
3677.9007, 7.248811863e+22, 1.592320266e+23
3678.7477, 2.295556561e+23, 1.552787929e+23
3679.5948, -9.591765769e+21, 1.455397210e+23
3680.4422, 1.333003038e+23, 1.458617004e+23
3681.2897, -1.461910092e+22, 1.500617954e+23
3682.1375, 7.920837518e+22, 1.468382162e+23
3682.9854, 2.551265151e+23, 1.468514232e+23
3683.8336, 4.661522770e+22, 1.493849219e+23
3684.6819, -9.801798827e+22, 1.424766562e+23
3685.5304, 3.851605004e+23, 1.564348847e+23
3686.3791, 2.339049313e+23, 1.507443059e+23
3687.2281, 1.199409837e+23, 1.447016388e+23
3688.0772, 2.751701166e+23, 1.393264968e+23
3688.9265, -2.001249466e+22, 1.351282082e+23
