# wavelength, flux, err
3621.5960, 1.245962513e+26, 1.523684820e+27
3622.4300, 1.246249439e+26, 1.218632207e+25
3623.2642, 1.354516568e+26, 1.524386665e+27
3624.0986, 1.462833496e+26, 1.318709139e+25
3624.9331, 1.593682353e+26, 1.311868256e+25
3625.7679, 1.568547860e+26, 1.334491019e+25
3626.6029, 1.963984045e+26, 1.425383350e+25
3627.4380, 2.216334590e+26, 1.471000343e+25
3628.2734, 1.710302913e+26, 1.360516718e+25
3629.1089, 1.796531909e+26, 1.431483542e+25
3629.9446, 1.829308823e+26, 1.402378212e+25
3630.7805, 1.620613843e+26, 1.334257983e+25
3631.6167, 1.205403491e+26, 1.200144897e+25
3632.4530, 9.537732735e+25, 1.125819659e+25
3633.2895, 1.081775860e+26, 1.156500913e+25
3634.1262, 9.396763940e+25, 1.073321828e+25
3634.9630, 1.343305475e+26, 1.201933785e+25
3635.8001, 1.514710222e+26, 1.228902325e+25
3636.6374, 1.423622238e+26, 1.217441437e+25
3637.4749, 1.404251235e+26, 1.201859969e+25
3638.3125, 1.481272318e+26, 1.208606446e+25
3639.1504, 1.380060093e+26, 1.165978055e+25
3639.9884, 1.565677698e+26, 1.256893541e+25
3640.8266, 1.697067307e+26, 1.285062626e+25
3641.6651, 1.724309673e+26, 1.289018047e+25
3642.5037, 1.727563116e+26, 1.282917454e+25
3643.3425, 1.599281099e+26, 1.256239912e+25
3644.1815, 1.486443416e+26, 1.196111665e+25
3645.0207, 1.245437820e+26, 1.118860350e+25
3645.8601, 1.306245391e+26, 1.345186146e+25
3646.6997, 1.406334089e+26, 1.214500599e+25
3647.5395, 1.155506381e+26, 1.140978104e+25
3648.3794, 1.042558824e+26, 1.067802360e+25
3649.2196, 8.330258942e+25, 9.971469249e+24
3650.0600, 1.231717594e+26, 1.084353054e+25
3650.9005, 1.283563199e+26, 1.099747632e+25
3651.7413, 1.036189469e+26, 1.047197906e+25
3652.5822, 1.434036455e+26, 1.114466265e+25
3653.4233, 1.764493480e+26, 1.186073123e+25
3654.2647, 1.465234059e+26, 1.149235166e+25
3655.1062, 1.743028275e+26, 1.183442741e+25
3655.9479, 1.887616827e+26, 1.206908303e+25
3656.7898, 1.575542391e+26, 1.153681471e+25
3657.6319, 1.697288022e+26, 1.185411094e+25
3658.4742, 1.819558551e+26, 1.178353625e+25
3659.3167, 1.877036525e+26, 1.169865485e+25
3660.1594, 1.880538477e+26, 1.151677250e+25
3661.0023, 1.840546960e+26, 1.194788357e+25
3661.8454, 1.861232889e+26, 1.183008048e+25
3662.6886, 1.964972252e+26, 1.191988381e+25
3663.5321, 1.537896149e+26, 1.139553332e+25
3664.3757, 1.816244308e+26, 1.141149811e+25
3665.2196, 1.952309919e+26, 1.166636697e+25
3666.0636, 1.850609051e+26, 1.122492645e+25
3666.9079, 1.992425667e+26, 1.153012206e+25
3667.7523, 2.023024011e+26, 1.154861131e+25
3668.5969, 1.661660892e+26, 1.091543772e+25
3669.4418, 1.537897336e+26, 1.062755496e+25
3670.2868, 1.633220341e+26, 1.077914423e+25
3671.1320, 1.716179883e+26, 1.062767188e+25
3671.9774, 1.717292310e+26, 1.053798615e+25
3672.8230, 1.777183044e+26, 1.041056434e+25
3673.6688, 1.812033481e+26, 1.087347104e+25
3674.5148, 1.835821635e+26, 1.082824086e+25
3675.3610, 1.712960053e+26, 1.052502317e+25
3676.2074, 1.614391156e+26, 1.040525064e+25
3677.0539, 1.885151715e+26, 1.123053699e+25
3677.9007, 2.061170423e+26, 1.129825493e+25
3678.7477, 1.563852945e+26, 9.900569835e+24
3679.5948, 1.347756989e+26, 9.342468732e+24
3680.4422, 1.327952002e+26, 9.313761044e+24
3681.2897, 1.223991090e+26, 9.056393686e+24
3682.1375, 1.375409601e+26, 9.116127583e+24
3682.9854, 1.461461926e+26, 9.427483507e+24
3683.8336, 1.577007562e+26, 9.661128627e+24
3684.6819, 1.583266804e+26, 9.505341493e+24
3685.5304, 1.405713449e+26, 9.223169566e+24
3686.3791, 1.218323821e+26, 8.794536908e+24
3687.2281, 1.329928432e+26, 8.658393592e+24
3688.0772, 1.427572798e+26, 8.804853298e+24
3688.9265, 1.096182726e+26, 8.252762061e+24
3689.7760, 1.279680142e+26, 8.627322724e+24
3690.6257, 1.757572213e+26, 9.457696504e+24
3691.4756, 1.647436581e+26, 1.069323107e+25
3692.3257, 1.717904679e+26, 1.074443986e+25
3693.1760, 2.140889845e+26, 1.019359508e+25
3694.0264, 1.672889773e+26, 9.784461743e+24
3694.8771, 1.598390727e+26, 8.812070718e+24
3695.7280, 2.025093428e+26, 9.881535363e+24
3696.5791, 1.586985986e+26, 8.955819717e+24
3697.4303, 1.743500908e+26, 9.334774976e+24
3698.2818, 1.932959396e+26, 9.793022696e+24
3699.1335, 1.843095883e+26, 9.669815649e+24
3699.9853, 1.832671229e+26, 9.390092904e+24
3700.8374, 1.996176683e+26, 9.769453141e+24
3701.6896, 1.895675015e+26, 9.479722791e+24
3702.5421, 1.894703219e+26, 9.560818995e+24
3703.3947, 1.807848753e+26, 9.400860711e+24
3704.2475, 1.511916784e+26, 8.730321294e+24
3705.1006, 1.241198599e+26, 8.101226463e+24
3705.9538, 1.129532087e+26, 7.617307104e+24
3706.8072, 9.369919891e+25, 7.407707260e+24
3707.6608, 1.101621201e+26, 7.284155589e+24
3708.5147, 1.025073492e+26, 7.320372210e+24
3709.3687, 9.776427098e+25, 7.127390220e+24
3710.2229, 1.149493607e+26, 7.276589652e+24
3711.0773, 1.376386186e+26, 7.853568543e+24
3711.9319, 1.521586383e+26, 8.184961216e+24
3712.7867, 1.677534192e+26, 8.497675516e+24
3713.6417, 1.945606132e+26, 8.809911315e+24
3714.4969, 2.134236030e+26, 9.283466330e+24
3715.3523, 2.023912697e+26, 9.447523757e+24
3716.2079, 1.724499078e+26, 9.163113217e+24
3717.0637, 1.806149886e+26, 8.738600052e+24
3717.9197, 1.660438646e+26, 8.587116811e+24
3718.7758, 1.497071616e+26, 8.050215118e+24
3719.6322, 1.245929953e+26, 7.794049110e+24
3720.4888, 8.401088205e+25, 6.596553514e+24
3721.3456, 6.012070791e+25, 6.186434220e+24
3722.2025, 8.802431065e+25, 6.178076939e+24
3723.0597, 8.419849715e+25, 6.309123663e+24
3723.9171, 1.103877818e+26, 6.694487466e+24
3724.7746, 1.392503488e+26, 7.350861002e+24
3725.6324, 1.347440309e+26, 8.717016427e+24
3726.4903, 1.560611963e+26, 9.168446852e+24
3727.3485, 1.467751377e+26, 8.951485497e+24
3728.2068, 1.318960902e+26, 8.759781304e+24
3729.0654, 1.260251008e+26, 8.604321398e+24
3729.9241, 1.402685197e+26, 8.441734555e+24
3730.7831, 1.579652240e+26, 9.044493462e+24
3731.6422, 1.245987712e+26, 8.445938936e+24
3732.5016, 1.158351229e+26, 6.956800593e+24
