# wavelength, flux, err
3621.5960, 4.086496265e+24, 4.777091122e+25
3622.4300, 4.087437324e+24, 3.760604399e+23
3623.2642, 4.036050244e+24, 4.779291560e+25
3624.0986, 3.984639281e+24, 3.769030347e+23
3624.9331, 4.237744204e+24, 3.721441110e+23
3625.7679, 4.296580530e+24, 3.848172358e+23
3626.6029, 4.839329488e+24, 3.948766692e+23
3627.4380, 5.708381909e+24, 4.168234740e+23
3628.2734, 5.970614769e+24, 4.133048623e+23
3629.1089, 5.522858733e+24, 4.091191262e+23
3629.9446, 4.416873480e+24, 3.701776202e+23
3630.7805, 3.675662941e+24, 3.450684205e+23
3631.6167, 2.882208006e+24, 3.195385785e+23
3632.4530, 1.857303269e+24, 3.022662332e+23
3633.2895, 1.506343572e+24, 2.877472333e+23
3634.1262, 2.734961873e+24, 3.088000085e+23
3634.9630, 2.974644348e+24, 3.160774340e+23
3635.8001, 3.145137967e+24, 3.301932509e+23
3636.6374, 3.335783434e+24, 3.271985530e+23
3637.4749, 3.694790662e+24, 3.358572745e+23
3638.3125, 4.787039652e+24, 3.620758538e+23
3639.1504, 5.427599099e+24, 3.799579944e+23
3639.9884, 5.363373362e+24, 3.753427060e+23
3640.8266, 5.502833290e+24, 3.799373989e+23
3641.6651, 5.511307100e+24, 3.826547997e+23
3642.5037, 4.949280017e+24, 3.630503659e+23
3643.3425, 4.400919723e+24, 3.457080828e+23
3644.1815, 3.754531966e+24, 3.306982802e+23
3645.0207, 3.411650049e+24, 3.167753242e+23
3645.8601, 3.105832159e+24, 3.047109577e+23
3646.6997, 3.063164577e+24, 3.017981849e+23
3647.5395, 3.269529087e+24, 3.198471709e+23
3648.3794, 2.603984164e+24, 3.364878961e+23
3649.2196, 1.937618760e+24, 3.058345215e+23
3650.0600, 2.298184090e+24, 2.740766799e+23
3650.9005, 2.986729361e+24, 2.986124273e+23
3651.7413, 3.548836297e+24, 3.084492190e+23
3652.5822, 4.312296399e+24, 3.290883389e+23
3653.4233, 5.158079184e+24, 3.443026508e+23
3654.2647, 4.218948650e+24, 3.272483273e+23
3655.1062, 4.151917420e+24, 3.295628395e+23
3655.9479, 5.387897528e+24, 3.532157764e+23
3656.7898, 5.957202215e+24, 3.567348459e+23
3657.6319, 5.076863555e+24, 3.481822403e+23
3658.4742, 7.486701273e+24, 3.868189980e+23
3659.3167, 6.309696884e+24, 3.813540970e+23
3660.1594, 6.111716162e+24, 3.624208339e+23
3661.0023, 6.791085842e+24, 3.734215250e+23
3661.8454, 6.539095046e+24, 3.757207645e+23
3662.6886, 6.832093011e+24, 3.731090500e+23
3663.5321, 6.703623762e+24, 3.759420130e+23
3664.3757, 5.679743839e+24, 3.545332353e+23
3665.2196, 5.342055683e+24, 3.392363115e+23
3666.0636, 6.129626077e+24, 3.523541757e+23
3666.9079, 6.841114642e+24, 3.677463331e+23
3667.7523, 6.140461835e+24, 3.619886947e+23
3668.5969, 5.567782596e+24, 3.315655993e+23
