# wavelength, flux, err
3621.5960, 1.272260687e+24, 1.292104276e+24
3622.4300, 1.272553670e+24, 2.146735022e+22
3623.2642, 1.326813044e+24, 1.292699449e+24
3624.0986, 1.381097340e+24, 2.264848640e+22
3624.9331, 1.333403543e+24, 2.241333069e+22
3625.7679, 1.326308377e+24, 2.256245009e+22
3626.6029, 1.450841658e+24, 2.315560192e+22
3627.4380, 1.546702120e+24, 2.366604486e+22
3628.2734, 1.472225261e+24, 2.334878098e+22
3629.1089, 1.471615006e+24, 2.287457289e+22
3629.9446, 1.457486196e+24, 2.264888681e+22
3630.7805, 1.283874380e+24, 2.118808211e+22
3631.6167, 1.046760265e+24, 1.946253115e+22
3632.4530, 9.287653361e+23, 1.834059384e+22
3633.2895, 1.011258849e+24, 1.854041864e+22
3634.1262, 1.124168161e+24, 1.944746088e+22
3634.9630, 1.125399468e+24, 1.961521892e+22
3635.8001, 1.123614281e+24, 1.964317519e+22
3636.6374, 1.167939172e+24, 1.982386283e+22
3637.4749, 1.225897588e+24, 2.006193639e+22
3638.3125, 1.258437105e+24, 2.019521864e+22
3639.1504, 1.318344700e+24, 2.039661073e+22
3639.9884, 1.423890699e+24, 2.094244684e+22
3640.8266, 1.449386147e+24, 2.101696706e+22
3641.6651, 1.407417588e+24, 2.081080273e+22
3642.5037, 1.371249163e+24, 2.056564338e+22
3643.3425, 1.336163632e+24, 2.032690921e+22
3644.1815, 1.262181517e+24, 1.982881902e+22
3645.0207, 1.208841963e+24, 1.954944224e+22
3645.8601, 1.183657830e+24, 1.923010404e+22
3646.6997, 1.169888119e+24, 1.907212157e+22
3647.5395, 1.145532467e+24, 1.866688311e+22
3648.3794, 1.099335739e+24, 1.815949442e+22
3649.2196, 1.083706087e+24, 1.795322767e+22
3650.0600, 1.142899381e+24, 1.814400881e+22
3650.9005, 1.229761465e+24, 1.888449283e+22
3651.7413, 1.300423869e+24, 1.925803540e+22
3652.5822, 1.354751387e+24, 1.978902314e+22
3653.4233, 1.411934678e+24, 2.025472377e+22
3654.2647, 1.453573285e+24, 2.059356371e+22
3655.1062, 1.472561423e+24, 2.082443848e+22
3655.9479, 1.465326982e+24, 2.043540901e+22
3656.7898, 1.462803285e+24, 2.056852240e+22
3657.6319, 1.498022558e+24, 2.050802500e+22
3658.4742, 1.499108280e+24, 2.053503845e+22
3659.3167, 1.528259350e+24, 2.060146548e+22
3660.1594, 1.551394612e+24, 2.055074543e+22
3661.0023, 1.556565371e+24, 2.064878590e+22
3661.8454, 1.523538957e+24, 2.013058298e+22
3662.6886, 1.434661350e+24, 1.976790420e+22
3663.5321, 1.452854934e+24, 1.954574918e+22
3664.3757, 1.387536420e+24, 1.920436012e+22
3665.2196, 1.403719406e+24, 1.918846980e+22
3666.0636, 1.477393939e+24, 1.946313051e+22
3666.9079, 1.465877202e+24, 1.948553795e+22
3667.7523, 1.437170320e+24, 1.933031575e+22
3668.5969, 1.443515253e+24, 1.913304360e+22
3669.4418, 1.373056290e+24, 1.868514654e+22
3670.2868, 1.267386744e+24, 1.811273527e+22
3671.1320, 1.262733392e+24, 1.792448788e+22
3671.9774, 1.414542790e+24, 1.892429860e+22
3672.8230, 1.527734063e+24, 1.928461304e+22
3673.6688, 1.540585647e+24, 1.963693133e+22
3674.5148, 1.522862352e+24, 1.950353171e+22
3675.3610, 1.551376692e+24, 1.950593966e+22
3676.2074, 1.595974084e+24, 1.972425905e+22
3677.0539, 1.540542633e+24, 1.924108500e+22
3677.9007, 1.392771610e+24, 1.850776566e+22
3678.7477, 1.323422802e+24, 1.783183869e+22
3679.5948, 1.312101698e+24, 1.755306723e+22
3680.4422, 1.292816408e+24, 1.733116027e+22
3681.2897, 1.280207242e+24, 1.724290711e+22
3682.1375, 1.355411602e+24, 1.739866796e+22
3682.9854, 1.415196443e+24, 1.776981157e+22
3683.8336, 1.419742388e+24, 1.769578834e+22
3684.6819, 1.434536307e+24, 1.783650305e+22
3685.5304, 1.416776129e+24, 1.751818626e+22
3686.3791, 1.302261502e+24, 1.690331664e+22
3687.2281, 1.179869507e+24, 1.604506842e+22
3688.0772, 1.154663186e+24, 1.587080891e+22
3688.9265, 1.198241113e+24, 1.600411509e+22
3689.7760, 1.310175628e+24, 1.672558705e+22
3690.6257, 1.457780231e+24, 1.746994240e+22
3691.4756, 1.569636154e+24, 1.816699700e+22
3692.3257, 1.602231580e+24, 1.844339104e+22
3693.1760, 1.558782067e+24, 1.823753990e+22
3694.0264, 1.495847626e+24, 1.776655347e+22
3694.8771, 1.462819231e+24, 1.739114476e+22
3695.7280, 1.458475928e+24, 1.714605620e+22
3696.5791, 1.447127753e+24, 1.694228360e+22
3697.4303, 1.433897125e+24, 1.676476760e+22
3698.2818, 1.402614478e+24, 1.659179338e+22
3699.1335, 1.494085185e+24, 1.690156351e+22
3699.9853, 1.667952270e+24, 1.778917881e+22
3700.8374, 1.799611768e+24, 1.827537575e+22
