# wavelength, flux, err
3621.5960, 1.331835069e+26, 1.486405683e+27
3622.4300, 1.332141771e+26, 1.229171402e+25
3623.2642, 1.390454520e+26, 1.487090356e+27
3624.0986, 1.448793942e+26, 1.263092017e+25
3624.9331, 1.266443640e+26, 1.268964003e+25
3625.7679, 1.408505392e+26, 1.259510195e+25
3626.6029, 1.399858378e+26, 1.326248156e+25
3627.4380, 1.303319296e+26, 1.299491556e+25
3628.2734, 1.468704294e+26, 1.310641939e+25
3629.1089, 1.385671900e+26, 1.288649268e+25
3629.9446, 1.284016857e+26, 1.207419572e+25
3630.7805, 1.232542217e+26, 1.134692264e+25
3631.6167, 1.096503521e+26, 1.041003820e+25
3632.4530, 1.008011607e+26, 1.030210722e+25
3633.2895, 1.173983701e+26, 1.055133581e+25
3634.1262, 1.203840086e+26, 1.079192123e+25
3634.9630, 1.147499020e+26, 1.082973867e+25
3635.8001, 1.387298880e+26, 1.123238501e+25
3636.6374, 1.581906790e+26, 1.167185864e+25
3637.4749, 1.522972728e+26, 1.165385048e+25
3638.3125, 1.480825098e+26, 1.159963054e+25
3639.1504, 1.293547418e+26, 1.144917744e+25
3639.9884, 1.349735342e+26, 1.160074206e+25
3640.8266, 1.352439858e+26, 1.139382081e+25
3641.6651, 1.262983475e+26, 1.124691131e+25
3642.5037, 1.182060135e+26, 1.089500484e+25
3643.3425, 1.123337070e+26, 1.075674612e+25
3644.1815, 1.448743184e+26, 1.085463095e+25
3645.0207, 1.397898405e+26, 1.070633310e+25
3645.8601, 1.345586405e+26, 1.073676396e+25
3646.6997, 1.300441414e+26, 1.039385446e+25
3647.5395, 1.127935867e+26, 1.013669140e+25
3648.3794, 1.327596917e+26, 1.008280004e+25
3649.2196, 1.156189406e+26, 9.910735404e+24
3650.0600, 1.145846800e+26, 9.945549253e+24
3650.9005, 1.165309081e+26, 1.009830229e+25
3651.7413, 1.142263763e+26, 1.020323871e+25
3652.5822, 1.238176711e+26, 1.056904337e+25
3653.4233, 1.272084221e+26, 1.069110049e+25
3654.2647, 1.378876889e+26, 1.075769072e+25
3655.1062, 1.213763107e+26, 1.060775725e+25
3655.9479, 1.148972551e+26, 1.047851807e+25
3656.7898, 1.307416330e+26, 1.068469048e+25
3657.6319, 1.257087390e+26, 1.059886802e+25
3658.4742, 1.282010073e+26, 1.060492886e+25
3659.3167, 1.267397655e+26, 1.062876925e+25
3660.1594, 1.170262291e+26, 1.042387080e+25
3661.0023, 1.155031583e+26, 1.041681213e+25
3661.8454, 1.246810634e+26, 1.034294855e+25
3662.6886, 1.217640240e+26, 1.028588999e+25
3663.5321, 1.330877892e+26, 1.027268140e+25
3664.3757, 1.337460093e+26, 1.009776970e+25
3665.2196, 1.270265472e+26, 1.012264540e+25
3666.0636, 1.236384897e+26, 1.000189295e+25
3666.9079, 1.240459491e+26, 9.979222785e+24
3667.7523, 1.176976181e+26, 9.876735112e+24
3668.5969, 1.167124176e+26, 9.601728924e+24
