# wavelength, flux, err
3621.5960, 1.449392905e+23, 3.988943701e+24
3622.4300, 1.449726678e+23, 3.862427913e+22
3623.2642, 1.231580797e+23, 3.990781101e+24
3624.0986, 1.013334367e+23, 3.749056823e+22
3624.9331, 1.769250356e+23, 3.879555491e+22
3625.7679, 1.212781197e+23, 3.849511852e+22
3626.6029, 1.050312831e+23, 3.738330778e+22
3627.4380, 1.683160034e+23, 4.067605719e+22
3628.2734, 1.701801027e+23, 4.010139137e+22
3629.1089, 7.753312383e+22, 3.787557521e+22
3629.9446, 6.400134780e+22, 3.693089323e+22
3630.7805, 1.168891500e+23, 3.643079575e+22
3631.6167, 1.093131229e+23, 3.457303703e+22
3632.4530, 6.823218251e+22, 3.179935126e+22
3633.2895, 1.006729815e+23, 3.265868107e+22
3634.1262, 9.158373833e+22, 3.252516595e+22
3634.9630, 1.177380702e+23, 3.339249136e+22
3635.8001, 1.433259852e+23, 3.361926830e+22
3636.6374, 1.024927195e+23, 3.267221503e+22
3637.4749, 6.286928655e+22, 3.182308063e+22
3638.3125, 1.470191373e+23, 3.480062771e+22
3639.1504, 1.555244784e+23, 3.579383308e+22
3639.9884, 1.265057775e+23, 3.498524392e+22
3640.8266, 1.063363481e+23, 3.460679985e+22
3641.6651, 1.457099723e+23, 3.556314988e+22
3642.5037, 2.016425828e+23, 3.693706575e+22
3643.3425, 1.482227176e+23, 3.565170130e+22
3644.1815, 1.155543183e+23, 3.391128511e+22
3645.0207, 3.889510232e+22, 2.995868630e+22
3645.8601, -1.473426471e+22, 2.854676597e+22
3646.6997, 3.337756707e+22, 3.078971309e+22
3647.5395, 1.362906256e+23, 3.395404260e+22
3648.3794, 1.110801952e+23, 3.251568018e+22
3649.2196, 6.617370547e+22, 3.214219322e+22
3650.0600, 1.492730837e+23, 3.429832283e+22
3650.9005, 1.646292050e+23, 3.531122965e+22
3651.7413, 8.894187200e+22, 3.425594683e+22
3652.5822, 8.773813473e+22, 3.330224873e+22
3653.4233, 1.134105256e+23, 3.438130924e+22
3654.2647, 1.649416299e+23, 3.555781415e+22
3655.1062, 1.543074427e+23, 3.551944612e+22
3655.9479, 1.010694210e+23, 3.408402405e+22
3656.7898, 9.764762899e+22, 3.366788975e+22
3657.6319, 1.805985544e+23, 3.604155832e+22
3658.4742, 1.759286974e+23, 3.520331089e+22
3659.3167, 7.768074764e+22, 3.371350267e+22
3660.1594, 1.593969899e+23, 3.540878550e+22
3661.0023, 2.221289812e+23, 3.599208521e+22
3661.8454, 1.205246654e+23, 3.479774021e+22
3662.6886, 1.260864415e+23, 3.276216522e+22
3663.5321, 1.136441572e+23, 3.411982312e+22
3664.3757, 1.791433080e+23, 3.393969285e+22
3665.2196, 1.322813626e+23, 3.352837684e+22
3666.0636, 6.365716689e+22, 3.134307149e+22
3666.9079, 1.427660947e+23, 3.279852683e+22
3667.7523, 2.002098348e+23, 3.466228310e+22
3668.5969, 1.491241369e+23, 3.337135675e+22
3669.4418, 1.491247438e+23, 3.298909475e+22
3670.2868, 1.825458250e+23, 3.347912152e+22
3671.1320, 1.897418074e+23, 3.337972847e+22
3671.9774, 1.509718233e+23, 3.242563653e+22
3672.8230, 9.589080884e+22, 3.214954638e+22
3673.6688, 1.565479997e+23, 3.246821761e+22
3674.5148, 1.854825025e+23, 3.432824911e+22
3675.3610, 1.389765215e+23, 3.126566942e+22
3676.2074, 1.221787138e+23, 3.157372713e+22
3677.0539, 1.988926959e+23, 3.298865855e+22
3677.9007, 1.229160980e+23, 3.078259157e+22
3678.7477, 1.532180285e+23, 3.070524704e+22
3679.5948, 1.488630682e+23, 3.178692993e+22
3680.4422, 1.003581178e+23, 2.890229314e+22
3681.2897, 1.051783436e+23, 2.957976232e+22
3682.1375, 1.736418005e+23, 3.079038548e+22
3682.9854, 1.403015835e+23, 3.070742681e+22
3683.8336, 1.613048396e+23, 3.123693622e+22
3684.6819, 1.569936656e+23, 3.039803399e+22
3685.5304, 1.353023828e+23, 2.945466444e+22
3686.3791, 1.702586270e+23, 3.094297830e+22
3687.2281, 2.260033318e+23, 3.142491905e+22
3688.0772, 1.741919232e+23, 3.010424093e+22
3688.9265, 1.301335660e+23, 2.821674816e+22
3689.7760, 1.354608962e+23, 2.863896336e+22
3690.6257, 1.507375444e+23, 2.943801051e+22
3691.4756, 1.485968647e+23, 3.045132387e+22
3692.3257, 1.853690130e+23, 3.101889990e+22
3693.1760, 1.746636918e+23, 3.045862167e+22
3694.0264, 1.625045671e+23, 3.011742785e+22
