# wavelength, flux, err
3621.5960, 6.126701363e+25, 6.889100506e+26
3622.4300, 6.128112250e+25, 9.539810829e+24
3623.2642, 5.876675045e+25, 6.892273784e+26
3624.0986, 5.625121711e+25, 9.689469419e+24
3624.9331, 6.124717560e+25, 9.773655788e+24
3625.7679, 5.163191623e+25, 9.773905611e+24
3626.6029, 5.149788169e+25, 9.740376580e+24
3627.4380, 6.282658946e+25, 9.967696662e+24
3628.2734, 6.793025567e+25, 1.018532736e+25
3629.1089, 6.649872245e+25, 1.008470587e+25
3629.9446, 6.791727250e+25, 1.000699734e+25
3630.7805, 4.862981827e+25, 9.442046534e+24
3631.6167, 5.315415196e+25, 9.003211217e+24
3632.4530, 6.524714680e+25, 8.973651889e+24
3633.2895, 3.947056535e+25, 8.256704686e+24
3634.1262, 5.482381805e+25, 8.616234047e+24
3634.9630, 4.877256027e+25, 8.736489169e+24
3635.8001, 4.691981048e+25, 8.625215025e+24
3636.6374, 5.131426992e+25, 8.598100544e+24
3637.4749, 4.878602815e+25, 8.537101322e+24
3638.3125, 4.070069554e+25, 8.311131468e+24
3639.1504, 4.802565040e+25, 8.444437130e+24
3639.9884, 5.571940572e+25, 8.679892159e+24
3640.8266, 5.678181550e+25, 8.779818718e+24
3641.6651, 5.762703237e+25, 8.852179258e+24
3642.5037, 6.515820831e+25, 9.029434267e+24
3643.3425, 7.218476627e+25, 9.224581659e+24
3644.1815, 5.778769720e+25, 8.941073853e+24
3645.0207, 4.962035564e+25, 8.562030877e+24
3645.8601, 5.246962983e+25, 8.608042845e+24
3646.6997, 5.297492171e+25, 8.466144544e+24
3647.5395, 4.481889678e+25, 8.132126712e+24
3648.3794, 4.421437263e+25, 7.801142116e+24
3649.2196, 4.061478733e+25, 7.503664071e+24
3650.0600, 3.670326931e+25, 7.477088423e+24
3650.9005, 4.401376030e+25, 7.799578471e+24
3651.7413, 5.656516606e+25, 8.298050400e+24
3652.5822, 6.249165797e+25, 8.560023221e+24
3653.4233, 7.520703743e+25, 8.839965488e+24
3654.2647, 6.620378212e+25, 8.829396932e+24
3655.1062, 6.937361985e+25, 8.965380644e+24
3655.9479, 7.629641637e+25, 9.019749217e+24
3656.7898, 6.945483010e+25, 8.756287110e+24
3657.6319, 6.121861401e+25, 8.656564326e+24
3658.4742, 8.181341476e+25, 8.947884623e+24
3659.3167, 7.132773539e+25, 8.611748481e+24
3660.1594, 6.696207523e+25, 8.779399208e+24
3661.0023, 6.751105872e+25, 8.371898708e+24
3661.8454, 6.312056317e+25, 8.510646710e+24
3662.6886, 7.199045704e+25, 8.339447732e+24
3663.5321, 5.963145779e+25, 8.141123144e+24
3664.3757, 5.270105792e+25, 7.902416805e+24
3665.2196, 6.622564373e+25, 8.076132760e+24
3666.0636, 7.552715188e+25, 8.198777818e+24
3666.9079, 6.254070530e+25, 8.000189754e+24
3667.7523, 6.174139556e+25, 7.903889158e+24
3668.5969, 6.398097745e+25, 8.002188375e+24
3669.4418, 6.496589255e+25, 7.931720763e+24
3670.2868, 6.065127112e+25, 7.843566308e+24
3671.1320, 6.469159896e+25, 7.805283366e+24
3671.9774, 7.752075445e+25, 7.912844204e+24
3672.8230, 5.199960202e+25, 7.883171953e+24
3673.6688, 7.546597690e+25, 7.946893782e+24
3674.5148, 7.596409332e+25, 8.132311501e+24
3675.3610, 7.035894510e+25, 7.838115234e+24
3676.2074, 7.011260942e+25, 7.720148609e+24
3677.0539, 4.938109525e+25, 7.458647289e+24
3677.9007, 6.559340296e+25, 7.401947406e+24
3678.7477, 5.699664275e+25, 7.252661408e+24
3679.5948, 4.680516699e+25, 6.909612125e+24
3680.4422, 5.136909702e+25, 6.989866437e+24
3681.2897, 5.522834171e+25, 6.921227562e+24
3682.1375, 4.136874849e+25, 6.695443871e+24
3682.9854, 6.056836349e+25, 7.084692880e+24
3683.8336, 7.583266834e+25, 7.488495794e+24
3684.6819, 6.950042542e+25, 7.417439777e+24
3685.5304, 5.753868596e+25, 7.105161555e+24
3686.3791, 5.784619910e+25, 6.994308517e+24
3687.2281, 5.733025276e+25, 6.811677619e+24
3688.0772, 4.425966224e+25, 6.311597596e+24
3688.9265, 4.272412663e+25, 6.169256409e+24
3689.7760, 4.668673823e+25, 6.257325176e+24
3690.6257, 5.435597983e+25, 6.549528236e+24
3691.4756, 7.038774867e+25, 7.006989068e+24
3692.3257, 7.736388846e+25, 7.282866057e+24
3693.1760, 5.636245812e+25, 6.814997587e+24
3694.0264, 5.964647123e+25, 6.817290062e+24
3694.8771, 6.104595110e+25, 6.604720358e+24
3695.7280, 5.095793972e+25, 6.498285328e+24
3696.5791, 6.012190201e+25, 6.585680284e+24
3697.4303, 5.505098629e+25, 6.497557884e+24
3698.2818, 5.938557998e+25, 6.558300591e+24
3699.1335, 6.643565740e+25, 6.734059214e+24
3699.9853, 6.980480109e+25, 6.803233019e+24
3700.8374, 7.191197076e+25, 6.856985224e+24
3701.6896, 7.630643859e+25, 6.872925005e+24
3702.5421, 7.044441731e+25, 6.723704597e+24
3703.3947, 5.532183714e+25, 6.357572816e+24
3704.2475, 4.788369575e+25, 6.105829294e+24
3705.1006, 4.823277704e+25, 5.889428823e+24
3705.9538, 4.602945374e+25, 5.619200023e+24
3706.8072, 4.110475106e+25, 5.386398678e+24
3707.6608, 4.378177010e+25, 5.343234346e+24
3708.5147, 4.097317264e+25, 5.349881961e+24
3709.3687, 4.002438114e+25, 5.300402633e+24
3710.2229, 5.020502518e+25, 5.607925643e+24
3711.0773, 6.287870141e+25, 5.688305395e+24
3711.9319, 5.399458519e+25, 5.837695908e+24
3712.7867, 6.661511261e+25, 6.012678257e+24
3713.6417, 7.488301095e+25, 6.296782704e+24
3714.4969, 7.344254901e+25, 6.349160757e+24
3715.3523, 7.313393600e+25, 6.386600230e+24
3716.2079, 7.683609892e+25, 6.340414836e+24
3717.0637, 6.603686299e+25, 6.099225097e+24
3717.9197, 6.715378752e+25, 5.981547422e+24
3718.7758, 6.729628794e+25, 5.849739703e+24
3719.6322, 5.477292927e+25, 5.478876113e+24
3720.4888, 3.328410386e+25, 4.735585827e+24
3721.3456, 2.124108206e+25, 4.322771288e+24
3722.2025, 3.416534548e+25, 4.371412994e+24
3723.0597, 3.577111788e+25, 4.636341203e+24
3723.9171, 4.286444842e+25, 4.873907874e+24
3724.7746, 5.628804007e+25, 5.333252740e+24
3725.6324, 6.048730193e+25, 5.542088354e+24
3726.4903, 5.475761866e+25, 5.582766436e+24
3727.3485, 5.738016511e+25, 5.529096300e+24
3728.2068, 5.403398357e+25, 5.370179774e+24
3729.0654, 5.846698848e+25, 5.347286753e+24
3729.9241, 6.487253125e+25, 5.478927400e+24
3730.7831, 5.929061207e+25, 5.459023566e+24
3731.6422, 6.088190564e+25, 5.510592144e+24
3732.5016, 4.973091457e+25, 5.234364009e+24
3733.3611, 4.422578601e+25, 5.017161819e+24
3734.2209, 3.663799065e+25, 4.701774669e+24
3735.0808, 2.485228093e+25, 4.265887113e+24
3735.9409, 2.256147531e+25, 4.090933063e+24
3736.8013, 2.604564257e+25, 4.081228692e+24
3737.6618, 2.024052058e+25, 3.972086132e+24
3738.5225, 2.746918827e+25, 4.228173556e+24
3739.3834, 4.636579346e+25, 4.744119658e+24
3740.2446, 5.562753668e+25, 5.045245138e+24
3741.1059, 4.550379043e+25, 5.116232262e+24
3741.9674, 5.490858737e+25, 5.250772161e+24
3742.8291, 6.408615697e+25, 5.380136321e+24
3743.6910, 5.573190482e+25, 5.061518486e+24
3744.5532, 4.329051164e+25, 4.789411234e+24
3745.4155, 3.912169626e+25, 4.455603932e+24
3746.2780, 3.058121405e+25, 4.322887663e+24
3747.1407, 3.907018079e+25, 4.283737524e+24
3748.0036, 3.227858663e+25, 4.229164193e+24
3748.8667, 3.227997254e+25, 4.171026986e+24
3749.7300, 3.455881512e+25, 4.034366980e+24
3750.5935, 2.508524912e+25, 3.916423645e+24
3751.4572, 4.121160112e+25, 4.182671786e+24
3752.3211, 5.117825226e+25, 4.659649211e+24
3753.1852, 6.308728711e+25, 4.944184877e+24
3754.0495, 6.473571233e+25, 5.114415643e+24
3754.9140, 6.114851448e+25, 5.128169167e+24
3755.7787, 7.125581466e+25, 5.358150807e+24
3756.6436, 7.295682518e+25, 5.429168440e+24
3757.5087, 6.959115944e+25, 5.249357887e+24
3758.3740, 4.620527091e+25, 4.660816667e+24
3759.2395, 3.411941331e+25, 4.194483323e+24
3760.1052, 4.197122991e+25, 4.212109244e+24
3760.9711, 3.625326697e+25, 4.216758461e+24
3761.8372, 5.019266768e+25, 4.488014835e+24
3762.7035, 5.260360723e+25, 4.662199672e+24
3763.5700, 5.536234824e+25, 4.596486919e+24
3764.4367, 5.258097874e+25, 4.516340966e+24
3765.3036, 4.203211063e+25, 4.341365120e+24
3766.1707, 4.968076647e+25, 4.440952575e+24
3767.0380, 5.376457274e+25, 4.542077502e+24
3767.9055, 4.668828312e+25, 4.331434107e+24
3768.7732, 5.037062474e+25, 4.387986133e+24
3769.6411, 5.782559854e+25, 4.446583412e+24
3770.5092, 5.177035903e+25, 4.451231658e+24
3771.3775, 5.396761131e+25, 4.440024010e+24
3772.2459, 6.256844626e+25, 4.555660144e+24
3773.1146, 7.313618652e+25, 4.785645400e+24
3773.9835, 6.939084748e+25, 4.772778602e+24
3774.8526, 6.348257866e+25, 4.803089088e+24
3775.7219, 7.609857255e+25, 4.852904581e+24
