# wavelength, flux, err
3621.5960, 1.241068194e+24, 2.174251834e+25
3622.4300, 1.241353993e+24, 1.512293664e+23
3623.2642, 1.170886410e+24, 2.175253345e+25
3624.0986, 1.100386305e+24, 1.510928870e+23
3624.9331, 1.109479173e+24, 1.510053539e+23
3625.7679, 1.043768765e+24, 1.480520029e+23
3626.6029, 1.367641837e+24, 1.568116418e+23
3627.4380, 1.770236399e+24, 1.664047044e+23
3628.2734, 1.649800003e+24, 1.665672102e+23
3629.1089, 1.408542214e+24, 1.604846987e+23
3629.9446, 1.324296966e+24, 1.532829194e+23
3630.7805, 1.009498866e+24, 1.467125163e+23
3631.6167, 6.725738276e+23, 1.303606427e+23
3632.4530, 6.359236497e+23, 1.304704114e+23
3633.2895, 9.163824321e+23, 1.351387977e+23
3634.1262, 1.120506817e+24, 1.415019121e+23
3634.9630, 9.258612651e+23, 1.396862030e+23
3635.8001, 9.036279554e+23, 1.358394070e+23
3636.6374, 1.037710496e+24, 1.402520966e+23
3637.4749, 1.162920299e+24, 1.415069773e+23
3638.3125, 1.328838217e+24, 1.459713707e+23
3639.1504, 1.434338008e+24, 1.480275463e+23
3639.9884, 1.420995086e+24, 1.498378750e+23
3640.8266, 1.441327586e+24, 1.501725986e+23
3641.6651, 1.405519263e+24, 1.468847854e+23
3642.5037, 1.208164788e+24, 1.383412440e+23
3643.3425, 1.001348947e+24, 1.304166082e+23
3644.1815, 9.457108625e+23, 1.262135900e+23
3645.0207, 1.109802730e+24, 1.254657109e+23
3645.8601, 9.629886234e+23, 1.213793176e+23
3646.6997, 7.180800694e+23, 1.162210694e+23
3647.5395, 8.032077589e+23, 1.168659067e+23
3648.3794, 8.049903875e+23, 1.156687750e+23
3649.2196, 8.937512942e+23, 1.183153290e+23
3650.0600, 1.141974933e+24, 1.233270669e+23
3650.9005, 1.272071816e+24, 1.291077866e+23
3651.7413, 1.281801578e+24, 1.311608145e+23
3652.5822, 1.359198441e+24, 1.334831879e+23
3653.4233, 1.292433681e+24, 1.311251761e+23
3654.2647, 1.265028786e+24, 1.304771892e+23
3655.1062, 1.190536295e+24, 1.303834404e+23
3655.9479, 1.260958601e+24, 1.315592405e+23
3656.7898, 1.510198940e+24, 1.365111010e+23
3657.6319, 1.613830063e+24, 1.357590938e+23
3658.4742, 1.461263949e+24, 1.360030806e+23
3659.3167, 1.835698820e+24, 1.390187993e+23
3660.1594, 1.694484902e+24, 1.376555020e+23
3661.0023, 1.514731144e+24, 1.349852205e+23
3661.8454, 1.777696945e+24, 1.374385737e+23
3662.6886, 1.608239264e+24, 1.364781388e+23
3663.5321, 1.585800421e+24, 1.342181832e+23
3664.3757, 1.613859768e+24, 1.334358484e+23
3665.2196, 1.512946159e+24, 1.305949857e+23
3666.0636, 1.547320678e+24, 1.323484195e+23
3666.9079, 1.795938772e+24, 1.366230210e+23
3667.7523, 1.599790924e+24, 1.357317644e+23
3668.5969, 1.462537068e+24, 1.338484737e+23
3669.4418, 1.425785164e+24, 1.325229492e+23
3670.2868, 1.299457646e+24, 1.274088276e+23
3671.1320, 1.194969913e+24, 1.261151727e+23
3671.9774, 1.404236598e+24, 1.313024198e+23
3672.8230, 1.742317664e+24, 1.373718729e+23
3673.6688, 1.562543453e+24, 1.365040884e+23
3674.5148, 1.566032630e+24, 1.331951813e+23
3675.3610, 1.594432900e+24, 1.340837588e+23
3676.2074, 1.516790684e+24, 1.333905793e+23
3677.0539, 1.610582350e+24, 1.323966470e+23
3677.9007, 1.554632895e+24, 1.304293028e+23
3678.7477, 1.508608117e+24, 1.272171766e+23
3679.5948, 1.234479409e+24, 1.199200702e+23
3680.4422, 9.585904945e+23, 1.113499516e+23
3681.2897, 9.858464626e+23, 1.113460225e+23
3682.1375, 1.186685629e+24, 1.151574117e+23
3682.9854, 1.221451207e+24, 1.171412448e+23
3683.8336, 1.211752762e+24, 1.161446763e+23
3684.6819, 1.469545832e+24, 1.210250111e+23
3685.5304, 1.635691249e+24, 1.225634039e+23
3686.3791, 1.316330954e+24, 1.149225315e+23
3687.2281, 1.017239684e+24, 1.083895994e+23
3688.0772, 1.159587421e+24, 1.082760803e+23
3688.9265, 1.188889989e+24, 1.097456799e+23
3689.7760, 1.328033392e+24, 1.118084991e+23
3690.6257, 1.459211398e+24, 1.179546329e+23
3691.4756, 1.292309324e+24, 1.181033257e+23
3692.3257, 1.421223407e+24, 1.223470287e+23
3693.1760, 1.637780207e+24, 1.264168143e+23
3694.0264, 1.645224065e+24, 1.261901146e+23
3694.8771, 1.527002248e+24, 1.216646166e+23
3695.7280, 1.513927832e+24, 1.214239348e+23
3696.5791, 1.635894180e+24, 1.233441575e+23
3697.4303, 1.527908563e+24, 1.220495838e+23
3698.2818, 1.707944637e+24, 1.258475018e+23
3699.1335, 1.854155619e+24, 1.300787146e+23
3699.9853, 1.811195277e+24, 1.295686500e+23
3700.8374, 1.711970135e+24, 1.284588062e+23
3701.6896, 1.733941970e+24, 1.289836830e+23
3702.5421, 1.776374202e+24, 1.280201836e+23
3703.3947, 1.676241506e+24, 1.251219567e+23
3704.2475, 1.601100414e+24, 1.205515660e+23
3705.1006, 1.412203039e+24, 1.145025867e+23
3705.9538, 9.700035130e+23, 1.007721548e+23
3706.8072, 6.636551028e+23, 9.529156904e+22
3707.6608, 8.484709024e+23, 9.608173194e+22
3708.5147, 9.746052429e+23, 9.918593372e+22
3709.3687, 9.710972232e+23, 9.958295703e+22
3710.2229, 1.049989345e+24, 1.013032946e+23
3711.0773, 1.260322483e+24, 1.057963243e+23
3711.9319, 1.299275474e+24, 1.079854247e+23
3712.7867, 1.698275295e+24, 1.157698165e+23
3713.6417, 1.689852822e+24, 1.182668812e+23
3714.4969, 1.743587569e+24, 1.189940581e+23
3715.3523, 1.906112544e+24, 1.208965919e+23
3716.2079, 1.524219447e+24, 1.153376807e+23
3717.0637, 1.250510761e+24, 1.070444975e+23
3717.9197, 1.257488896e+24, 1.056108085e+23
3718.7758, 9.326985356e+23, 9.679889756e+22
3719.6322, 6.702317351e+23, 9.043841123e+22
3720.4888, 7.474786385e+23, 8.634975101e+22
3721.3456, 6.210005545e+23, 8.212630826e+22
3722.2025, 5.328790756e+23, 7.748498959e+22
3723.0597, 6.688711619e+23, 8.143249936e+22
3723.9171, 8.327780342e+23, 8.562761541e+22
3724.7746, 9.840969261e+23, 9.131160999e+22
3725.6324, 1.156914570e+24, 9.669659011e+22
3726.4903, 1.262221584e+24, 1.007579773e+23
3727.3485, 1.401107297e+24, 1.023358384e+23
3728.2068, 1.214748868e+24, 9.947901168e+22
3729.0654, 9.941018220e+23, 9.303580719e+22
3729.9241, 9.854514662e+23, 9.434681863e+22
3730.7831, 1.116590250e+24, 9.516410100e+22
3731.6422, 1.166575041e+24, 9.403908056e+22
3732.5016, 1.077673563e+24, 9.096948572e+22
3733.3611, 9.233135418e+23, 8.527065510e+22
3734.2209, 8.091281787e+23, 8.116433279e+22
3735.0808, 6.919500469e+23, 7.458458959e+22
3735.9409, 5.275721674e+23, 6.961593009e+22
3736.8013, 6.131422146e+23, 7.019571708e+22
3737.6618, 5.357396086e+23, 7.047947871e+22
3738.5225, 6.567928749e+23, 7.624139781e+22
3739.3834, 8.782974288e+23, 8.235991511e+22
3740.2446, 9.795501922e+23, 8.673892116e+22
3741.1059, 1.055767879e+24, 8.965396168e+22
3741.9674, 1.238206716e+24, 9.252725515e+22
3742.8291, 1.208919851e+24, 9.196375943e+22
3743.6910, 9.619848882e+23, 8.542769723e+22
3744.5532, 8.140579720e+23, 8.309741517e+22
3745.4155, 8.337260620e+23, 7.869535009e+22
3746.2780, 6.254832000e+23, 7.708243653e+22
3747.1407, 6.898129166e+23, 7.505128069e+22
3748.0036, 6.832200075e+23, 7.553378404e+22
3748.8667, 7.059476996e+23, 7.502607867e+22
3749.7300, 7.158751124e+23, 7.362753724e+22
3750.5935, 6.318045088e+23, 7.090243689e+22
3751.4572, 8.038113458e+23, 7.795880583e+22
3752.3211, 1.131459568e+24, 8.429646869e+22
3753.1852, 1.087792421e+24, 8.802106231e+22
