# wavelength, flux, err
3621.5960, 2.465952508e+25, 4.457509961e+26
3622.4300, 2.466520380e+25, 2.274609363e+24
3623.2642, 2.678140603e+25, 4.459563193e+26
3624.0986, 2.889858161e+25, 2.338948219e+24
3624.9331, 2.368244331e+25, 2.295059612e+24
3625.7679, 3.096769499e+25, 2.415178476e+24
3626.6029, 3.836494962e+25, 2.572504706e+24
3627.4380, 3.717197330e+25, 2.545077707e+24
3628.2734, 3.329931883e+25, 2.521601692e+24
3629.1089, 3.796884676e+25, 2.532205224e+24
3629.9446, 3.660814480e+25, 2.447249771e+24
3630.7805, 2.596153109e+25, 2.214828978e+24
3631.6167, 1.724340606e+25, 1.985942095e+24
3632.4530, 1.621481268e+25, 1.975593255e+24
3633.2895, 1.790262351e+25, 2.018741437e+24
3634.1262, 1.704379765e+25, 2.048941039e+24
3634.9630, 1.975518946e+25, 2.093351400e+24
3635.8001, 2.263353992e+25, 2.165104315e+24
3636.6374, 2.557976934e+25, 2.231003401e+24
3637.4749, 2.832381135e+25, 2.296737385e+24
3638.3125, 2.839672414e+25, 2.321036452e+24
3639.1504, 2.828824987e+25, 2.366135694e+24
3639.9884, 3.584431167e+25, 2.442078441e+24
3640.8266, 3.518296714e+25, 2.458866713e+24
3641.6651, 3.099767092e+25, 2.350586143e+24
3642.5037, 3.221900008e+25, 2.352309223e+24
3643.3425, 3.170707157e+25, 2.275563260e+24
3644.1815, 3.110311584e+25, 2.201862529e+24
3645.0207, 2.535347037e+25, 2.122529676e+24
3645.8601, 2.115868170e+25, 2.015208588e+24
3646.6997, 2.098699467e+25, 2.042939159e+24
3647.5395, 2.047520892e+25, 1.940480453e+24
3648.3794, 1.644784296e+25, 1.884814227e+24
3649.2196, 1.708463478e+25, 1.893722066e+24
3650.0600, 1.527307955e+25, 1.937174206e+24
3650.9005, 1.859198272e+25, 2.003906627e+24
3651.7413, 2.668878698e+25, 2.175852275e+24
3652.5822, 3.132957833e+25, 2.243543328e+24
3653.4233, 3.700091722e+25, 2.332345143e+24
3654.2647, 3.537369337e+25, 2.305466534e+24
3655.1062, 3.179000053e+25, 2.261221438e+24
3655.9479, 3.087293447e+25, 2.262486932e+24
3656.7898, 3.207519329e+25, 2.236646812e+24
3657.6319, 3.289872583e+25, 2.286462254e+24
3658.4742, 3.724011534e+25, 2.366012008e+24
3659.3167, 4.352044659e+25, 2.438882313e+24
3660.1594, 4.215901075e+25, 2.443584531e+24
3661.0023, 3.977162785e+25, 2.405329214e+24
3661.8454, 4.415359888e+25, 2.444577714e+24
3662.6886, 4.656247147e+25, 2.418562452e+24
3663.5321, 3.487329099e+25, 2.278090001e+24
3664.3757, 3.496299087e+25, 2.240360402e+24
3665.2196, 3.430472191e+25, 2.230055922e+24
3666.0636, 3.581440500e+25, 2.261738353e+24
3666.9079, 4.344274614e+25, 2.300331085e+24
3667.7523, 3.328355356e+25, 2.199788347e+24
3668.5969, 3.283053483e+25, 2.146284093e+24
3669.4418, 3.400709804e+25, 2.128477200e+24
3670.2868, 3.153161570e+25, 2.095142316e+24
3671.1320, 3.012663801e+25, 2.119042072e+24
3671.9774, 3.549497011e+25, 2.213612956e+24
3672.8230, 4.050652025e+25, 2.251368347e+24
3673.6688, 4.161457765e+25, 2.255044612e+24
3674.5148, 3.675544909e+25, 2.180558073e+24
3675.3610, 3.602711951e+25, 2.173064565e+24
3676.2074, 3.879751792e+25, 2.154188418e+24
3677.0539, 3.333216946e+25, 2.071231259e+24
3677.9007, 3.087204372e+25, 1.997155867e+24
3678.7477, 2.885344607e+25, 1.951992686e+24
3679.5948, 2.721141119e+25, 1.913034199e+24
3680.4422, 2.476420869e+25, 1.877034450e+24
3681.2897, 2.250822816e+25, 1.853522706e+24
3682.1375, 2.464276062e+25, 1.890788912e+24
3682.9854, 2.809590501e+25, 1.939617495e+24
3683.8336, 2.863849556e+25, 1.926748062e+24
3684.6819, 2.965663253e+25, 1.885624251e+24
3685.5304, 3.103699247e+25, 1.847829367e+24
3686.3791, 2.938405032e+25, 1.786210796e+24
3687.2281, 2.430766714e+25, 1.704129947e+24
3688.0772, 2.094818589e+25, 1.665255900e+24
3688.9265, 2.205637187e+25, 1.683717719e+24
3689.7760, 2.503775921e+25, 1.788408279e+24
3690.6257, 2.921788544e+25, 1.874513487e+24
3691.4756, 3.568082061e+25, 1.968214717e+24
3692.3257, 4.111730752e+25, 2.025223789e+24
3693.1760, 3.985034245e+25, 1.994127126e+24
3694.0264, 3.673027486e+25, 1.890366837e+24
3694.8771, 3.557671688e+25, 1.871797973e+24
3695.7280, 3.613045172e+25, 1.875837862e+24
3696.5791, 3.590638873e+25, 1.882282056e+24
3697.4303, 3.523017281e+25, 1.890986606e+24
3698.2818, 3.504614310e+25, 1.925238788e+24
3699.1335, 3.997038799e+25, 1.978450876e+24
3699.9853, 4.215942769e+25, 2.026163203e+24
3700.8374, 3.779959333e+25, 1.958245240e+24
3701.6896, 3.688528353e+25, 1.930237509e+24
3702.5421, 3.759989936e+25, 1.908632443e+24
3703.3947, 3.867870614e+25, 1.864035227e+24
3704.2475, 3.431215159e+25, 1.807496587e+24
3705.1006, 2.660947970e+25, 1.653555507e+24
3705.9538, 2.072452520e+25, 1.591909445e+24
3706.8072, 1.615669885e+25, 1.522196941e+24
3707.6608, 1.631356567e+25, 1.541177750e+24
3708.5147, 1.902490405e+25, 1.579277574e+24
3709.3687, 1.900188582e+25, 1.584046502e+24
3710.2229, 1.973269005e+25, 1.643186221e+24
3711.0773, 2.657054582e+25, 1.775803617e+24
3711.9319, 3.121314235e+25, 1.877837705e+24
3712.7867, 3.780006800e+25, 1.983291313e+24
3713.6417, 4.419207730e+25, 2.070363556e+24
3714.4969, 4.827829469e+25, 2.122114705e+24
3715.3523, 4.718406718e+25, 2.093339059e+24
3716.2079, 4.059910639e+25, 2.008960390e+24
3717.0637, 3.826966504e+25, 1.942115197e+24
3717.9197, 3.474906341e+25, 1.839402697e+24
3718.7758, 2.529198890e+25, 1.659138452e+24
3719.6322, 1.708798689e+25, 1.460925751e+24
3720.4888, 1.414458007e+25, 1.335854400e+24
3721.3456, 1.041408317e+25, 1.261926872e+24
3722.2025, 1.120617167e+25, 1.320390059e+24
3723.0597, 1.307737863e+25, 1.399427478e+24
3723.9171, 1.932310329e+25, 1.542486277e+24
3724.7746, 2.746159582e+25, 1.697688674e+24
3725.6324, 3.093009869e+25, 1.782278094e+24
3726.4903, 2.860722990e+25, 1.720033084e+24
3727.3485, 2.920787029e+25, 1.681981558e+24
3728.2068, 2.379222887e+25, 1.607994678e+24
3729.0654, 2.433029449e+25, 1.644210443e+24
3729.9241, 3.112528133e+25, 1.715470138e+24
3730.7831, 3.205412066e+25, 1.721349064e+24
3731.6422, 2.766261232e+25, 1.650423848e+24
3732.5016, 2.339811588e+25, 1.558283251e+24
3733.3611, 1.811389477e+25, 1.419879923e+24
3734.2209, 1.490852219e+25, 1.310453039e+24
3735.0808, 1.343893018e+25, 1.235170972e+24
3735.9409, 1.010921831e+25, 1.183825826e+24
3736.8013, 9.511097353e+24, 1.188566751e+24
