# wavelength, flux, err
3621.5960, 2.252893556e+26, 7.737751997e+26
3622.4300, 2.253412364e+26, 6.191431634e+25
3623.2642, 2.484712376e+26, 7.741316184e+26
3624.0986, 2.716118562e+26, 6.502572703e+25
3624.9331, 3.360149088e+26, 6.632172908e+25
3625.7679, 2.975155028e+26, 6.664167183e+25
3626.6029, 2.880728931e+26, 6.712193476e+25
3627.4380, 3.350174050e+26, 6.751814301e+25
3628.2734, 3.373395348e+26, 2.607614966e+25
3629.1089, 2.790529342e+26, 2.556143028e+25
3629.9446, 2.508289638e+26, 2.392688532e+25
3630.7805, 2.486658805e+26, 2.307870233e+25
3631.6167, 2.334611600e+26, 2.197348061e+25
3632.4530, 2.007778300e+26, 2.125334560e+25
3633.2895, 1.918600042e+26, 2.144634477e+25
3634.1262, 2.354481425e+26, 2.230731376e+25
3634.9630, 2.254802887e+26, 2.252323836e+25
3635.8001, 1.965794057e+26, 2.176180564e+25
3636.6374, 2.203178684e+26, 2.223915381e+25
3637.4749, 2.669641802e+26, 2.305785269e+25
3638.3125, 2.472549751e+26, 2.296162377e+25
3639.1504, 2.678105354e+26, 2.332863378e+25
3639.9884, 2.387462909e+26, 2.340268601e+25
3640.8266, 2.637097825e+26, 2.345727959e+25
3641.6651, 2.955195681e+26, 2.344268830e+25
3642.5037, 2.642892542e+26, 2.283847581e+25
3643.3425, 2.373591124e+26, 2.176569064e+25
3644.1815, 2.199362591e+26, 2.132930810e+25
3645.0207, 2.214465877e+26, 2.107913173e+25
3645.8601, 2.536864144e+26, 2.172292747e+25
3646.6997, 2.661267687e+26, 2.160977871e+25
3647.5395, 2.321330449e+26, 2.103771665e+25
3648.3794, 2.363938994e+26, 2.072887122e+25
3649.2196, 2.226740063e+26, 2.083738703e+25
3650.0600, 2.246948425e+26, 2.089609904e+25
3650.9005, 2.618770471e+26, 2.195693168e+25
3651.7413, 2.926296852e+26, 2.282503077e+25
3652.5822, 2.802559171e+26, 2.338936219e+25
3653.4233, 2.958713495e+26, 2.383080703e+25
3654.2647, 2.754450069e+26, 2.383268512e+25
3655.1062, 2.546666013e+26, 2.314978568e+25
3655.9479, 2.671454002e+26, 2.341766810e+25
3656.7898, 3.009557591e+26, 2.393260743e+25
3657.6319, 3.128147681e+26, 2.437875489e+25
3658.4742, 3.036522501e+26, 2.466050347e+25
3659.3167, 3.474688627e+26, 2.498636631e+25
3660.1594, 3.106160804e+26, 2.480568656e+25
3661.0023, 2.789960238e+26, 2.392329168e+25
3661.8454, 3.196476563e+26, 2.415559253e+25
3662.6886, 2.946138707e+26, 2.378647028e+25
3663.5321, 2.826434124e+26, 2.285276781e+25
3664.3757, 2.906840053e+26, 2.296561729e+25
3665.2196, 2.955704923e+26, 2.289852358e+25
3666.0636, 3.077696563e+26, 2.320222532e+25
3666.9079, 3.297496740e+26, 2.299675153e+25
3667.7523, 3.099188418e+26, 2.240164943e+25
3668.5969, 2.764901095e+26, 2.178444760e+25
3669.4418, 2.835238413e+26, 2.137705560e+25
3670.2868, 2.882354019e+26, 2.126439118e+25
3671.1320, 2.661110798e+26, 2.075706078e+25
3671.9774, 2.543192032e+26, 2.127197586e+25
3672.8230, 2.952051308e+26, 2.158098262e+25
3673.6688, 3.006551312e+26, 2.146258432e+25
3674.5148, 2.927178589e+26, 2.144645636e+25
3675.3610, 2.876988883e+26, 2.124712136e+25
3676.2074, 2.830817019e+26, 2.119240969e+25
3677.0539, 2.752977163e+26, 2.114485688e+25
3677.9007, 2.751568422e+26, 2.097437787e+25
3678.7477, 2.752420825e+26, 2.078896101e+25
3679.5948, 2.761270059e+26, 2.063885056e+25
3680.4422, 2.587150529e+26, 2.029875675e+25
3681.2897, 2.406051897e+26, 2.001137226e+25
3682.1375, 2.688366928e+26, 2.055837384e+25
3682.9854, 2.534525814e+26, 2.054679794e+25
3683.8336, 2.681887212e+26, 2.067594307e+25
3684.6819, 2.839021135e+26, 2.112440257e+25
3685.5304, 2.625566732e+26, 2.008171419e+25
3686.3791, 2.352494241e+26, 1.975049627e+25
3687.2281, 2.754395950e+26, 1.987168091e+25
3688.0772, 2.399794909e+26, 1.930606923e+25
3688.9265, 2.102992837e+26, 1.906384261e+25
3689.7760, 2.330283691e+26, 1.966817145e+25
3690.6257, 2.684528571e+26, 2.057017652e+25
3691.4756, 2.738703846e+26, 2.107860190e+25
3692.3257, 3.104283168e+26, 2.168438105e+25
3693.1760, 3.391809363e+26, 2.175435944e+25
3694.0264, 3.037511647e+26, 2.113490597e+25
3694.8771, 2.786483891e+26, 2.059469910e+25
3695.7280, 2.948404536e+26, 2.076528420e+25
3696.5791, 2.897765553e+26, 2.057014166e+25
3697.4303, 2.696852504e+26, 2.075024500e+25
3698.2818, 3.241033203e+26, 2.130172096e+25
3699.1335, 3.275702748e+26, 2.162559392e+25
3699.9853, 3.069077929e+26, 2.146572109e+25
3700.8374, 3.200193299e+26, 2.125062135e+25
3701.6896, 3.247560222e+26, 2.180192131e+25
3702.5421, 3.133234379e+26, 2.049022234e+25
3703.3947, 2.792036646e+26, 1.997485109e+25
3704.2475, 2.711337728e+26, 1.899616243e+25
3705.1006, 2.599458100e+26, 1.819586854e+25
3705.9538, 2.192227956e+26, 1.776591739e+25
3706.8072, 2.177233804e+26, 1.719578154e+25
3707.6608, 2.221970882e+26, 1.777945558e+25
3708.5147, 2.498735923e+26, 1.756438646e+25
3709.3687, 2.458890011e+26, 1.760341976e+25
3710.2229, 2.231240916e+26, 1.759618051e+25
3711.0773, 2.505203345e+26, 1.791603026e+25
3711.9319, 3.125751744e+26, 1.925796029e+25
3712.7867, 2.805096920e+26, 1.921988183e+25
3713.6417, 2.788258339e+26, 1.965572230e+25
3714.4969, 2.970270817e+26, 2.020116904e+25
3715.3523, 2.978076096e+26, 2.007041677e+25
3716.2079, 2.976626192e+26, 1.973230497e+25
3717.0637, 3.106385123e+26, 1.972287368e+25
3717.9197, 3.270412576e+26, 1.945197595e+25
3718.7758, 3.212048779e+26, 1.868617810e+25
3719.6322, 2.844281320e+26, 1.718622746e+25
3720.4888, 2.308052074e+26, 1.568440239e+25
3721.3456, 1.862139839e+26, 1.463278515e+25
3722.2025, 1.591919920e+26, 1.433770402e+25
3723.0597, 1.866068320e+26, 1.519229042e+25
3723.9171, 2.378446510e+26, 1.672548310e+25
3724.7746, 2.715596299e+26, 1.799319086e+25
3725.6324, 2.794599414e+26, 1.851924000e+25
3726.4903, 2.897824927e+26, 1.828776926e+25
3727.3485, 2.801522901e+26, 1.765908960e+25
3728.2068, 2.567535461e+26, 1.717126880e+25
3729.0654, 2.626154528e+26, 1.760385659e+25
3729.9241, 2.909460350e+26, 1.801566796e+25
3730.7831, 3.001819115e+26, 1.799184189e+25
3731.6422, 2.843922902e+26, 1.738460859e+25
