# wavelength, Lumniosty[W/AA], Error
3.621596000000000004e+03,8.327934601208970346e+21,1.023820257698539572e+23
3.622429999999999836e+03,8.327934599150294794e+21,1.426971969368628134e+21
3.623264200000000073e+03,7.680786247936322306e+21,1.023820255227316724e+23
3.624098599999999806e+03,7.033638665349778899e+21,1.463645184764012921e+21
3.624933100000000195e+03,7.732541866772658127e+21,1.469330309295914877e+21
3.625767899999999827e+03,8.984975872283496153e+21,1.504607366621564502e+21
3.626602899999999863e+03,9.708277120718124089e+21,1.513205047621838963e+21
3.627438000000000102e+03,1.001429691424084853e+22,1.555724691090516214e+21
3.628273400000000038e+03,9.903119855852097372e+21,1.548159318148406313e+21
3.629108900000000176e+03,8.514417817552952492e+21,1.517052178842029130e+21
3.629944599999999809e+03,7.710769671250630410e+21,1.465255882693085757e+21
3.630780499999999847e+03,6.873737960749762871e+21,1.367516015908976067e+21
3.631616700000000037e+03,5.708404945378735030e+21,1.260549219855718679e+21
3.632452999999999975e+03,4.599297166405181374e+21,1.162761797881486770e+21
3.633289499999999862e+03,4.169935434542169457e+21,1.144809691603160138e+21
3.634126200000000154e+03,4.810943365147858567e+21,1.208031156155226522e+21
3.634963000000000193e+03,7.643697223327995134e+21,1.321081513897115255e+21
3.635800099999999929e+03,8.281677502016680624e+21,1.371502162893939147e+21
3.636637400000000071e+03,7.814598507951329116e+21,1.313905534271852380e+21
3.637474900000000162e+03,7.283166880409263800e+21,1.335385851597216547e+21
3.638312500000000000e+03,5.690276775290741981e+21,1.315034162953292349e+21
3.639150399999999991e+03,7.117003773737958375e+21,1.334006394184752693e+21
3.639988400000000183e+03,8.101345592200237416e+21,1.377785685525810905e+21
3.640826599999999871e+03,7.251227018062326661e+21,1.340642921308034695e+21
3.641665100000000166e+03,7.575461477772901220e+21,1.325681309354888266e+21
3.642503700000000208e+03,9.223726152975492579e+21,1.330872840293889081e+21
3.643342500000000200e+03,7.043030159805178184e+21,1.259989852998997377e+21
3.644181500000000142e+03,6.305130842138351763e+21,1.218610768151915528e+21
3.645020700000000033e+03,6.317536210425361727e+21,1.218679702148193714e+21
3.645860099999999875e+03,6.691107171117181174e+21,1.215646803617067041e+21
3.646699700000000121e+03,7.229748443503586705e+21,1.198807008978556682e+21
3.647539499999999862e+03,6.865765694929418322e+21,1.171101530771633996e+21
3.648379399999999805e+03,4.156840812663288627e+21,1.075611599221287289e+21
3.649219599999999900e+03,2.777045752467185205e+21,1.030293408212539539e+21
3.650059999999999945e+03,4.350196999501377962e+21,1.062224634115603562e+21
3.650900500000000193e+03,6.194904585868609061e+21,1.153287700390629605e+21
3.651741300000000138e+03,5.934524948412966633e+21,1.147797870292728545e+21
3.652582199999999830e+03,4.902071709707176772e+21,1.156404563872648790e+21
3.653423299999999927e+03,7.801630459848438055e+21,1.228588915223702536e+21
3.654264700000000175e+03,9.064143954870044459e+21,1.295278143644055110e+21
3.655106200000000172e+03,1.042519369478238424e+22,1.329902400373482848e+21
3.655947900000000118e+03,1.035761039975432952e+22,1.340288772714731405e+21
3.656789800000000014e+03,8.894478411091608076e+21,1.271297169719736140e+21
3.657631899999999860e+03,9.042049305180218851e+21,1.291227660990161355e+21
3.658474200000000110e+03,8.737849656012333646e+21,1.275855595482947518e+21
3.659316699999999855e+03,9.676394270547832209e+21,1.281374503332821860e+21
3.660159400000000005e+03,7.988705650360474141e+21,1.277397812783782035e+21
3.661002300000000105e+03,7.766141668362239869e+21,1.252400869838295400e+21
3.661845400000000154e+03,1.051012951830243888e+22,1.300330035506141200e+21
3.662688599999999951e+03,8.614477108427945411e+21,1.250706633373091103e+21
3.663532099999999900e+03,8.131522598095974040e+21,1.226908607133536485e+21
3.664375700000000052e+03,8.551636774034932236e+21,1.209314468218965590e+21
3.665219599999999900e+03,8.616262679049299558e+21,1.203077105666465464e+21
3.666063599999999951e+03,9.404297184042305978e+21,1.225899807357406544e+21
3.666907900000000154e+03,1.069595194632513048e+22,1.285225708014100808e+21
3.667752300000000105e+03,8.694756761518491042e+21,1.253805823528486306e+21
3.668596900000000005e+03,9.884240399919652798e+21,1.255613444202605052e+21
3.669441800000000057e+03,8.410540417891353756e+21,1.213609434274172240e+21
3.670286799999999857e+03,7.238785222451826524e+21,1.186463250501295931e+21
3.671132000000000062e+03,8.786788355744221626e+21,1.203049473295975186e+21
3.671977400000000216e+03,1.007344880989735852e+22,1.231045036388295639e+21
3.672822999999999865e+03,7.314008744772073685e+21,1.215451329127485800e+21
3.673668799999999919e+03,6.776136060496254075e+21,1.183543817014751003e+21
3.674514799999999923e+03,7.686446284010068902e+21,1.183261536734047109e+21
3.675360999999999876e+03,8.856439277665514422e+21,1.199782136775135724e+21
3.676207399999999780e+03,8.878875362146325103e+21,1.204493557681212621e+21
3.677053899999999885e+03,7.077184723889960255e+21,1.173555734932251083e+21
3.677900700000000143e+03,7.034498764471808295e+21,1.121197205514547888e+21
3.678747699999999895e+03,6.410160264592214721e+21,1.108343561315716301e+21
3.679594799999999850e+03,7.485936584647853998e+21,1.107508366138575946e+21
3.680442199999999957e+03,8.436360405279561482e+21,1.102140686790299222e+21
3.681289699999999812e+03,7.111454056441143362e+21,1.072383713783786242e+21
3.682137499999999818e+03,6.102001144715535188e+21,1.041250473128719417e+21
3.682985400000000027e+03,8.624125501556427588e+21,1.135325829692401123e+21
3.683833599999999933e+03,8.271190813287548715e+21,1.137440010862597112e+21
3.684681900000000041e+03,8.749595279853058261e+21,1.130216216493478117e+21
3.685530400000000100e+03,9.003888406401423245e+21,1.109980316808674148e+21
3.686379100000000108e+03,6.080590333207997579e+21,1.042675449196204392e+21
3.687228099999999813e+03,4.640733653011594215e+21,9.660744356987299430e+20
3.688077200000000175e+03,6.804820322090871685e+21,9.714395666663376159e+20
3.688926500000000033e+03,6.417141940887139385e+21,9.830049395128907858e+20
3.689775999999999840e+03,5.326734964398922662e+21,9.675728274561923809e+20
3.690625700000000052e+03,7.005851129796229071e+21,1.038696404785779311e+21
3.691475600000000213e+03,1.081033222866216367e+22,1.149815214815452070e+21
3.692325699999999870e+03,1.141004698204169778e+22,1.212102361392441721e+21
3.693175999999999931e+03,1.166903844008517383e+22,1.210779627074366210e+21
3.694026400000000194e+03,1.004050437213984181e+22,1.169229500904487125e+21
3.694877100000000155e+03,8.354163939580018950e+21,1.120420874891887378e+21
3.695728000000000065e+03,8.622236690578961072e+21,1.129275163107241624e+21
3.696579099999999926e+03,1.002266727634747523e+22,1.144213989631656985e+21
3.697430299999999988e+03,1.000930873260815837e+22,1.144541690481629856e+21
3.698281800000000203e+03,1.015965874206773399e+22,1.144055333749851030e+21
3.699133499999999913e+03,9.138991669265248027e+21,1.147286036040602616e+21
3.699985299999999825e+03,8.546597682428630794e+21,1.145585943814425543e+21
3.700837399999999889e+03,9.636715533624905040e+21,1.155942905516465062e+21
3.701689600000000155e+03,1.000571863453921182e+22,1.148585153925385683e+21
3.702542100000000119e+03,8.009777830750391894e+21,1.111267193693759734e+21
3.703394699999999830e+03,6.693469264834234155e+21,1.063601463813727584e+21
3.704247499999999945e+03,6.736152109166571291e+21,1.040658787783483720e+21
3.705100600000000213e+03,6.709026788638343561e+21,9.957226535225520292e+20
3.705953799999999774e+03,5.760561591458587476e+21,9.401133125296920986e+20
3.706807200000000194e+03,5.608853152653852541e+21,9.308292114572346655e+20
3.707660800000000108e+03,6.470918297056731726e+21,9.460092236592946872e+20
3.708514700000000175e+03,5.946703770649743065e+21,9.498388424886112748e+20
3.709368699999999990e+03,5.684782701703391609e+21,9.260230626305764229e+20
3.710222900000000209e+03,6.637052027251515720e+21,9.610147336430918042e+20
3.711077299999999923e+03,7.992745583607218700e+21,9.962049063219459523e+20
3.711931900000000041e+03,9.492869912295536329e+21,1.048832719156296942e+21
3.712786700000000110e+03,1.003876001818256972e+22,1.098351670727542702e+21
3.713641700000000128e+03,1.159805891613076069e+22,1.140390121373313925e+21
3.714496900000000096e+03,1.290275854046344721e+22,1.180999413137213751e+21
3.715352300000000014e+03,1.265464802893658220e+22,1.173813491118998290e+21
3.716207899999999881e+03,1.153768759546525778e+22,1.129641405961168224e+21
3.717063700000000154e+03,1.045155799186330878e+22,1.087720314828072419e+21
3.717919699999999921e+03,1.017673703926418899e+22,1.061562531595289625e+21
3.718775799999999890e+03,8.144916569049417122e+21,1.009704635057590764e+21
3.719632200000000012e+03,5.950326693590833562e+21,9.234485958047141724e+20
3.720488800000000083e+03,5.212336325269948203e+21,8.389867909291919278e+20
3.721345600000000104e+03,4.103495644156242428e+21,7.562345179657594470e+20
3.722202499999999873e+03,3.063238233277206626e+21,7.283795242198671032e+20
3.723059699999999793e+03,4.394648659542043263e+21,7.606782236126914806e+20
3.723917100000000119e+03,4.464763963193487786e+21,8.079817622685531505e+20
3.724774600000000191e+03,4.797048092520819458e+21,8.609378532596307722e+20
3.725632399999999961e+03,7.720072731813262393e+21,9.501911345306101350e+20
3.726490299999999934e+03,8.680707584291847012e+21,9.772668430131161989e+20
3.727348500000000058e+03,7.391190482993473913e+21,9.337929734769904189e+20
3.728206799999999930e+03,6.834482741139789054e+21,9.111662630946330378e+20
3.729065399999999954e+03,6.557275415443236979e+21,8.987585393380336599e+20
3.729924100000000180e+03,6.621503930870870835e+21,9.112486709850208993e+20
